drugbank_id	name	groups	pubchem_ids	description	indications	targets
DB00663	Flumethasone	vet_approved; approved	16490	-	"For the treatment of contact dermatitis, atopic dermatitis, exczema, psoriasis, diaper rash and other skin conditions"	P04150
DB12783	Benserazide	investigational; approved	2327	-	"The primary therapeutic use for which benserazide is currently indicated for is as a combination therapy with levadopa for the treatment of Parkinson's disease in adults > 25 years of age, with the exception of drug-induced parkinsonism [F2, L2553].    At certain doses, the combination product of levodopa and benserazide may also be used to treat restless legs syndrome, which is sometimes associated with Parkinson's disease [L2553, T181].    There have also been some studies that have prompted the European Medicines Agency to confer orphan designation upon benserazide  hydrochloride as a potential therapy for beta thalassaemia [F3]. Although studies are ongoing, no evidence has been formally elucidated as of yet [F3]."	Q92731; P20711
DB05107	16-Bromoepiandrosterone	investigational	71613	-	"Investigated for use/treatment in cystic fibrosis, HIV infection, hepatitis (viral, B), and malaria."	P11413
DB05104	Asimadoline	investigational	179340	-	"Investigated for use/treatment in irritable bowel syndrome (IBS)."	P41145
DB05103	AN-9	investigational	60748	-	"Investigated for use/treatment in liver cancer, lung cancer, melanoma, and leukemia (lymphoid)."	Q13547
DB05102	Rupintrivir	investigational	6440352	-	"Investigated for use/treatment in viral infection."	P03303
DB05100	Prinomastat	investigational	466151	-	"Investigated for use/treatment in brain cancer, lung cancer, and prostate cancer."	P09237; P08253; P45452; P03956
DB09300	Butylscopolamine	investigational; approved; vet_approved	6852391	-	"Used to treat abdmoninal cramping and pain [FDA Label]."	P08172; P20309
DB09167	Dosulepin	approved	5284550	-	"Indicated in the treatment of symptoms of depressive illness, especially where an anti-anxiety effect is required."	P08172; P08173; P11229; P18825; P28223; Q01959; P25100; P08912; P18089; P20309; P08908; P35367; P31645; P23975; P35348
DB09166	Etizolam	experimental	3307	-	"Indicated for the treatment of generalized anxiety disorder with depression, panic disorder and insomnia."	P28472; P18507; P25105; P14867; P47869; P47870; P31644; P34903
DB13956	Estradiol valerate	investigational; vet_approved; approved	13791	-	"Estradiol valerate is commercially available as an intramuscular injection as the product Delestrogen and is indicated for the treatment of moderate to severe vasomotor symptoms and vulvovaginal atrophy due to menopause, for the treatment of hypoestrogenism due to hypogonadism, castration or primary ovarian failure, and for the treatment of advanced androgen-dependent carcinoma of the prostate (for palliation only).     Estradiol valerate is also available in combination with [DB09123] as the commercially available product Natazia used for the prevention of pregnancy and for the treatment of heavy menstrual bleeding."	Q99527; Q14457; Q92731; Q15596; P03372; P62508; O75469; P00846; P43681; P37059
DB11235	Thonzylamine	approved	5457	-	"Thozylamine is indicated for use in the symptomatic control of allergic rhinitis or other upper respiratory allergic symptoms [FDA Label]. It is typically a part of combination over the counter products."	P08172; P08173; P11229; P08912; P20309; P35367
DB00740	Riluzole	investigational; approved	5070	-	"For the treatment of amyotrophic lateral sclerosis (ALS, Lou Gehrig's Disease)"	Q8TCU5; Q14524; Q9UQD0; P23975; Q9NYG8; Q9UPY5; Q01118; Q92952; Q9UI33; P35498; Q99250; O15554; P35499; Q9Y5Y9; Q15858; Q9NY46
DB01412	Theobromine	investigational	5429	-	"theobromine is used as a vasodilator, a diuretic, and heart stimulant. And similar to caffeine, it may be useful in management of fatigue and orthostatic hypotension."	Q07343; P29274; P30542
DB01178	Chlormezanone	investigational; withdrawn; approved	2717	-	"Used in the management of anxiety and in the treatment of muscle spasm."	O60885; P30536
DB01179	Podofilox	approved	10607	-	"For treatment of external genital warts (<i>Condyloma acuminatum</i>)."	P04150; Q9BVA1; P68366; P68363; P07437; Q9BQE3; Q6PEY2; Q3ZCM7; Q9H4B7; P08684; Q13509; Q71U36; P68371; Q13885; P11388; Q9BUF5; P04350
DB01176	Cyclizine	approved	6726	-	"For prevention and treatment of nausea, vomiting, and dizziness associated with motion sickness, and vertigo (dizziness caused by other medical problems)."	P08172; P08173; P28335; P11229; P27338; P10635; P28223; Q01959; P25100; P20309; P08912; P08913; P41595; P35462; P35367; P49888
DB13953	Estradiol benzoate	investigational; approved; vet_approved	222757	-	"Estradiol benzoate is not currently available in any FDA or Health Canada approved products."	P04150; Q15596; P18825; P43681; Q99527; Q92731; P41595; P03372; Q14457; P62508; P00846; P31645; O75469; P06241; P23975; P37059
DB01174	Phenobarbital	investigational; approved	4763	-	"For the treatment of all types of seizures except absence seizures."	Q13002; P18507; O60391; Q494W8; P48169; P14867; P16234; Q05940; P31644; P47870; O75469; Q16348; P36544; Q16445; P47869; P09619; P34903; P43681; P42261; P42262; P10721
DB01175	Escitalopram	approved	146570	-	"Escitalopram is indicated for both acute and maintenance treatment of major depressive disorder (MDD) and for the acute treatment of generalized anxiety disorder (GAD).[L8513] It is additionally indicated for symptomatic relief of obsessive-compulsive disorder (OCD) in Canada.[L8516]"	P28335; P11229; P18825; P10635; P28223; Q01959; P25100; P33261; P14416; P08908; P35367; P31645; P23975; P35348
