# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0045429	positive regulation of nitric oxide biosynthetic process	8	26	3.28300059587e-10	3.8148466924e-07
GO:1902430	negative regulation of amyloid-beta formation	6	16	1.52501933461e-08	8.86036233406e-06
GO:1990535	neuron projection maintenance	5	9	2.29539788426e-08	8.89084113837e-06
GO:0010629	negative regulation of gene expression	13	162	4.10375597425e-08	1.19214111052e-05
GO:0045821	positive regulation of glycolytic process	5	14	3.48214561337e-07	8.09250640548e-05
GO:0010628	positive regulation of gene expression	15	271	4.84334811642e-07	9.37995085214e-05
GO:0030335	positive regulation of cell migration	12	172	6.44300474541e-07	0.000106953878774
GO:1900221	regulation of amyloid-beta clearance	3	3	1.50306123098e-06	0.000194061905599
GO:1904646	cellular response to amyloid-beta	6	32	1.48398196456e-06	0.000194061905599
GO:0034205	amyloid-beta formation	4	9	2.03955353148e-06	0.000236996120358
GO:0045840	positive regulation of mitotic nuclear division	5	20	2.55109251288e-06	0.00026948813636
GO:0043410	positive regulation of MAPK cascade	9	104	2.95799159836e-06	0.000286432186441
GO:0043525	positive regulation of neuron apoptotic process	5	23	5.38536104763e-06	0.000446984966953
GO:0046628	positive regulation of insulin receptor signaling pathway	4	11	5.24682571599e-06	0.000446984966953
GO:0014910	regulation of smooth muscle cell migration	3	4	5.96145695343e-06	0.000461814198659
GO:0051044	positive regulation of membrane protein ectodomain proteolysis	4	13	1.11663586912e-05	0.000682910989428
GO:1904294	positive regulation of ERAD pathway	4	13	1.11663586912e-05	0.000682910989428
GO:0045725	positive regulation of glycogen biosynthetic process	4	13	1.11663586912e-05	0.000682910989428
GO:0042987	amyloid precursor protein catabolic process	4	13	1.11663586912e-05	0.000682910989428
GO:0007613	memory	5	28	1.50195584683e-05	0.000727196955839
GO:0007611	learning or memory	5	28	1.50195584683e-05	0.000727196955839
GO:0035094	response to nicotine	3	5	1.47778067777e-05	0.000727196955839
GO:0043243	positive regulation of protein-containing complex disassembly	3	5	1.47778067777e-05	0.000727196955839
GO:1903243	negative regulation of cardiac muscle hypertrophy in response to stress	3	5	1.47778067777e-05	0.000727196955839
GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	6	48	1.72859937776e-05	0.000803452990782
GO:1902004	positive regulation of amyloid-beta formation	4	15	2.09394728512e-05	0.000887275619505
GO:0097242	amyloid-beta clearance	4	15	2.09394728512e-05	0.000887275619505
GO:0008286	insulin receptor signaling pathway	5	30	2.13801354098e-05	0.000887275619505
GO:0050435	amyloid-beta metabolic process	3	6	2.93061900551e-05	0.00106418102637
GO:2001240	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	4	16	2.76706933718e-05	0.00106418102637
GO:0008284	positive regulation of cell population proliferation	12	249	2.92879257801e-05	0.00106418102637
GO:0043171	peptide catabolic process	3	6	2.93061900551e-05	0.00106418102637
GO:0001934	positive regulation of protein phosphorylation	8	107	3.14546551746e-05	0.00110758513069
GO:0045861	negative regulation of proteolysis	4	17	3.58626488509e-05	0.00122565876367
GO:0036503	ERAD pathway	6	62	7.59222520125e-05	0.00252061876682
GO:0042982	amyloid precursor protein metabolic process	3	8	8.06792096488e-05	0.00260414560033
GO:0006509	membrane protein ectodomain proteolysis	4	21	8.70178925653e-05	0.00266091555687
GO:0046326	positive regulation of D-glucose import	4	21	8.70178925653e-05	0.00266091555687
GO:0060559	positive regulation of calcidiol 1-monooxygenase activity	2	2	0.000132320775034	0.00320326542894
GO:0050808	synapse organization	4	23	0.000126467726984	0.00320326542894
GO:1902894	negative regulation of miRNA transcription	4	23	0.000126467726984	0.00320326542894
GO:1902998	positive regulation of neurofibrillary tangle assembly	2	2	0.000132320775034	0.00320326542894
GO:0031334	positive regulation of protein-containing complex assembly	5	42	0.000114265977362	0.00320326542894
GO:0016485	protein processing	5	42	0.000114265977362	0.00320326542894
GO:0034502	protein localization to chromosome	2	2	0.000132320775034	0.00320326542894
GO:0033628	regulation of cell adhesion mediated by integrin	3	9	0.000119999037709	0.00320326542894
GO:1903597	negative regulation of gap junction assembly	2	2	0.000132320775034	0.00320326542894
GO:1905906	regulation of amyloid fibril formation	2	2	0.000132320775034	0.00320326542894
GO:0031333	negative regulation of protein-containing complex assembly	4	26	0.000207879460752	0.00492971292641
GO:2001234	negative regulation of apoptotic signaling pathway	3	11	0.000231759571916	0.00528048279541
GO:0001774	microglial cell activation	3	11	0.000231759571916	0.00528048279541
GO:0006298	mismatch repair	3	12	0.00030641273788	0.00659354817438
GO:0097435	supramolecular fiber organization	3	12	0.00030641273788	0.00659354817438
GO:0050995	negative regulation of lipid catabolic process	3	12	0.00030641273788	0.00659354817438
GO:0032148	activation of protein kinase B activity	3	13	0.000394986651634	0.00764957481997
GO:1902952	positive regulation of dendritic spine maintenance	2	3	0.000393956202647	0.00764957481997
GO:0061740	protein targeting to lysosome involved in chaperone-mediated autophagy	2	3	0.000393956202647	0.00764957481997
GO:0030730	sequestering of triglyceride	2	3	0.000393956202647	0.00764957481997
GO:0001836	release of cytochrome c from mitochondria	3	13	0.000394986651634	0.00764957481997
GO:1905908	positive regulation of amyloid fibril formation	2	3	0.000393956202647	0.00764957481997
GO:0097191	extrinsic apoptotic signaling pathway	4	31	0.000418460792662	0.00797133509956
GO:0050679	positive regulation of epithelial cell proliferation	4	32	0.000474003740169	0.00888374751736
