# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0045429	positive regulation of nitric oxide biosynthetic process	7	26	2.92007707546e-10	2.74487245093e-07
GO:1902430	negative regulation of amyloid-beta formation	6	16	6.00367431607e-10	2.82172692855e-07
GO:1990535	neuron projection maintenance	5	9	1.54560222887e-09	4.84288698378e-07
GO:0010629	negative regulation of gene expression	11	162	1.00566486925e-08	2.36331244273e-06
GO:0045821	positive regulation of glycolytic process	5	14	2.39189961948e-08	4.49677128462e-06
GO:1904646	cellular response to amyloid-beta	6	32	6.23748855001e-08	9.77206539501e-06
GO:0045840	positive regulation of mitotic nuclear division	5	20	1.79469206556e-07	2.41001505947e-05
GO:0034205	amyloid-beta formation	4	9	2.40053999758e-07	2.82063449716e-05
GO:1900221	regulation of amyloid-beta clearance	3	3	3.00481602019e-07	3.13836339886e-05
GO:0043525	positive regulation of neuron apoptotic process	5	23	3.83401838147e-07	3.60397727858e-05
GO:0051044	positive regulation of membrane protein ectodomain proteolysis	4	13	1.33451205441e-06	8.36294220766e-05
GO:0007611	learning or memory	5	28	1.09071230526e-06	8.36294220766e-05
GO:0042987	amyloid precursor protein catabolic process	4	13	1.33451205441e-06	8.36294220766e-05
GO:0045725	positive regulation of glycogen biosynthetic process	4	13	1.33451205441e-06	8.36294220766e-05
GO:0014910	regulation of smooth muscle cell migration	3	4	1.19606207151e-06	8.36294220766e-05
GO:0010628	positive regulation of gene expression	11	271	1.86172691901e-06	0.000109376456492
GO:0030335	positive regulation of cell migration	9	172	2.21893346215e-06	0.000122693967907
GO:0097242	amyloid-beta clearance	4	15	2.52167996974e-06	0.000124756798503
GO:1902004	positive regulation of amyloid-beta formation	4	15	2.52167996974e-06	0.000124756798503
GO:0035094	response to nicotine	3	5	2.97556950667e-06	0.00013319215887
GO:0043243	positive regulation of protein-containing complex disassembly	3	5	2.97556950667e-06	0.00013319215887
GO:2001240	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	4	16	3.34502674265e-06	0.000142923869913
GO:0043410	positive regulation of MAPK cascade	7	104	6.20410435396e-06	0.00022778059071
GO:0050435	amyloid-beta metabolic process	3	6	5.92211721663e-06	0.00022778059071
GO:0008284	positive regulation of cell population proliferation	10	249	6.30031421113e-06	0.00022778059071
GO:0043171	peptide catabolic process	3	6	5.92211721663e-06	0.00022778059071
GO:0031334	positive regulation of protein-containing complex assembly	5	42	8.77009013103e-06	0.000294424454399
GO:0016485	protein processing	5	42	8.77009013103e-06	0.000294424454399
GO:0006509	membrane protein ectodomain proteolysis	4	21	1.07213983218e-05	0.000347521186981
GO:0042982	amyloid precursor protein metabolic process	3	8	1.64206535455e-05	0.00048723035959
GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	5	48	1.71048956026e-05	0.00048723035959
GO:0051897	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	7	121	1.68323385875e-05	0.00048723035959
GO:0050808	synapse organization	4	23	1.57007949647e-05	0.00048723035959
GO:0007613	memory	4	28	3.53856329116e-05	0.000978308674615
GO:0001774	microglial cell activation	3	11	4.76785984972e-05	0.00106709244256
GO:0008286	insulin receptor signaling pathway	4	30	4.68795099553e-05	0.00106709244256
GO:1903597	negative regulation of gap junction assembly	2	2	4.55141250114e-05	0.00106709244256
GO:0046628	positive regulation of insulin receptor signaling pathway	3	11	4.76785984972e-05	0.00106709244256
GO:2001234	negative regulation of apoptotic signaling pathway	3	11	4.76785984972e-05	0.00106709244256
GO:0060559	positive regulation of calcidiol 1-monooxygenase activity	2	2	4.55141250114e-05	0.00106709244256
GO:1902998	positive regulation of neurofibrillary tangle assembly	2	2	4.55141250114e-05	0.00106709244256
GO:1905906	regulation of amyloid fibril formation	2	2	4.55141250114e-05	0.00106709244256
GO:0050995	negative regulation of lipid catabolic process	3	12	6.32619149307e-05	0.00135150454625
GO:0097435	supramolecular fiber organization	3	12	6.32619149307e-05	0.00135150454625
GO:0001836	release of cytochrome c from mitochondria	3	13	8.18401357926e-05	0.00166793754097
GO:0032148	activation of protein kinase B activity	3	13	8.18401357926e-05	0.00166793754097
GO:0001934	positive regulation of protein phosphorylation	6	107	8.33968770484e-05	0.00166793754097
GO:0097193	intrinsic apoptotic signaling pathway	3	15	0.000128936131517	0.0024574024446
GO:0009636	response to toxic substance	3	15	0.000128936131517	0.0024574024446
GO:1902952	positive regulation of dendritic spine maintenance	2	3	0.000135941411829	0.0024574024446
GO:1905908	positive regulation of amyloid fibril formation	2	3	0.000135941411829	0.0024574024446
GO:0030730	sequestering of triglyceride	2	3	0.000135941411829	0.0024574024446
GO:0043537	negative regulation of blood vessel endothelial cell migration	3	17	0.000190825869802	0.00332178365951
GO:0045861	negative regulation of proteolysis	3	17	0.000190825869802	0.00332178365951
GO:0048662	negative regulation of smooth muscle cell proliferation	3	18	0.000227877717823	0.00389463735915
GO:0002265	astrocyte activation involved in immune response	2	4	0.000270686761592	0.00424075926494
GO:1902951	negative regulation of dendritic spine maintenance	2	4	0.000270686761592	0.00424075926494
GO:0090258	negative regulation of mitochondrial fission	2	4	0.000270686761592	0.00424075926494
GO:0031622	positive regulation of fever generation	2	4	0.000270686761592	0.00424075926494
GO:1902992	negative regulation of amyloid precursor protein catabolic process	2	4	0.000270686761592	0.00424075926494
GO:1902042	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	3	20	0.000315271649648	0.00485828443721
GO:0045766	positive regulation of angiogenesis	5	89	0.000334346870458	0.00506912997146
GO:0046326	positive regulation of D-glucose import	3	21	0.000366030024874	0.00546140037114
GO:0042447	hormone catabolic process	2	5	0.000449160889641	0.00620898876856
GO:0060267	positive regulation of respiratory burst	2	5	0.000449160889641	0.00620898876856
GO:0060252	positive regulation of glial cell proliferation	2	5	0.000449160889641	0.00620898876856
GO:0017038	protein import	2	5	0.000449160889641	0.00620898876856
GO:1905461	positive regulation of vascular associated smooth muscle cell apoptotic process	2	5	0.000449160889641	0.00620898876856
GO:1902894	negative regulation of miRNA transcription	3	23	0.000482675529295	0.00657557967445
GO:0008217	regulation of blood pressure	3	24	0.000548951375853	0.00737163276146
GO:0006939	smooth muscle contraction	2	6	0.000670780275852	0.00840711279068
GO:0007220	Notch receptor processing	2	6	0.000670780275852	0.00840711279068
GO:0010815	bradykinin catabolic process	2	6	0.000670780275852	0.00840711279068
GO:0010573	vascular endothelial growth factor production	2	6	0.000670780275852	0.00840711279068
GO:0097062	dendritic spine maintenance	2	6	0.000670780275852	0.00840711279068
GO:0031333	negative regulation of protein-containing complex assembly	3	26	0.000698347641121	0.0086374576665
GO:0048143	astrocyte activation	2	7	0.000934967115263	0.0108502356586
GO:0000122	negative regulation of transcription by RNA polymerase II	11	537	0.00091600774826	0.0108502356586
GO:1900271	regulation of long-term synaptic potentiation	2	7	0.000934967115263	0.0108502356586
GO:0010917	negative regulation of mitochondrial membrane potential	2	7	0.000934967115263	0.0108502356586
GO:0022898	regulation of transmembrane transporter activity	2	7	0.000934967115263	0.0108502356586
GO:0042593	glucose homeostasis	4	65	0.000968516006571	0.0109687354961
GO:0048661	positive regulation of smooth muscle cell proliferation	3	29	0.00096723821065	0.0109687354961
GO:0048469	cell maturation	2	8	0.00124114926919	0.0131087675622
GO:0097191	extrinsic apoptotic signaling pathway	3	31	0.00117835214353	0.0131087675622
GO:2000272	negative regulation of signaling receptor activity	2	8	0.00124114926919	0.0131087675622
GO:0030195	negative regulation of blood coagulation	2	8	0.00124114926919	0.0131087675622
GO:0038060	nitric oxide-cGMP-mediated signaling	2	8	0.00124114926919	0.0131087675622
GO:1903589	positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis	2	8	0.00124114926919	0.0131087675622
GO:0031175	neuron projection development	4	70	0.00127864873787	0.0133547757066
GO:0050714	positive regulation of protein secretion	3	32	0.00129395198839	0.0133660974625
GO:0030224	monocyte differentiation	2	9	0.00158876021656	0.0152391286078
GO:1900272	negative regulation of long-term synaptic potentiation	2	9	0.00158876021656	0.0152391286078
GO:0048009	insulin-like growth factor receptor signaling pathway	2	9	0.00158876021656	0.0152391286078
GO:1903140	regulation of establishment of endothelial barrier	2	9	0.00158876021656	0.0152391286078
GO:0015909	long-chain fatty acid transport	2	9	0.00158876021656	0.0152391286078
GO:0001878	response to yeast	2	9	0.00158876021656	0.0152391286078
GO:1902966	positive regulation of protein localization to early endosome	2	9	0.00158876021656	0.0152391286078
GO:0019732	antifungal humoral response	2	10	0.00197723900595	0.0181111972167
GO:0043066	negative regulation of apoptotic process	7	263	0.00198452480141	0.0181111972167
GO:0060999	positive regulation of dendritic spine development	2	10	0.00197723900595	0.0181111972167
GO:0008306	associative learning	2	10	0.00197723900595	0.0181111972167
GO:0034392	negative regulation of smooth muscle cell apoptotic process	2	10	0.00197723900595	0.0181111972167
GO:0007186	G protein-coupled receptor signaling pathway	4	82	0.00229470011733	0.0206313206733
GO:0006898	receptor-mediated endocytosis	3	39	0.00230456241564	0.0206313206733
GO:0044794	positive regulation by host of viral process	2	11	0.00240603020754	0.0207492513311
GO:0048814	regulation of dendrite morphogenesis	2	11	0.00240603020754	0.0207492513311
