# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0019828	aspartic-type endopeptidase inhibitor activity	4	6	1.88249829166e-06	0.000538394511414
GO:0004175	endopeptidase activity	7	49	3.60864623181e-05	0.00258018205575
GO:0019003	GDP binding	7	49	3.60864623181e-05	0.00258018205575
GO:0005159	insulin-like growth factor receptor binding	3	4	2.71454129469e-05	0.00258018205575
GO:0003924	GTPase activity	9	100	0.000118333435146	0.00676867249036
GO:0001018	mitochondrial promoter sequence-specific DNA binding	2	2	0.000364081793351	0.00946612662712
GO:0004104	cholinesterase activity	2	2	0.000364081793351	0.00946612662712
GO:0008240	tripeptidyl-peptidase activity	2	2	0.000364081793351	0.00946612662712
GO:0048018	receptor ligand activity	7	68	0.000300409549828	0.00946612662712
GO:0003990	acetylcholinesterase activity	2	2	0.000364081793351	0.00946612662712
GO:0005525	GTP binding	8	90	0.00030993651488	0.00946612662712
GO:0030911	TPR domain binding	2	3	0.00107847867254	0.0205629933564
GO:0043559	insulin binding	2	3	0.00107847867254	0.0205629933564
GO:0004705	JUN kinase activity	2	3	0.00107847867254	0.0205629933564
GO:0051787	misfolded protein binding	3	11	0.00101420410003	0.0205629933564
GO:0051117	ATPase binding	3	14	0.00214485568779	0.034079373706
GO:0030235	nitric-oxide synthase regulator activity	2	4	0.0021298119321	0.034079373706
GO:0008200	ion channel inhibitor activity	2	4	0.0021298119321	0.034079373706
GO:0001540	amyloid-beta binding	4	32	0.00306118034214	0.046078819887
GO:0042166	acetylcholine binding	2	5	0.00350508120871	0.0477358678901
GO:0005007	fibroblast growth factor receptor activity	2	5	0.00350508120871	0.0477358678901
