# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0005159	insulin-like growth factor receptor binding	3	4	1.09298773357e-05	0.00245922240053
GO:0004175	endopeptidase activity	6	49	6.01077315969e-05	0.00338105990233
GO:0019828	aspartic-type endopeptidase inhibitor activity	3	6	5.35254368326e-05	0.00338105990233
GO:0048018	receptor ligand activity	7	68	4.51041825472e-05	0.00338105990233
GO:0004104	cholinesterase activity	2	2	0.000198464151483	0.00637920486911
GO:0008240	tripeptidyl-peptidase activity	2	2	0.000198464151483	0.00637920486911
GO:0003990	acetylcholinesterase activity	2	2	0.000198464151483	0.00637920486911
GO:0043559	insulin binding	2	3	0.000589870384124	0.0165901045535
GO:0001540	amyloid-beta binding	4	32	0.00100807636329	0.0252019090823
GO:0008200	ion channel inhibitor activity	2	4	0.00116881089091	0.0262982450455
GO:0042166	acetylcholine binding	2	5	0.00192999004436	0.0394770690893
GO:0005198	structural molecule activity	3	19	0.002267056834	0.0425073156376
GO:0003924	GTPase activity	6	100	0.00285605043572	0.0494316421568
