# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0005159	insulin-like growth factor receptor binding	3	4	2.19467454105e-06	0.000414793488259
GO:0019828	aspartic-type endopeptidase inhibitor activity	3	6	1.08426763565e-05	0.00102463291568
GO:0048018	receptor ligand activity	6	68	1.94761256914e-05	0.00122699591856
GO:0004175	endopeptidase activity	5	49	4.95604581096e-05	0.00184316407882
GO:0004104	cholinesterase activity	2	2	6.82653362527e-05	0.00184316407882
GO:0008240	tripeptidyl-peptidase activity	2	2	6.82653362527e-05	0.00184316407882
GO:0003990	acetylcholinesterase activity	2	2	6.82653362527e-05	0.00184316407882
GO:0001540	amyloid-beta binding	4	32	0.000132627675461	0.00313332883276
GO:0043559	insulin binding	2	3	0.000203692074663	0.00427753356792
GO:0005198	structural molecule activity	3	19	0.000486055111674	0.00835131055513
GO:0005178	integrin binding	4	44	0.000464426766572	0.00835131055513
GO:0042166	acetylcholine binding	2	5	0.000671679851729	0.0105789576647
GO:0008233	peptidase activity	4	51	0.000818339626205	0.011897399181
GO:0002020	protease binding	2	7	0.00139539325517	0.0175819550152
GO:0015267	channel activity	2	7	0.00139539325517	0.0175819550152
GO:0005158	insulin receptor binding	2	8	0.00185052496542	0.0218593261541
GO:0042277	peptide binding	2	9	0.00236646675334	0.02630954214
GO:0043395	heparan sulfate proteoglycan binding	2	10	0.00294220418663	0.0308931439596
GO:0008083	growth factor activity	3	37	0.00350179428236	0.0321906157912
GO:0001968	fibronectin binding	2	11	0.00357673508792	0.0321906157912
GO:0004866	endopeptidase inhibitor activity	2	11	0.00357673508792	0.0321906157912
GO:0050750	low-density lipoprotein particle receptor binding	2	12	0.00426906940536	0.0366751871643
GO:0005125	cytokine activity	3	50	0.00817938559957	0.0388775293781
GO:0038054	G protein-coupled estrogen receptor activity	1	1	0.00832144555394	0.0388775293781
GO:0000246	delta24(24-1) sterol reductase activity	1	1	0.00832144555394	0.0388775293781
GO:0008929	methylglyoxal synthase activity	1	1	0.00832144555394	0.0388775293781
GO:0004877	complement component C3b receptor activity	1	1	0.00832144555394	0.0388775293781
GO:0046911	metal chelating activity	1	1	0.00832144555394	0.0388775293781
GO:0033781	cholesterol 24-hydroxylase activity	1	1	0.00832144555394	0.0388775293781
GO:0001861	complement component C4b receptor activity	1	1	0.00832144555394	0.0388775293781
GO:0005010	insulin-like growth factor receptor activity	1	1	0.00832144555394	0.0388775293781
GO:0016248	channel inhibitor activity	1	1	0.00832144555394	0.0388775293781
GO:0005520	insulin-like growth factor binding	1	1	0.00832144555394	0.0388775293781
GO:0031805	type 8 metabotropic glutamate receptor binding	1	1	0.00832144555394	0.0388775293781
GO:0020037	heme binding	3	51	0.00863945097291	0.0388775293781
GO:0008289	lipid binding	3	51	0.00863945097291	0.0388775293781
GO:0004489	methylenetetrahydrofolate reductase (NAD(P)H) activity	1	1	0.00832144555394	0.0388775293781
GO:0050614	delta24-sterol reductase activity	1	1	0.00832144555394	0.0388775293781
GO:0015304	D-glucose uniporter activity	1	1	0.00832144555394	0.0388775293781
GO:0004807	triose-phosphate isomerase activity	1	1	0.00832144555394	0.0388775293781
GO:0099609	microtubule lateral binding	1	1	0.00832144555394	0.0388775293781
GO:0005009	insulin receptor activity	1	1	0.00832144555394	0.0388775293781
