#Position	SeedUserEntity
1	9708
2	12394
3	12651
4	10388
5	33157
6	13557
7	23042
8	10162
9	14152
10	14472
11	56840
12	34107
13	15405
14	12363
15	53582
16	14150
17	14476
18	14975
19	14245
20	9715
21	52278
22	10534
23	14114
24	8209
25	10834
26	14118
27	55257
28	14817
29	12942
30	25618
31	15281
32	13490
33	14948
34	11182
35	12217
36	45781
37	13845
38	11828
39	15443
40	8571
41	15796
42	56947
43	14680
44	16500
45	14154
46	21734
47	13806
48	8202
49	19733
50	11867
51	57369
52	35602
53	10204
54	14055
55	11955
56	14539
57	15637
58	16496
59	13474
60	7946
61	14812
62	37407
63	12526
64	14588
65	31195
66	11211
67	15961
68	7195
69	45976
