# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0034502	protein localization to chromosome	2	2	1.32490392891e-05	0.00208672368803
GO:0006298	mismatch repair	3	12	9.9563696619e-06	0.00208672368803
GO:0006284	base-excision repair	3	20	5.05506637308e-05	0.00530781969174
GO:0006260	DNA replication	3	23	7.7932963182e-05	0.00613722085058
GO:0006289	nucleotide-excision repair	3	26	0.000113542263642	0.00715316260946
GO:0141163	positive regulation of cAMP/PKA signal transduction	2	7	0.00027500479284	0.0144377516241
GO:0050808	synapse organization	2	23	0.0031920978473	0.0429564290731
GO:0050803	regulation of synapse structure or activity	1	1	0.00368860415456	0.0429564290731
GO:0007617	mating behavior	1	2	0.00736395926968	0.0429564290731
GO:0007612	learning	2	27	0.00438763515769	0.0429564290731
GO:0017004	cytochrome complex assembly	1	2	0.00736395926968	0.0429564290731
GO:2001057	reactive nitrogen species metabolic process	1	1	0.00368860415456	0.0429564290731
GO:0060157	urinary bladder development	1	2	0.00736395926968	0.0429564290731
GO:1904472	positive regulation of endothelin production	1	2	0.00736395926968	0.0429564290731
GO:0051580	regulation of neurotransmitter uptake	1	2	0.00736395926968	0.0429564290731
GO:0032760	positive regulation of tumor necrosis factor production	3	71	0.00222627963354	0.0429564290731
GO:2001015	negative regulation of skeletal muscle cell differentiation	1	1	0.00368860415456	0.0429564290731
GO:0141137	positive regulation of gene expression, epigenetic	1	2	0.00736395926968	0.0429564290731
GO:0098696	regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	1	2	0.00736395926968	0.0429564290731
GO:0090096	positive regulation of metanephric cap mesenchymal cell proliferation	1	1	0.00368860415456	0.0429564290731
GO:0019752	carboxylic acid metabolic process	1	1	0.00368860415456	0.0429564290731
GO:0000724	double-strand break repair via homologous recombination	3	71	0.00222627963354	0.0429564290731
GO:0000165	MAPK cascade	2	33	0.00650902185604	0.0429564290731
GO:0008088	axo-dendritic transport	1	2	0.00736395926968	0.0429564290731
GO:2000479	regulation of cAMP-dependent protein kinase activity	1	2	0.00736395926968	0.0429564290731
GO:0060785	regulation of apoptosis involved in tissue homeostasis	1	1	0.00368860415456	0.0429564290731
GO:1904591	positive regulation of protein import	1	2	0.00736395926968	0.0429564290731
