# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0003735	structural constituent of ribosome	29	79	1.35283570675e-10	8.91518730747e-08
GO:0003723	RNA binding	42	154	6.02747611709e-10	1.98605338058e-07
GO:0003724	RNA helicase activity	13	23	3.74336031706e-08	6.70264515362e-06
GO:0003730	mRNA 3'-UTR binding	20	52	4.06837338611e-08	6.70264515362e-06
GO:0031593	polyubiquitin modification-dependent protein binding	12	27	3.63771072797e-06	0.000479450273947
GO:0048027	mRNA 5'-UTR binding	10	20	6.50661498451e-06	0.000714643212465
GO:0003729	mRNA binding	19	73	6.40505998816e-05	0.00527616816525
GO:0098505	G-rich strand telomeric DNA binding	6	9	6.1107229587e-05	0.00527616816525
GO:0008143	poly(A) binding	7	13	9.36495248168e-05	0.00580643126212
GO:0008379	thioredoxin peroxidase activity	4	4	9.69207039201e-05	0.00580643126212
GO:0044183	protein folding chaperone	11	30	8.09540318209e-05	0.00580643126212
GO:0061631	ubiquitin conjugating enzyme activity	8	18	0.000162359892039	0.00891626407112
GO:0003743	translation initiation factor activity	10	28	0.000220368144452	0.0111709697841
GO:0008301	DNA binding, bending	6	12	0.000516624100687	0.0243182344538
GO:0042162	telomeric DNA binding	8	22	0.000826686718882	0.0340491592339
GO:0003697	single-stranded DNA binding	16	68	0.000809577257772	0.0340491592339
GO:0030911	TPR domain binding	3	3	0.000978398798649	0.0379273416653
GO:0031625	ubiquitin protein ligase binding	11	39	0.00107798623138	0.0394662736934
GO:0097100	supercoiled DNA binding	4	6	0.00123311538848	0.0427696337372
GO:0043130	ubiquitin binding	13	52	0.00135232520938	0.0445591156491
