# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	42	90	1.58441359712e-21	1.75711467921e-18
R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	41	91	2.50700402165e-20	9.26755820003e-18
R-HSA-9010553	Regulation of expression of SLITs and ROBOs	50	132	1.81100004675e-20	9.26755820003e-18
R-HSA-72689	Formation of a pool of free 40S subunits	37	81	1.02629152762e-18	2.84539326034e-16
R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	33	75	3.17396971651e-16	7.03986483123e-14
R-HSA-156902	Peptide chain elongation	31	68	7.41538267341e-16	1.37060989747e-13
R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	36	95	4.34183816548e-15	6.87871217932e-13
R-HSA-72764	Eukaryotic Translation Termination	31	72	5.36433515969e-15	7.43630961512e-13
R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	35	91	6.14880424854e-15	7.57669323515e-13
R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	22	37	9.40555647503e-15	9.48251102801e-13
R-HSA-2408557	Selenocysteine synthesis	31	73	8.56493851864e-15	9.48251102801e-13
R-HSA-192823	Viral mRNA Translation	30	69	1.07413795699e-14	9.92682495247e-13
R-HSA-72163	mRNA Splicing - Major Pathway	52	195	7.68828139962e-14	6.55869544014e-12
R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency	31	81	2.60203646158e-13	2.06118459707e-11
R-HSA-72649	Translation initiation complex formation	22	45	2.10289193446e-12	1.55473810354e-10
R-HSA-72702	Ribosomal scanning and start codon recognition	21	45	2.09039133178e-11	1.44890249184e-09
R-HSA-8852276	The role of GTSE1 in G2/M progression after G2 checkpoint	23	54	2.3886177119e-11	1.5582217897e-09
R-HSA-9755511	KEAP1-NFE2L2 pathway	23	56	5.88334701126e-11	3.62479546416e-09
R-HSA-379716	Cytosolic tRNA aminoacylation	15	24	6.74318854501e-11	3.93589268233e-09
R-HSA-68867	Assembly of the pre-replicative complex	24	63	1.48121777111e-10	8.21335254081e-09
R-HSA-8866652	Synthesis of active ubiquitin: roles of E1 and E2 enzymes	14	22	2.09885080179e-10	1.1083931139e-08
R-HSA-9604323	Negative regulation of NOTCH4 signaling	18	37	2.43823878446e-10	1.13046291986e-08
