# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-110312	Translesion synthesis by REV1	3	12	1.2226818111e-05	0.000638078371393
R-HSA-69166	Removal of the Flap Intermediate	3	14	2.01195882872e-05	0.000638078371393
R-HSA-5358606	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	3	14	2.01195882872e-05	0.000638078371393
R-HSA-5358565	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	3	14	2.01195882872e-05	0.000638078371393
R-HSA-3371511	HSF1 activation	3	10	6.70572225365e-06	0.000638078371393
R-HSA-5655862	Translesion synthesis by POLK	3	13	1.58514943906e-05	0.000638078371393
R-HSA-5656121	Translesion synthesis by POLI	3	13	1.58514943906e-05	0.000638078371393
R-HSA-110320	Translesion Synthesis by POLH	3	15	2.50808788385e-05	0.000695994387769
R-HSA-174437	Removal of the Flap Intermediate from the C-strand	3	17	3.7279314982e-05	0.000918602947601
R-HSA-9753510	Signaling by RAS GAP mutants	2	3	4.55163622685e-05	0.000918602947601
R-HSA-9753512	Signaling by RAS GTPase mutants	2	3	4.55163622685e-05	0.000918602947601
R-HSA-5651801	PCNA-Dependent Long Patch Base Excision Repair	3	21	7.21219430462e-05	0.00123162087356
R-HSA-5696397	Gap-filling DNA repair synthesis and ligation in GG-NER	3	21	7.21219430462e-05	0.00123162087356
R-HSA-110314	Recognition of DNA damage by PCNA-containing replication complex	3	24	0.000108860453273	0.00172621575904
R-HSA-1169092	Activation of RAS in B cells	2	5	0.000150964839505	0.00223427962468
R-HSA-5656169	Termination of translesion DNA synthesis	3	28	0.000174286483345	0.00241822495641
R-HSA-6802953	RAS signaling downstream of NF1 loss-of-function variants	2	6	0.000225882305586	0.00263925641263
R-HSA-112412	SOS-mediated signalling	2	6	0.000225882305586	0.00263925641263
R-HSA-9634635	Estrogen-stimulated signaling through PRKCZ	2	6	0.000225882305586	0.00263925641263
R-HSA-6783310	Fanconi Anemia Pathway	3	34	0.000313188187916	0.00291060342313
R-HSA-176187	Activation of ATR in response to replication stress	3	36	0.000371658713476	0.00291060342313
R-HSA-68962	Activation of the pre-replicative complex	3	33	0.00028633351089	0.00291060342313
R-HSA-9034864	Activated NTRK3 signals through RAS	2	7	0.000315446452043	0.00291060342313
R-HSA-2428933	SHC-related events triggered by IGF1R	2	8	0.000419546439371	0.00291060342313
R-HSA-2179392	EGFR Transactivation by Gastrin	2	8	0.000419546439371	0.00291060342313
R-HSA-74751	Insulin receptor signalling cascade	2	8	0.000419546439371	0.00291060342313
R-HSA-5696400	Dual Incision in GG-NER	3	36	0.000371658713476	0.00291060342313
R-HSA-167044	Signalling to RAS	2	8	0.000419546439371	0.00291060342313
R-HSA-9709570	Impaired BRCA2 binding to RAD51	3	34	0.000313188187916	0.00291060342313
R-HSA-9026519	Activated NTRK2 signals through RAS	2	8	0.000419546439371	0.00291060342313
R-HSA-5696395	Formation of Incision Complex in GG-NER	3	35	0.00034161704906	0.00291060342313
R-HSA-5685938	HDR through Single Strand Annealing (SSA)	3	36	0.000371658713476	0.00291060342313
R-HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	3	39	0.00047183939577	0.00317419229882
R-HSA-9703648	Signaling by FLT3 ITD and TKD mutants	2	9	0.000538072035735	0.00351329388039
R-HSA-9028731	Activated NTRK2 signals through FRS2 and FRS3	2	10	0.000670913614121	0.00391954795618
R-HSA-9634285	Constitutive Signaling by Overexpressed ERBB2	2	10	0.000670913614121	0.00391954795618
R-HSA-8851805	MET activates RAS signaling	2	10	0.000670913614121	0.00391954795618
R-HSA-5655291	Signaling by FGFR4 in disease	2	10	0.000670913614121	0.00391954795618
R-HSA-5685942	HDR through Homologous Recombination (HRR)	3	45	0.000720742512311	0.004102688147
R-HSA-5654704	SHC-mediated cascade:FGFR3	2	11	0.000817962149407	0.00412699084474
R-HSA-1250347	SHC1 events in ERBB4 signaling	2	11	0.000817962149407	0.00412699084474
