#Position	OddsRatio	P-value
13	21.380952381	2.21237691605e-08
14	18.0	2.74751295831e-07
15	17.9598214286	2.79663982446e-07
16	17.9196428571	2.84674396637e-07
17	14.9579831933	3.11056939514e-06
18	12.3333333333	2.98393994374e-05
19	9.99248120301	0.000248918026931
20	9.96992481203	0.000251788979136
21	9.94736842105	0.000254698553772
22	7.85714285714	0.00181460880347
23	7.83928571429	0.00183175595611
24	7.82142857143	0.00184909723648
25	5.94557823129	0.0110289703659
26	5.94557823129	0.0110289703659
27	3.96363636364	0.0618938128418
28	3.96363636364	0.0618938128418
29	2.36413043478	0.242685155121
30	1.0637254902	1.0
31	1.0637254902	1.0
32	1.0637254902	1.0
33	1.0637254902	1.0
34	1.0637254902	1.0
35	0.0	0.614489049552
36	0.0	0.614489049552
37	0.0	0.614489049552
38	0.0	0.614489049552
39	0.0	0.614489049552
40	0.0	0.614489049552
41	0.0	0.614489049552
42	0.0	0.614489049552
43	0.0	0.614489049552
44	0.0	0.614489049552
45	0.0	0.614489049552
46	0.0	0.614489049552
47	0.0	0.614489049552
48	0.0	0.614489049552
49	0.0	0.614489049552
50	0.0	0.614489049552
51	0.0	0.614489049552
52	0.0	0.614489049552
53	0.0	0.614489049552
54	0.0	0.614489049552
55	0.0	0.614489049552
56	0.0	0.614489049552
57	0.0	0.614489049552
58	0.0	0.614489049552
59	0.0	0.614489049552
60	1.0637254902	1.0
61	1.0637254902	1.0
62	1.0637254902	1.0
63	1.0637254902	1.0
64	1.0637254902	1.0
65	1.0637254902	1.0
66	1.0637254902	1.0
67	1.0637254902	1.0
68	1.0637254902	1.0
69	1.0637254902	1.0
70	1.0637254902	1.0
71	1.0637254902	1.0
72	1.0637254902	1.0
73	1.0637254902	1.0
74	1.0637254902	1.0
75	1.0637254902	1.0
76	1.0637254902	1.0
77	1.0637254902	1.0
78	1.0637254902	1.0
79	1.0637254902	1.0
80	1.0637254902	1.0
81	1.0637254902	1.0
82	1.0637254902	1.0
83	1.0637254902	1.0
84	1.0637254902	1.0
85	0.0	0.614489049552
86	0.0	0.614489049552
87	0.0	0.614489049552
88	0.0	0.614489049552
89	0.0	0.614489049552
90	0.0	0.614489049552
91	0.0	0.614489049552
92	0.0	0.614489049552
93	0.0	0.614489049552
94	0.0	0.614489049552
95	0.0	0.614489049552
