# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-112412	SOS-mediated signalling	4	6	1.90589074808e-07	3.97979564578e-05
R-HSA-9034864	Activated NTRK3 signals through RAS	4	7	4.41008135443e-07	3.97979564578e-05
R-HSA-2428933	SHC-related events triggered by IGF1R	4	8	8.7468036171e-07	3.97979564578e-05
R-HSA-2179392	EGFR Transactivation by Gastrin	4	8	8.7468036171e-07	3.97979564578e-05
R-HSA-9703465	Signaling by FLT3 fusion proteins	5	17	7.50160696621e-07	3.97979564578e-05
R-HSA-74751	Insulin receptor signalling cascade	4	8	8.7468036171e-07	3.97979564578e-05
R-HSA-167044	Signalling to RAS	4	8	8.7468036171e-07	3.97979564578e-05
R-HSA-9026519	Activated NTRK2 signals through RAS	4	8	8.7468036171e-07	3.97979564578e-05
R-HSA-9753510	Signaling by RAS GAP mutants	3	3	1.22958452045e-06	4.47568765445e-05
R-HSA-9753512	Signaling by RAS GTPase mutants	3	3	1.22958452045e-06	4.47568765445e-05
R-HSA-9703648	Signaling by FLT3 ITD and TKD mutants	4	9	1.56133331977e-06	5.16659389451e-05
R-HSA-9028731	Activated NTRK2 signals through FRS2 and FRS3	4	10	2.58059050583e-06	6.26223296081e-05
R-HSA-9634285	Constitutive Signaling by Overexpressed ERBB2	4	10	2.58059050583e-06	6.26223296081e-05
R-HSA-8851805	MET activates RAS signaling	4	10	2.58059050583e-06	6.26223296081e-05
R-HSA-5655291	Signaling by FGFR4 in disease	4	10	2.58059050583e-06	6.26223296081e-05
R-HSA-5654704	SHC-mediated cascade:FGFR3	4	11	4.02151257817e-06	7.70437146555e-05
R-HSA-1250347	SHC1 events in ERBB4 signaling	4	11	4.02151257817e-06	7.70437146555e-05
R-HSA-9673767	Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants	4	11	4.02151257817e-06	7.70437146555e-05
R-HSA-9673770	Signaling by PDGFRA extracellular domain mutants	4	11	4.02151257817e-06	7.70437146555e-05
R-HSA-5654688	SHC-mediated cascade:FGFR1	4	12	5.98215081651e-06	0.000103690614153
R-HSA-179812	GRB2 events in EGFR signaling	4	12	5.98215081651e-06	0.000103690614153
R-HSA-5654719	SHC-mediated cascade:FGFR4	4	13	8.5691125547e-06	0.000119967575766
R-HSA-1963640	GRB2 events in ERBB2 signaling	4	13	8.5691125547e-06	0.000119967575766
R-HSA-5654706	FRS-mediated FGFR3 signaling	4	13	8.5691125547e-06	0.000119967575766
R-HSA-9027284	Erythropoietin activates RAS	4	13	8.5691125547e-06	0.000119967575766
R-HSA-180336	SHC1 events in EGFR signaling	4	13	8.5691125547e-06	0.000119967575766
R-HSA-5637810	Constitutive Signaling by EGFRvIII	4	14	1.18971383377e-05	0.000146847916141
R-HSA-1169092	Activation of RAS in B cells	3	5	1.21028502314e-05	0.000146847916141
R-HSA-5654693	FRS-mediated FGFR1 signaling	4	14	1.18971383377e-05	0.000146847916141
R-HSA-1236382	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	4	14	1.18971383377e-05	0.000146847916141
R-HSA-5654712	FRS-mediated FGFR4 signaling	4	15	1.60886905571e-05	0.000172243628318
R-HSA-5655332	Signaling by FGFR3 in disease	4	15	1.60886905571e-05	0.000172243628318
R-HSA-5654699	SHC-mediated cascade:FGFR2	4	15	1.60886905571e-05	0.000172243628318
R-HSA-9665348	Signaling by ERBB2 ECD mutants	4	15	1.60886905571e-05	0.000172243628318
R-HSA-210993	Tie2 Signaling	4	16	2.12735533294e-05	0.000221244954626
R-HSA-6802953	RAS signaling downstream of NF1 loss-of-function variants	3	6	2.40151113879e-05	0.000236256771491
R-HSA-9634635	Estrogen-stimulated signaling through PRKCZ	3	6	2.40151113879e-05	0.000236256771491
R-HSA-5654700	FRS-mediated FGFR2 signaling	4	17	2.75884433703e-05	0.000257492138122
R-HSA-174437	Removal of the Flap Intermediate from the C-strand	4	17	2.75884433703e-05	0.000257492138122
R-HSA-9607240	FLT3 Signaling	4	18	3.5176631649e-05	0.000320107348006
R-HSA-5655253	Signaling by FGFR2 in disease	4	19	4.41875755781e-05	0.000365551761601
R-HSA-9665686	Signaling by ERBB2 TMD/JMD mutants	4	19	4.41875755781e-05	0.000365551761601
R-HSA-1250196	SHC1 events in ERBB2 signaling	4	19	4.41875755781e-05	0.000365551761601
R-HSA-9670439	Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants	4	19	4.41875755781e-05	0.000365551761601
R-HSA-375165	NCAM signaling for neurite out-growth	4	21	6.71043574622e-05	0.000542799691472
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	6	66	7.44154011753e-05	0.000588852304952
R-HSA-9664565	Signaling by ERBB2 KD Mutants	4	22	8.13368753854e-05	0.000629928141283
R-HSA-3371511	HSF1 activation	3	10	0.00013961085293	0.0010371091932
R-HSA-2424491	DAP12 signaling	4	25	0.000137192224197	0.0010371091932
R-HSA-5655302	Signaling by FGFR1 in disease	4	26	0.000160794355277	0.00117058290642
R-HSA-186763	Downstream signal transduction	4	28	0.000216589722929	0.0015161280605
R-HSA-912446	Meiotic recombination	5	51	0.00021271339558	0.0015161280605
R-HSA-8849471	PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases	3	12	0.000251948423808	0.00169831900493
R-HSA-110312	Translesion synthesis by REV1	3	12	0.000251948423808	0.00169831900493
R-HSA-2871796	FCERI mediated MAPK activation	4	30	0.000285122946695	0.00188699550176
R-HSA-171007	p38MAPK events	3	13	0.000324962217183	0.00203941805267
R-HSA-5655862	Translesion synthesis by POLK	3	13	0.000324962217183	0.00203941805267
R-HSA-5656121	Translesion synthesis by POLI	3	13	0.000324962217183	0.00203941805267
R-HSA-69166	Removal of the Flap Intermediate	3	14	0.000410343602321	0.00244860772533
R-HSA-5358606	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	3	14	0.000410343602321	0.00244860772533
R-HSA-5358565	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	3	14	0.000410343602321	0.00244860772533
R-HSA-9709570	Impaired BRCA2 binding to RAD51	4	34	0.000466750618276	0.00274027782343
R-HSA-110320	Translesion Synthesis by POLH	3	15	0.000508907330266	0.00292670662517
R-HSA-5696395	Formation of Incision Complex in GG-NER	4	35	0.000522626183066	0.00292670662517
R-HSA-1433557	Signaling by SCF-KIT	4	35	0.000522626183066	0.00292670662517
R-HSA-69473	G2/M DNA damage checkpoint	5	62	0.000533391927851	0.00294173729906
R-HSA-5696400	Dual Incision in GG-NER	4	36	0.000583102149918	0.00312131150839
R-HSA-5685938	HDR through Single Strand Annealing (SSA)	4	36	0.000583102149918	0.00312131150839
R-HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	4	39	0.000794223695463	0.00418981775577
R-HSA-9648002	RAS processing	3	18	0.000891394739523	0.00450649562759
