#Position	SeedUserEntity
1	38789
2	11831
3	10917
4	56190
6	38366
7	40977
8	15807
9	54376
10	48873
11	48823
12	30535
13	35220
14	53268
15	11360
16	21064
17	44950
19	12814
20	9762
21	20412
22	20533
23	7996
24	19682
25	8701
26	26841
27	57841
28	50044
29	15712
30	28413
31	39607
32	14641
33	7675
34	31676
35	49351
36	14321
37	15152
38	14666
39	36082
40	10952
41	41691
42	52845
43	55269
44	10551
45	57618
46	7207
47	14787
48	55181
49	19686
50	36755
51	26206
52	38485
53	51034
54	27635
55	43651
56	9947
58	53622
59	9487
60	61549
