# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:2000323	negative regulation of glucocorticoid receptor signaling pathway	5	6	5.39387579797e-10	4.97315348573e-07
GO:0032922	circadian regulation of gene expression	9	57	4.23278419716e-09	1.95131351489e-06
GO:0042634	regulation of hair cycle	3	5	9.56694967149e-06	0.00294024253237
GO:0042752	regulation of circadian rhythm	6	54	1.51055462399e-05	0.003084700893
GO:0007186	G protein-coupled receptor signaling pathway	7	82	1.67283128688e-05	0.003084700893
GO:0042754	negative regulation of circadian rhythm	3	7	3.29989154908e-05	0.00434642858322
GO:0051775	response to redox state	3	7	3.29989154908e-05	0.00434642858322
GO:0051247	positive regulation of protein metabolic process	4	22	6.0022298251e-05	0.00691756987343
GO:0007623	circadian rhythm	4	24	8.58604193398e-05	0.00702140513417
GO:0003100	regulation of systemic arterial blood pressure by endothelin	2	2	9.90002893104e-05	0.00702140513417
GO:0070977	bone maturation	2	2	9.90002893104e-05	0.00702140513417
GO:0034502	protein localization to chromosome	2	2	9.90002893104e-05	0.00702140513417
GO:1905906	regulation of amyloid fibril formation	2	2	9.90002893104e-05	0.00702140513417
GO:0042753	positive regulation of circadian rhythm	3	10	0.000110690405815	0.00728975386866
GO:0045429	positive regulation of nitric oxide biosynthetic process	4	26	0.000118957744266	0.00731193601423
GO:0006641	triglyceride metabolic process	3	11	0.000151094168653	0.00870680146862
GO:0042445	hormone metabolic process	2	3	0.00029505930886	0.00906815609229
GO:1904294	positive regulation of ERAD pathway	3	13	0.000258109414208	0.00906815609229
GO:0150003	regulation of spontaneous synaptic transmission	2	3	0.00029505930886	0.00906815609229
GO:0014823	response to activity	2	3	0.00029505930886	0.00906815609229
GO:0006298	mismatch repair	3	12	0.000199996685613	0.00906815609229
GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	4	30	0.000211469805541	0.00906815609229
GO:0043153	entrainment of circadian clock by photoperiod	3	13	0.000258109414208	0.00906815609229
GO:2000074	regulation of type B pancreatic cell development	2	3	0.00029505930886	0.00906815609229
GO:1900221	regulation of amyloid-beta clearance	2	3	0.00029505930886	0.00906815609229
GO:0040018	positive regulation of multicellular organism growth	2	3	0.00029505930886	0.00906815609229
GO:0055096	low-density lipoprotein particle mediated signaling	2	3	0.00029505930886	0.00906815609229
GO:0007155	cell adhesion	5	58	0.000272724112516	0.00906815609229
GO:0043535	regulation of blood vessel endothelial cell migration	2	3	0.00029505930886	0.00906815609229
GO:0048853	forebrain morphogenesis	2	3	0.00029505930886	0.00906815609229
GO:0042310	vasoconstriction	2	4	0.000586263777452	0.0144629954034
