# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:2000323	negative regulation of glucocorticoid receptor signaling pathway	4	6	1.08204600291e-08	7.41201511994e-06
GO:0032922	circadian regulation of gene expression	6	57	5.15125510938e-07	0.000176430487496
GO:0042754	negative regulation of circadian rhythm	3	7	4.96447307803e-06	0.00113355468615
GO:0042752	regulation of circadian rhythm	5	54	9.33767113483e-06	0.00159907618184
GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	4	30	1.79744306287e-05	0.00246249699613
GO:0006641	triglyceride metabolic process	3	11	2.30517914382e-05	0.0026317461892
GO:0003100	regulation of systemic arterial blood pressure by endothelin	2	2	2.79869464361e-05	0.00273872261553
GO:0043153	entrainment of circadian clock by photoperiod	3	13	3.96548527772e-05	0.00339544676905
GO:0014823	response to activity	2	3	8.36728183074e-05	0.0052105345946
GO:0007186	G protein-coupled receptor signaling pathway	5	82	7.19356942808e-05	0.0052105345946
GO:0048853	forebrain morphogenesis	2	3	8.36728183074e-05	0.0052105345946
GO:0051005	negative regulation of lipoprotein lipase activity	2	4	0.000166771775951	0.00634659258481
GO:0042310	vasoconstriction	2	4	0.000166771775951	0.00634659258481
GO:1902042	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	3	20	0.000153931665859	0.00634659258481
GO:0051248	negative regulation of protein metabolic process	2	4	0.000166771775951	0.00634659258481
GO:0034382	chylomicron remnant clearance	2	4	0.000166771775951	0.00634659258481
GO:0034405	response to fluid shear stress	2	4	0.000166771775951	0.00634659258481
GO:0070328	triglyceride homeostasis	3	19	0.000131337845835	0.00634659258481
GO:0030049	muscle filament sliding	2	5	0.000277000146646	0.00702759631305
GO:0007623	circadian rhythm	3	24	0.000269193542808	0.00702759631305
GO:0042632	cholesterol homeostasis	4	59	0.00026615668648	0.00702759631305
GO:0042634	regulation of hair cycle	2	5	0.000277000146646	0.00702759631305
GO:0035860	glial cell-derived neurotrophic factor receptor signaling pathway	2	5	0.000277000146646	0.00702759631305
GO:0009416	response to light stimulus	2	5	0.000277000146646	0.00702759631305
GO:0071402	cellular response to lipoprotein particle stimulus	2	5	0.000277000146646	0.00702759631305
GO:0022614	membrane to membrane docking	2	5	0.000277000146646	0.00702759631305
GO:0008217	regulation of blood pressure	3	24	0.000269193542808	0.00702759631305
GO:0043407	negative regulation of MAP kinase activity	3	26	0.000343198027548	0.00810657409899
GO:0045429	positive regulation of nitric oxide biosynthetic process	3	26	0.000343198027548	0.00810657409899
GO:0010886	positive regulation of cholesterol storage	2	6	0.000414076410295	0.00834242179565
GO:0034372	very-low-density lipoprotein particle remodeling	2	6	0.000414076410295	0.00834242179565
GO:0048485	sympathetic nervous system development	2	6	0.000414076410295	0.00834242179565
GO:0060047	heart contraction	2	6	0.000414076410295	0.00834242179565
GO:0050667	homocysteine metabolic process	2	6	0.000414076410295	0.00834242179565
GO:0051897	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	5	121	0.00044771291781	0.00876238139143
GO:1905920	positive regulation of CoA-transferase activity	2	7	0.000577721185177	0.0106956489688
GO:0051775	response to redox state	2	7	0.000577721185177	0.0106956489688
GO:0019433	triglyceride catabolic process	2	8	0.000767657213851	0.0131461297872
GO:0032489	regulation of Cdc42 protein signal transduction	2	8	0.000767657213851	0.0131461297872
GO:0001656	metanephros development	2	8	0.000767657213851	0.0131461297872
GO:0038166	angiotensin-activated signaling pathway	2	9	0.000983609349029	0.0160422000973
GO:0042542	response to hydrogen peroxide	2	9	0.000983609349029	0.0160422000973
GO:0090190	positive regulation of branching involved in ureteric bud morphogenesis	2	10	0.00122530453965	0.0190757638559
GO:0006094	gluconeogenesis	2	10	0.00122530453965	0.0190757638559
GO:0033700	phospholipid efflux	2	11	0.00149247181701	0.022718737659
GO:0046889	positive regulation of lipid biosynthetic process	2	12	0.00178484228097	0.025471186718
GO:0010744	positive regulation of macrophage derived foam cell differentiation	2	12	0.00178484228097	0.025471186718
GO:0061136	regulation of proteasomal protein catabolic process	2	12	0.00178484228097	0.025471186718
GO:0045725	positive regulation of glycogen biosynthetic process	2	13	0.00210214908609	0.0287994424795
GO:0031397	negative regulation of protein ubiquitination	3	48	0.00210129908398	0.0287994424795
GO:0001516	prostaglandin biosynthetic process	2	14	0.0024441274282	0.0321966786214
GO:0090201	negative regulation of release of cytochrome c from mitochondria	2	14	0.0024441274282	0.0321966786214
GO:0007599	hemostasis	1	1	0.00533876917104	0.0345005366242
GO:0090362	positive regulation of platelet-derived growth factor production	1	1	0.00533876917104	0.0345005366242
GO:0061146	Peyer's patch morphogenesis	1	1	0.00533876917104	0.0345005366242
GO:0014826	vein smooth muscle contraction	1	1	0.00533876917104	0.0345005366242
GO:0010975	regulation of neuron projection development	2	17	0.00361547396825	0.0345005366242
GO:0060313	negative regulation of blood vessel remodeling	1	1	0.00533876917104	0.0345005366242
GO:0010877	lipid transport involved in lipid storage	1	1	0.00533876917104	0.0345005366242
GO:0000719	photoreactive repair	1	1	0.00533876917104	0.0345005366242
GO:0010976	positive regulation of neuron projection development	3	66	0.0051959136504	0.0345005366242
GO:1904450	positive regulation of aspartate secretion	1	1	0.00533876917104	0.0345005366242
GO:0014740	negative regulation of muscle hyperplasia	1	1	0.00533876917104	0.0345005366242
GO:0045840	positive regulation of mitotic nuclear division	2	20	0.00499952451348	0.0345005366242
