# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-9603798	Class I peroxisomal membrane protein import	14	19	9.17226349647e-12	8.39245954405e-09
R-HSA-9013408	RHOG GTPase cycle	27	72	1.43706499042e-11	8.39245954405e-09
R-HSA-9013405	RHOD GTPase cycle	20	53	5.70514051839e-09	2.22120137516e-06
R-HSA-2995383	Initiation of Nuclear Envelope (NE) Reformation	11	19	7.55096639144e-08	2.2048821863e-05
R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	15	37	1.53661953343e-07	2.99186847451e-05
R-HSA-9013404	RAC2 GTPase cycle	24	86	1.5369187369e-07	2.99186847451e-05
R-HSA-9735871	SARS-CoV-1 targets host intracellular signalling and regulatory pathways	8	11	3.96514814586e-07	6.61613290624e-05
R-HSA-3371568	Attenuation phase	8	13	2.64065544495e-06	0.000385535694963
R-HSA-3371511	HSF1 activation	7	10	3.37072677377e-06	0.000437445430196
R-HSA-2408522	Selenoamino acid metabolism	7	11	8.57559770231e-06	0.000834691509692
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	18	66	7.81110235285e-06	0.000834691509692
R-HSA-8980692	RHOA GTPase cycle	29	141	8.25204545414e-06	0.000834691509692
R-HSA-9665348	Signaling by ERBB2 ECD mutants	8	15	1.1276704144e-05	0.0010131684954
R-HSA-9755511	KEAP1-NFE2L2 pathway	16	56	1.30403076307e-05	0.00108793423662
R-HSA-9755779	SARS-CoV-2 targets host intracellular signalling and regulatory pathways	6	9	2.75803080176e-05	0.00195214684169
R-HSA-9013423	RAC3 GTPase cycle	21	92	2.84130961548e-05	0.00195214684169
R-HSA-2980766	Nuclear Envelope Breakdown	6	9	2.75803080176e-05	0.00195214684169
R-HSA-9841251	Mitochondrial unfolded protein response (UPRmt)	8	17	3.63970340103e-05	0.00236176309578
R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	20	90	6.57600762379e-05	0.00358843618755
R-HSA-5637810	Constitutive Signaling by EGFRvIII	7	14	7.06626988987e-05	0.00358843618755
R-HSA-390450	Folding of actin by CCT/TriC	6	10	6.38946798841e-05	0.00358843618755
R-HSA-9634285	Constitutive Signaling by Overexpressed ERBB2	6	10	6.38946798841e-05	0.00358843618755
R-HSA-1236382	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	7	14	7.06626988987e-05	0.00358843618755
R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	20	91	7.75709861407e-05	0.00377512132552
R-HSA-8866654	E3 ubiquitin ligases ubiquitinate target proteins	13	46	9.52168316326e-05	0.00434477825321
R-HSA-9670439	Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants	8	19	9.67159542666e-05	0.00434477825321
