#Position	OddsRatio	P-value
38	18.5098039216	4.03379759978e-24
39	19.0707070707	1.99261460885e-24
40	20.8485576923	1.13016446124e-25
41	21.5210918114	5.32424863795e-26
42	23.6	2.68745943543e-27
43	22.1756410256	2.74108901453e-26
44	20.8592592593	2.66572765469e-25
45	19.6392857143	2.47460471955e-24
46	20.3165024631	1.15192853008e-24
47	20.2586206897	1.27756531852e-24
48	20.2007389163	1.41722313818e-24
49	19.0344827586	1.26790540888e-23
50	17.9482758621	1.08501446032e-22
51	18.5892857143	5.09023834504e-23
52	19.2777777778	2.33831820074e-23
53	18.1887694146	1.97010022231e-22
54	17.1701388889	1.59078244732e-21
55	16.2154882155	1.23185541663e-20
56	15.3191721133	9.15357996193e-20
57	14.4761904762	6.53023868148e-19
58	14.4338624339	7.12952597188e-19
59	14.3915343915	7.7852736369e-19
60	13.6018518519	5.30856762589e-18
61	12.8568568569	3.47810843677e-17
62	12.1530214425	2.19032562109e-16
63	12.1169590643	2.3745455357e-16
64	12.0808966862	2.57469855557e-16
65	11.4188034188	1.55110255597e-15
66	11.3846153846	1.67793848195e-15
67	10.7592592593	9.69595710694e-15
68	10.1662149955	5.38822844606e-14
69	9.60317460317	2.87985080614e-13
70	9.06804478898	1.48034480769e-12
71	8.55892255892	7.31806936387e-12
72	8.07407407407	3.47867190942e-11
73	7.61191626409	1.5897392886e-10
74	7.17100078802	6.98255241225e-10
75	6.75	2.94662728315e-09
76	6.75	2.94662728315e-09
77	6.12099125364	1.9098076801e-08
78	5.55172413793	1.12642816836e-07
79	5.03529411765	6.04822658199e-07
80	5.03529411765	6.04822658199e-07
81	4.56575682382	2.95702706134e-06
82	4.13797169811	1.31647065467e-05
83	4.13797169811	1.31647065467e-05
84	3.74747474747	6.63805685761e-05
85	4.13797169811	1.31647065467e-05
86	3.74747474747	6.63805685761e-05
87	3.74747474747	6.63805685761e-05
88	3.74747474747	6.63805685761e-05
89	3.39037433155	0.000209941906592
90	3.39037433155	0.000209941906592
91	3.39037433155	0.000209941906592
92	3.06326530612	0.000851203966346
93	2.76315789474	0.00337004243148
94	2.48741845294	0.00695998377212
95	2.48741845294	0.00695998377212
96	2.48741845294	0.00695998377212
97	2.23371989295	0.0204003791905
98	2.23371989295	0.0204003791905
99	2.0	0.0536161660304
100	1.78442622951	0.123786225138
101	1.78442622951	0.123786225138
102	1.78442622951	0.123786225138
103	1.78442622951	0.123786225138
104	1.78442622951	0.123786225138
105	2.0	0.0536161660304
106	2.23371989295	0.0204003791905
107	2.23371989295	0.0204003791905
108	2.0	0.0536161660304
109	2.0	0.0536161660304
110	1.78442622951	0.123786225138
111	1.78442622951	0.123786225138
112	1.58536585366	0.18388251784
113	1.40136054422	0.34160494964
114	1.23110465116	0.567952310554
115	1.07342657343	0.848987297954
116	0.927272727273	1.0
117	0.791693705386	0.702893576432
118	0.791693705386	0.702893576432
119	0.791693705386	0.702893576432
120	0.791693705386	0.702893576432
