#Position	SeedUserEntity
1	9708
3	13001
4	55778
5	13362
6	16271
7	7141
8	33567
9	14665
10	55963
11	33589
12	33545
13	40522
14	10092
15	21247
16	7568
17	33583
18	33553
19	33538
20	33929
21	11180
22	33579
23	55762
24	33564
25	15896
26	21096
27	15366
28	27200
29	53281
30	9796
31	33534
32	34998
34	8788
35	13845
36	10365
37	8791
38	16213
39	31270
40	11840
41	12843
42	12605
43	33558
44	11255
45	35666
46	8579
47	8873
48	49326
49	14628
50	54632
51	13889
52	21616
53	50947
54	45237
55	50917
56	58476
57	14393
58	41919
59	10725
60	47022
61	8595
62	8870
63	37763
64	14879
65	19066
66	15374
67	29773
68	52449
69	47845
70	11424
71	50148
72	49804
73	37345
74	39470
75	7782
76	11853
