# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0042593	glucose homeostasis	23	65	7.66840513089e-19	1.69931857701e-15
GO:0045893	positive regulation of DNA-templated transcription	46	435	2.08989967345e-13	2.31560883818e-10
GO:0046326	positive regulation of D-glucose import	11	21	6.26725104557e-12	4.62940943899e-09
GO:1902895	positive regulation of miRNA transcription	14	42	1.53864078908e-11	8.52406997149e-09
GO:0010628	positive regulation of gene expression	31	271	3.34212413113e-10	1.48122941492e-07
GO:0032869	cellular response to insulin stimulus	14	54	6.72676206656e-10	2.48441745658e-07
GO:0045725	positive regulation of glycogen biosynthetic process	8	13	9.38672536337e-10	2.71364707645e-07
GO:0045944	positive regulation of transcription by RNA polymerase II	57	781	9.79655984279e-10	2.71364707645e-07
GO:0001934	positive regulation of protein phosphorylation	18	107	4.69448028697e-09	1.15588536844e-06
GO:0008286	insulin receptor signaling pathway	10	30	1.33456399158e-08	2.95739380535e-06
GO:0050796	regulation of insulin secretion	9	25	3.34715029672e-08	6.74298641594e-06
GO:0042542	response to hydrogen peroxide	6	9	6.90960780226e-08	1.27597424082e-05
GO:0048661	positive regulation of smooth muscle cell proliferation	9	29	1.4690434812e-07	2.50415411872e-05
GO:0009749	response to glucose	8	23	2.71856175245e-07	4.30309488817e-05
GO:0046627	negative regulation of insulin receptor signaling pathway	8	24	3.96772952131e-07	5.86165907947e-05
GO:0010629	negative regulation of gene expression	19	162	6.76198341421e-07	9.36534702868e-05
GO:0038108	negative regulation of appetite by leptin-mediated signaling pathway	4	4	9.37277841635e-07	0.000115389316504
GO:0036016	cellular response to interleukin-3	4	4	9.37277841635e-07	0.000115389316504
GO:1902042	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	7	20	1.49088309919e-06	0.000166123869976
GO:0031018	endocrine pancreas development	5	8	1.49931290592e-06	0.000166123869976
GO:0030335	positive regulation of cell migration	19	172	1.69740153632e-06	0.000179116276404
GO:0006357	regulation of transcription by RNA polymerase II	18	157	1.86364428906e-06	0.000187719806571
GO:0032024	positive regulation of insulin secretion	7	21	2.17673577974e-06	0.000209723760344
GO:0010507	negative regulation of autophagy	9	40	2.96068541259e-06	0.000273369953096
GO:0008284	positive regulation of cell population proliferation	23	249	3.19366701498e-06	0.000283086644208
GO:0010613	positive regulation of cardiac muscle hypertrophy	6	15	3.50993098743e-06	0.000299154118005
GO:0045444	fat cell differentiation	9	41	3.69025822366e-06	0.000302874526801
GO:0043410	positive regulation of MAPK cascade	14	104	4.0159199624e-06	0.000317831379881
GO:0010907	positive regulation of glucose metabolic process	4	5	4.57061746458e-06	0.000349258217293
