# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0042593	glucose homeostasis	22	65	2.79578189353e-19	5.46295781995e-16
GO:0045893	positive regulation of DNA-templated transcription	41	435	5.29219954688e-13	5.1704789573e-10
GO:0046326	positive regulation of D-glucose import	10	21	3.41670977254e-11	2.22541696518e-08
GO:1902895	positive regulation of miRNA transcription	12	42	4.33192193782e-10	2.11614386662e-07
GO:0045725	positive regulation of glycogen biosynthetic process	7	13	1.14920462229e-08	3.74257638661e-06
GO:0032869	cellular response to insulin stimulus	12	54	1.01625578769e-08	3.74257638661e-06
GO:0045944	positive regulation of transcription by RNA polymerase II	48	781	1.65211105129e-08	4.61174999175e-06
GO:0042542	response to hydrogen peroxide	6	9	2.35874034793e-08	5.76122329983e-06
GO:0008286	insulin receptor signaling pathway	9	30	4.36916224035e-08	9.48593668628e-06
GO:0009749	response to glucose	8	23	6.79811393435e-08	1.32835146277e-05
GO:0046627	negative regulation of insulin receptor signaling pathway	8	24	9.96807514399e-08	1.77069262103e-05
GO:0050796	regulation of insulin secretion	8	25	1.43296700667e-07	2.33334794252e-05
GO:0010628	positive regulation of gene expression	24	271	1.58766941468e-07	2.38638925869e-05
GO:1902042	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	7	20	4.43616977433e-07	5.55458136981e-05
GO:0038108	negative regulation of appetite by leptin-mediated signaling pathway	4	4	4.54827543076e-07	5.55458136981e-05
GO:0036016	cellular response to interleukin-3	4	4	4.54827543076e-07	5.55458136981e-05
GO:0031018	endocrine pancreas development	5	8	6.14334380001e-07	6.9660568403e-05
GO:0032024	positive regulation of insulin secretion	7	21	6.50662604611e-07	6.9660568403e-05
GO:0001934	positive regulation of protein phosphorylation	14	107	6.77354554584e-07	6.9660568403e-05
GO:0120162	positive regulation of cold-induced thermogenesis	13	93	7.89986476586e-07	7.71816787624e-05
GO:0010575	positive regulation of vascular endothelial growth factor production	7	24	1.81069115666e-06	0.000168480500957
GO:0032757	positive regulation of interleukin-8 production	10	58	2.15321207631e-06	0.000191244381687
GO:0030335	positive regulation of cell migration	17	172	2.44716524106e-06	0.000207902647002
GO:0032402	melanosome transport	5	10	2.6478573081e-06	0.000215579715834
GO:0006357	regulation of transcription by RNA polymerase II	16	157	3.2590294477e-06	0.000254725741632
GO:0010629	negative regulation of gene expression	16	162	4.9102501299e-06	0.000369024182839
GO:0070328	triglyceride homeostasis	6	19	6.10973939964e-06	0.000442164103218
GO:0033210	leptin-mediated signaling pathway	4	6	6.54451440592e-06	0.00045671361247
GO:0048661	positive regulation of smooth muscle cell proliferation	7	29	7.30047020688e-06	0.000491900647732
GO:0030073	insulin secretion	5	12	7.97108475643e-06	0.000502435471422
GO:0008284	positive regulation of cell population proliferation	20	249	7.93295907295e-06	0.000502435471422
GO:0032755	positive regulation of interleukin-6 production	10	68	9.53396741609e-06	0.000582167885345
GO:0097191	extrinsic apoptotic signaling pathway	7	31	1.17615505897e-05	0.000696426359161
GO:0070301	cellular response to hydrogen peroxide	7	32	1.47219089159e-05	0.000846076765344
GO:0051897	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	13	121	1.55703656338e-05	0.000869271269953
GO:0043410	positive regulation of MAPK cascade	12	104	1.604063986e-05	0.000870650285732
