# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-9856649	Transcriptional and post-translational regulation of MITF-M expression and activity	21	46	2.39127102834e-11	2.97952370131e-08
R-HSA-9841922	MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis	29	97	9.3647495959e-10	5.83423899824e-07
R-HSA-5620922	BBSome-mediated cargo-targeting to cilium	13	22	2.73083073185e-09	8.50653772971e-07
R-HSA-381340	Transcriptional regulation of white adipocyte differentiation	26	83	2.28929782913e-09	8.50653772971e-07
R-HSA-9725370	Signaling by ALK fusions and activated point mutants	19	49	6.24032136074e-09	1.5550880831e-06
R-HSA-2408522	Selenoamino acid metabolism	9	11	1.06492252498e-08	2.21148911021e-06
R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	28	104	2.39365049667e-08	4.26069788407e-06
R-HSA-9707616	Heme signaling	17	44	4.21007090647e-08	5.24574834947e-06
R-HSA-9845323	Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs)	20	59	3.66223187868e-08	5.24574834947e-06
R-HSA-9824585	Regulation of MITF-M-dependent genes involved in pigmentation	16	39	3.8558532982e-08	5.24574834947e-06
R-HSA-210745	Regulation of gene expression in beta cells	10	16	9.49949136388e-08	1.07603329449e-05
R-HSA-3769402	Deactivation of the beta-catenin transactivating complex	14	36	6.0769809288e-07	6.30993186441e-05
R-HSA-9755779	SARS-CoV-2 targets host intracellular signalling and regulatory pathways	7	9	9.81158114293e-07	9.40402315699e-05
R-HSA-9018519	Estrogen-dependent gene expression	26	113	2.08438548234e-06	0.000185510307928
R-HSA-9755511	KEAP1-NFE2L2 pathway	17	56	2.25712433004e-06	0.000187491794349
R-HSA-9841251	Mitochondrial unfolded protein response (UPRmt)	9	17	2.93637588062e-06	0.000228670271703
R-HSA-8939243	RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	13	36	4.10112998413e-06	0.000300588703543
R-HSA-1368082	RORA activates gene expression	9	18	5.42982517394e-06	0.000330952940667
R-HSA-5218921	VEGFR2 mediated cell proliferation	9	18	5.42982517394e-06	0.000330952940667
R-HSA-111465	Apoptotic cleavage of cellular proteins	9	18	5.42982517394e-06	0.000330952940667
R-HSA-9615017	FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	11	27	5.8434708625e-06	0.000330952940667
R-HSA-4090294	SUMOylation of intracellular receptors	11	27	5.8434708625e-06	0.000330952940667
R-HSA-111447	Activation of BAD and translocation to mitochondria 	7	11	7.71661469719e-06	0.000400620913029
R-HSA-9735871	SARS-CoV-1 targets host intracellular signalling and regulatory pathways	7	11	7.71661469719e-06	0.000400620913029
R-HSA-9818749	Regulation of NFE2L2 gene expression	6	8	9.0475615145e-06	0.000450930465883
R-HSA-383280	Nuclear Receptor transcription pathway	15	50	1.04523710157e-05	0.000500909780215
R-HSA-3299685	Detoxification of Reactive Oxygen Species	12	34	1.268074131e-05	0.000574699356326
R-HSA-3214858	RMTs methylate histone arginines	14	45	1.2914592277e-05	0.000574699356326
R-HSA-3899300	SUMOylation of transcription cofactors	13	40	1.54871201146e-05	0.000665412126304
R-HSA-112412	SOS-mediated signalling	5	6	2.47270729886e-05	0.00102699776479
R-HSA-8862803	Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models	9	21	2.59552463617e-05	0.00104323345054
R-HSA-2122947	NOTCH1 Intracellular Domain Regulates Transcription	13	42	2.79752277067e-05	0.00108928542883
R-HSA-6783783	Interleukin-10 signaling	13	43	3.70092515321e-05	0.00139737961846
R-HSA-400253	Circadian Clock	14	50	4.85296713267e-05	0.00172765629923
R-HSA-201722	Formation of the beta-catenin:TCF transactivating complex	14	50	4.85296713267e-05	0.00172765629923
R-HSA-390450	Folding of actin by CCT/TriC	6	10	5.8407047781e-05	0.00196689679825
R-HSA-3371511	HSF1 activation	6	10	5.8407047781e-05	0.00196689679825
R-HSA-9860927	Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells	10	28	6.0293710636e-05	0.00197202624833
R-HSA-2151201	Transcriptional activation of mitochondrial biogenesis	14	51	6.17247381098e-05	0.00197202624833
R-HSA-8950505	Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation	11	34	7.35639857228e-05	0.00229151815527
R-HSA-1250196	SHC1 events in ERBB2 signaling	8	19	8.64362301966e-05	0.00256427482916
R-HSA-9844594	Transcriptional regulation of brown and beige adipocyte differentiation by EBF2	10	29	8.5065906782e-05	0.00256427482916
R-HSA-379716	Cytosolic tRNA aminoacylation	9	24	9.1350321851e-05	0.00264703490759
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	16	66	9.75954496327e-05	0.00276372568733
R-HSA-4419969	Depolymerization of the Nuclear Lamina	7	15	0.000110899876642	0.00307069436212
R-HSA-4641265	Repression of WNT target genes	6	11	0.00011923556748	0.00322972863216
R-HSA-400206	Regulation of lipid metabolism by PPARalpha	8	20	0.00013336829974	0.00346201878074
