#Position	SeedUserEntity
5	15936
6	15601
7	16079
8	21166
9	12511
10	42545
11	15354
12	7766
13	15441
14	13916
15	13557
16	12765
17	9094
18	7861
19	43633
20	19237
21	39989
22	9901
23	14395
24	7551
25	9929
26	15998
27	15016
28	15920
29	56840
30	52203
31	14126
32	11499
33	9270
34	42830
35	13556
36	16160
37	15444
38	7288
39	11180
40	13651
41	13490
42	6931
43	13316
44	9076
45	14640
46	14085
47	7302
48	12003
49	13730
50	8412
51	34119
52	40979
53	19677
54	12757
55	54164
56	10046
57	55479
58	12112
59	24432
60	11197
61	12252
62	8527
63	7917
64	9179
65	14982
66	14194
67	10978
68	10804
69	53364
70	33929
71	16049
72	49294
73	14113
74	15438
75	7219
76	13845
77	7642
78	14948
79	14114
80	12814
81	9042
82	9936
83	15281
84	10216
85	14368
86	14975
87	14884
88	12434
89	14913
90	43679
91	11053
92	12184
93	8921
94	55484
95	16491
96	57425
97	11429
98	49424
99	55486
100	12646
101	9110
102	7472
103	56063
104	37498
105	7048
106	23539
107	9309
108	14812
109	22659
110	43565
111	10033
112	11080
113	54369
114	13489
115	15637
116	53272
117	8709
118	10919
119	54918
120	15443
121	7660
122	43812
123	10625
124	14745
125	42016
126	15135
127	9238
128	40298
129	11349
130	31916
131	13074
132	53119
133	10252
134	42681
135	10643
136	9387
137	11631
138	14476
139	14222
140	12114
141	9016
142	14719
143	38168
144	13777
145	15760
146	15175
147	39341
148	22514
149	41790
150	43411
151	11132
152	14393
153	8270
154	8873
155	15746
156	9925
157	41768
158	15493
159	26656
160	9071
161	21518
162	8233
163	46724
164	57949
165	36611
166	16281
167	50627
168	42080
169	30124
170	20753
171	49487
172	13239
173	56858
174	9664
175	45773
176	56550
177	9341
178	44643
179	26785
180	31518
181	9332
182	55473
183	43568
184	14544
185	38164
186	31418
187	35071
188	9953
189	11877
190	26105
191	11867
192	53935
193	15961
194	13033
195	14817
196	55476
197	13656
198	15547
199	8303
200	9386
201	15596
202	43915
203	9175
204	22662
205	16263
206	12090
207	39470
208	32857
209	55491
210	15874
211	28019
212	10770
213	22913
214	11621
215	31437
216	46302
217	11211
218	50688
219	27200
220	24087
221	9417
222	53530
223	14475
224	13268
225	42697
226	53060
227	15599
228	51201
229	8207
230	12526
231	57637
232	8302
233	17263
234	45222
235	13695
236	9158
237	15048
238	11295
239	38488
240	11884
241	54704
242	56990
243	48634
244	14541
245	14139
246	11445
247	20380
248	9928
249	13849
250	33726
251	54167
252	20383
253	59176
254	13140
255	30253
256	41279
257	46352
258	9578
259	10928
260	38183
261	9324
262	12534
263	14695
264	12972
265	53339
266	45741
267	14383
268	15799
269	53770
271	14760
272	9692
