BIANA ID	UniProt ID	Gene Symbol	Description	Gene ID	Equivalent Entries
9076	P49286	MTNR1B	RecName: Full=Melatonin receptor type 1B; Short=Mel-1B-R; Short=Mel1b receptor;	4544	-
15601	P04637	TP53	RecName: Full=Cellular tumor antigen p53; AltName: Full=Antigen NY-CO-13; AltName: Full=Phosphoprotein p53; AltName: Full=Tumor suppressor p53;	7157	-
16079	Q04917	YWHAH	RecName: Full=14-3-3 protein eta; AltName: Full=Protein AS1;	7533	-
45741	P16520	GNB3	RecName: Full=Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3; AltName: Full=Transducin beta chain 3;	2784	-
11197	P48357	LEPR	RecName: Full=Leptin receptor; Short=LEP-R; AltName: Full=HuB219; AltName: Full=OB receptor; Short=OB-R; AltName: CD_antigen=CD295; Flags: Precursor;	3953	-
9071	P07203	GPX1	RecName: Full=Glutathione peroxidase 1 {ECO:0000305}; Short=GPx-1 {ECO:0000303|PubMed:11115402}; Short=GSHPx-1; EC=1.11.1.9 {ECO:0000269|PubMed:11115402, ECO:0000269|PubMed:36608588}; AltName: Full=Cellular glutathione peroxidase; AltName: Full=Phospholipid-hydroperoxide glutathione peroxidase GPX1 {ECO:0000303|PubMed:36608588}; EC=1.11.1.12 {ECO:0000269|PubMed:11115402, ECO:0000269|PubMed:36608588};	2876	-
14913	P19838	NFKB1	RecName: Full=Nuclear factor NF-kappa-B p105 subunit; AltName: Full=DNA-binding factor KBF1; AltName: Full=EBP-1; AltName: Full=Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1; Contains: RecName: Full=Nuclear factor NF-kappa-B p50 subunit;	4790	-
42681	Q96LB3	IFT74	RecName: Full=Intraflagellar transport protein 74 homolog; AltName: Full=Capillary morphogenesis gene 1 protein {ECO:0000303|PubMed:11683410}; Short=CMG-1 {ECO:0000303|PubMed:11683410, ECO:0000303|PubMed:15024030}; AltName: Full=Coiled-coil domain-containing protein 2;	80173	-
11053	P19438	TNFRSF1A	RecName: Full=Tumor necrosis factor receptor superfamily member 1A; AltName: Full=Tumor necrosis factor receptor 1; Short=TNF-R1; AltName: Full=Tumor necrosis factor receptor type I; Short=TNF-RI; Short=TNFR-I; AltName: Full=p55; AltName: Full=p60; AltName: CD_antigen=CD120a; Contains: RecName: Full=Tumor necrosis factor receptor superfamily member 1A, membrane form; Contains: RecName: Full=Tumor necrosis factor-binding protein 1; Short=TBPI; Flags: Precursor;	7132	-
8303	P22301	IL10	RecName: Full=Interleukin-10; Short=IL-10; AltName: Full=Cytokine synthesis inhibitory factor; Short=CSIF; Flags: Precursor;	3586	-
8302	Q96AD5	PNPLA2	RecName: Full=Patatin-like phospholipase domain-containing protein 2 {ECO:0000305}; EC=3.1.1.3 {ECO:0000269|PubMed:15364929, ECO:0000269|PubMed:15550674, ECO:0000269|PubMed:16150821, ECO:0000269|PubMed:16239926, ECO:0000269|PubMed:17603008}; AltName: Full=Adipose triglyceride lipase {ECO:0000303|PubMed:15550674}; AltName: Full=Calcium-independent phospholipase A2-zeta {ECO:0000303|PubMed:15364929}; Short=iPLA2-zeta {ECO:0000303|PubMed:15364929}; EC=3.1.1.4 {ECO:0000269|PubMed:15364929, ECO:0000269|PubMed:17032652}; AltName: Full=Desnutrin; AltName: Full=Pigment epithelium-derived factor receptor {ECO:0000303|PubMed:17032652}; Short=PEDF-R {ECO:0000303|PubMed:17032652}; AltName: Full=TTS2.2 {ECO:0000303|PubMed:17603008}; AltName: Full=Transport-secretion protein 2; Short=TTS2;	57104	-
13730	P50416	CPT1A	RecName: Full=Carnitine O-palmitoyltransferase 1, liver isoform; Short=CPT1-L; EC=2.3.1.21 {ECO:0000269|PubMed:11350182, ECO:0000269|PubMed:9691089}; AltName: Full=Carnitine O-palmitoyltransferase I, liver isoform; Short=CPT I; Short=CPTI-L; AltName: Full=Carnitine palmitoyltransferase 1A; AltName: Full=Succinyltransferase CPT1A; EC=2.3.1.- {ECO:0000269|PubMed:29425493};	1374	-
49424	Q13217	DNAJC3	RecName: Full=DnaJ homolog subfamily C member 3; AltName: Full=Endoplasmic reticulum DNA J domain-containing protein 6; Short=ER-resident protein ERdj6; Short=ERdj6; AltName: Full=Interferon-induced, double-stranded RNA-activated protein kinase inhibitor; AltName: Full=Protein kinase inhibitor of 58 kDa; Short=Protein kinase inhibitor p58; Flags: Precursor;	5611	-
57949	Q15848	ADIPOQ	RecName: Full=Adiponectin; AltName: Full=30 kDa adipocyte complement-related protein; AltName: Full=Adipocyte complement-related 30 kDa protein; Short=ACRP30; AltName: Full=Adipocyte, C1q and collagen domain-containing protein; AltName: Full=Adipose most abundant gene transcript 1 protein {ECO:0000303|PubMed:8619847}; Short=apM-1 {ECO:0000303|PubMed:10403784}; AltName: Full=Gelatin-binding protein; Flags: Precursor;	9370	-
15281	P01375	TNF	RecName: Full=Tumor necrosis factor; AltName: Full=Cachectin; AltName: Full=TNF-alpha; AltName: Full=Tumor necrosis factor ligand superfamily member 2; Short=TNF-a; Contains: RecName: Full=Tumor necrosis factor, membrane form; AltName: Full=N-terminal fragment; Short=NTF; Contains: RecName: Full=Intracellular domain 1; Short=ICD1; Contains: RecName: Full=Intracellular domain 2; Short=ICD2; Contains: RecName: Full=C-domain 1; Contains: RecName: Full=C-domain 2; Contains: RecName: Full=Tumor necrosis factor, soluble form; Flags: Precursor;	7124	-
21166	P35442	THBS2	RecName: Full=Thrombospondin-2; Flags: Precursor;	7058	-
15760	Q86TX2	ACOT1	RecName: Full=Acyl-coenzyme A thioesterase 1 {ECO:0000305|PubMed:16940157}; Short=Acyl-CoA thioesterase 1 {ECO:0000305|PubMed:16940157}; EC=3.1.2.- {ECO:0000269|PubMed:16940157}; AltName: Full=CTE-I; AltName: Full=CTE-Ib; AltName: Full=Inducible cytosolic acyl-coenzyme A thioester hydrolase; AltName: Full=Long chain acyl-CoA thioester hydrolase; Short=Long chain acyl-CoA hydrolase; AltName: Full=Palmitoyl-coenzyme A thioesterase {ECO:0000305|PubMed:16940157}; EC=3.1.2.2 {ECO:0000269|PubMed:16940157};	641371	-
22662	P01033	TIMP1	RecName: Full=Metalloproteinase inhibitor 1; AltName: Full=Erythroid-potentiating activity; Short=EPA; AltName: Full=Fibroblast collagenase inhibitor; Short=Collagenase inhibitor; AltName: Full=Tissue inhibitor of metalloproteinases 1; Short=TIMP-1; Flags: Precursor;	7076	-
