# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0032731	positive regulation of interleukin-1 beta production	21	49	2.44265597584e-19	5.21751316439e-16
GO:0043123	positive regulation of canonical NF-kappaB signal transduction	30	129	2.50625584358e-18	1.8988261533e-15
GO:0032755	positive regulation of interleukin-6 production	23	68	2.66689066475e-18	1.8988261533e-15
GO:0010628	positive regulation of gene expression	36	271	1.36034619705e-13	7.26424869225e-11
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	19	70	2.36346548264e-13	1.00967245419e-10
GO:0050729	positive regulation of inflammatory response	17	55	4.17052496543e-13	1.48470688769e-10
GO:0032757	positive regulation of interleukin-8 production	17	58	1.10826459249e-12	3.38179024221e-10
GO:0032722	positive regulation of chemokine production	13	31	2.76298263324e-12	7.37716363074e-10
GO:0032760	positive regulation of tumor necrosis factor production	17	71	4.01203410153e-11	9.52189426763e-09
GO:0051092	positive regulation of NF-kappaB transcription factor activity	20	103	4.56377486667e-11	9.7482231152e-09
GO:0050728	negative regulation of inflammatory response	16	63	5.80911911395e-11	1.12802531158e-08
GO:0071222	cellular response to lipopolysaccharide	17	74	8.16024922218e-11	1.45252436155e-08
GO:0070374	positive regulation of ERK1 and ERK2 cascade	21	122	1.60274903053e-10	2.63343994555e-08
GO:0010595	positive regulation of endothelial cell migration	14	50	2.26781317695e-10	3.46003496141e-08
GO:1902895	positive regulation of miRNA transcription	13	42	2.50310222773e-10	3.56441757229e-08
GO:0006954	inflammatory response	14	54	7.0054291019e-10	9.35224785104e-08
GO:0051897	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	19	121	6.01910828341e-09	7.53503298534e-07
GO:0032733	positive regulation of interleukin-10 production	10	28	6.34974689776e-09	7.53503298534e-07
GO:0045944	positive regulation of transcription by RNA polymerase II	55	781	8.23031168381e-09	9.2526030298e-07
GO:0008284	positive regulation of cell population proliferation	27	249	1.6692266345e-08	1.78273404564e-06
GO:0043410	positive regulation of MAPK cascade	17	104	2.07853228168e-08	2.11416426365e-06
GO:0035094	response to nicotine	5	5	2.9398013483e-08	2.85427985453e-06
GO:0045429	positive regulation of nitric oxide biosynthetic process	9	26	5.11446627092e-08	4.74978258899e-06
GO:0030335	positive regulation of cell migration	21	172	9.09503661766e-08	8.09458258971e-06
GO:0043536	positive regulation of blood vessel endothelial cell migration	10	37	1.31073633495e-07	1.11989312458e-05
GO:0010629	negative regulation of gene expression	20	162	1.54220351733e-07	1.266979505e-05
GO:0001934	positive regulation of protein phosphorylation	16	107	1.96594891976e-07	1.5552840343e-05
GO:0007204	positive regulation of cytosolic calcium ion concentration	10	39	2.26237981679e-07	1.7258726031e-05
GO:1901224	positive regulation of non-canonical NF-kappaB signal transduction	10	43	6.10271251645e-07	4.49496342591e-05
GO:0045893	positive regulation of DNA-templated transcription	34	435	7.69863742729e-07	5.48142984823e-05
GO:0031640	killing of cells of another organism	11	55	8.46113264538e-07	5.82999333243e-05
GO:0071347	cellular response to interleukin-1	9	35	9.00611039412e-07	5.96214481591e-05
GO:0042742	defense response to bacterium	12	67	9.37857661504e-07	5.96214481591e-05
GO:0038124	toll-like receptor TLR6:TLR2 signaling pathway	4	4	9.49030541858e-07	5.96214481591e-05
GO:1904294	positive regulation of ERAD pathway	6	13	1.29230772774e-06	7.88676944698e-05
GO:0050830	defense response to Gram-positive bacterium	11	59	1.76927026324e-06	0.000104976702285
GO:0048661	positive regulation of smooth muscle cell proliferation	8	29	2.06704215403e-06	0.000119329784892
GO:2001238	positive regulation of extrinsic apoptotic signaling pathway	7	21	2.22225065892e-06	0.000121710959166
GO:0032930	positive regulation of superoxide anion generation	6	14	2.20206034082e-06	0.000121710959166
GO:0050727	regulation of inflammatory response	9	40	3.03713769237e-06	0.000162183152772
GO:1900017	positive regulation of cytokine production involved in inflammatory response	6	15	3.57362598648e-06	0.000186177197734
GO:1902894	negative regulation of miRNA transcription	7	23	4.43826068269e-06	0.000225717257577
GO:1904646	cellular response to amyloid-beta	8	32	4.66569025631e-06	0.000231765450871
GO:2001240	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	6	16	5.56757604294e-06	0.000270280509721
GO:0071346	cellular response to type II interferon	8	33	5.9923290124e-06	0.000283182058071
GO:0010575	positive regulation of vascular endothelial growth factor production	7	24	6.09849001463e-06	0.000283182058071
GO:0019732	antifungal humoral response	5	10	6.50399430205e-06	0.000284978457226
GO:0051091	positive regulation of DNA-binding transcription factor activity	12	80	6.53742715547e-06	0.000284978457226
GO:0046330	positive regulation of JNK cascade	11	67	6.49406560653e-06	0.000284978457226
GO:0042102	positive regulation of T cell proliferation	8	34	7.62448910579e-06	0.000325718174599
GO:0001774	microglial cell activation	5	11	1.16181620707e-05	0.000486595964371
GO:0019221	cytokine-mediated signaling pathway	8	36	1.20306692589e-05	0.000493209200882
GO:0045742	positive regulation of epidermal growth factor receptor signaling pathway	6	18	1.22378687485e-05	0.000493209200882
GO:2000320	negative regulation of T-helper 17 cell differentiation	4	6	1.35389847285e-05	0.000525804934183
GO:0032495	response to muramyl dipeptide	4	6	1.35389847285e-05	0.000525804934183
GO:0001819	positive regulation of cytokine production	8	37	1.49353127747e-05	0.000569675501549
GO:0032481	positive regulation of type I interferon production	7	28	1.87248271638e-05	0.000689590186585
GO:0032735	positive regulation of interleukin-12 production	7	28	1.87248271638e-05	0.000689590186585
GO:0045766	positive regulation of angiogenesis	12	89	2.0007210046e-05	0.000724328824717
GO:0033209	tumor necrosis factor-mediated signaling pathway	7	29	2.40250314843e-05	0.000855291120841
GO:2000406	positive regulation of T cell migration	5	13	3.07276682166e-05	0.00104459314397
GO:0032741	positive regulation of interleukin-18 production	4	7	3.08096292463e-05	0.00104459314397
GO:0097039	protein linear polyubiquitination	3	3	3.05439548458e-05	0.00104459314397
GO:0120162	positive regulation of cold-induced thermogenesis	12	93	3.13850003733e-05	0.00104747438746
GO:0007166	cell surface receptor signaling pathway	7	31	3.83498774279e-05	0.00124114148767
GO:1900182	positive regulation of protein localization to nucleus	7	31	3.83498774279e-05	0.00124114148767
GO:0046427	positive regulation of receptor signaling pathway via JAK-STAT	6	22	4.42288866793e-05	0.00138930738157
GO:0030593	neutrophil chemotaxis	6	22	4.42288866793e-05	0.00138930738157
GO:0010745	negative regulation of macrophage derived foam cell differentiation	4	8	6.00967503719e-05	0.00180798110978
