# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0032731	positive regulation of interleukin-1 beta production	23	49	1.55427278255e-19	3.75667731543e-16
GO:0043123	positive regulation of canonical NF-kappaB signal transduction	32	129	6.79726219849e-17	6.33898607211e-14
GO:0032755	positive regulation of interleukin-6 production	24	68	7.86800091697e-17	6.33898607211e-14
GO:0010628	positive regulation of gene expression	43	271	1.20402679544e-14	7.27533191143e-12
GO:0050729	positive regulation of inflammatory response	19	55	2.1748213594e-13	1.05130864513e-10
GO:0032757	positive regulation of interleukin-8 production	19	58	6.55129293135e-13	2.63907916918e-10
GO:0032760	positive regulation of tumor necrosis factor production	20	71	3.87749023805e-12	1.33884198648e-09
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	19	70	2.78216168038e-11	8.40560597684e-09
GO:1902895	positive regulation of miRNA transcription	15	42	4.43527930117e-11	1.19111889677e-08
GO:0032722	positive regulation of chemokine production	13	31	8.25644584297e-11	1.99558296025e-08
GO:0051092	positive regulation of NF-kappaB transcription factor activity	22	103	1.27966073782e-10	2.70598957111e-08
GO:0008284	positive regulation of cell population proliferation	35	249	1.34347847966e-10	2.70598957111e-08
GO:0070374	positive regulation of ERK1 and ERK2 cascade	23	122	6.78107882353e-10	1.26075903973e-07
GO:0050728	negative regulation of inflammatory response	16	63	3.0566492118e-09	5.27708653208e-07
GO:0051897	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	22	121	3.27538852771e-09	5.27774271432e-07
GO:0071222	cellular response to lipopolysaccharide	17	74	5.1709385054e-09	7.81134897972e-07
GO:0010595	positive regulation of endothelial cell migration	14	50	7.57171816182e-09	1.07652016454e-06
GO:0045893	positive regulation of DNA-templated transcription	45	435	8.1645250381e-09	1.09631427873e-06
GO:0010629	negative regulation of gene expression	25	162	9.35100392836e-09	1.18954613131e-06
GO:0045944	positive regulation of transcription by RNA polymerase II	66	781	9.93650081726e-09	1.20082612377e-06
GO:0043536	positive regulation of blood vessel endothelial cell migration	12	37	1.43233182002e-08	1.64854571857e-06
GO:0006954	inflammatory response	14	54	2.2536515467e-08	2.47594354018e-06
GO:0043410	positive regulation of MAPK cascade	19	104	3.61958364655e-08	3.80371029292e-06
GO:0032733	positive regulation of interleukin-10 production	10	28	8.2728986249e-08	8.33149832349e-06
GO:0035094	response to nicotine	5	5	1.14080686111e-07	1.10293207332e-05
GO:0007204	positive regulation of cytosolic calcium ion concentration	11	39	2.90938286675e-07	2.70460707267e-05
GO:1904646	cellular response to amyloid-beta	10	32	3.50766862766e-07	3.14001299002e-05
GO:0045429	positive regulation of nitric oxide biosynthetic process	9	26	5.10879481333e-07	4.40998466565e-05
GO:0030335	positive regulation of cell migration	23	172	5.35749145768e-07	4.46519201835e-05
GO:0071347	cellular response to interleukin-1	10	35	8.93435012185e-07	7.1981080815e-05
GO:0048661	positive regulation of smooth muscle cell proliferation	9	29	1.4669595634e-06	0.000113254426992
GO:0001934	positive regulation of protein phosphorylation	17	107	1.49943800734e-06	0.000113254426992
GO:0046330	positive regulation of JNK cascade	13	67	2.62993209357e-06	0.000192622602126
GO:0002265	astrocyte activation involved in immune response	4	4	2.8038255503e-06	0.000193624181574
GO:0038124	toll-like receptor TLR6:TLR2 signaling pathway	4	4	2.8038255503e-06	0.000193624181574
GO:0050830	defense response to Gram-positive bacterium	12	59	3.80596404303e-06	0.000255528197
GO:0010745	negative regulation of macrophage derived foam cell differentiation	5	8	5.76241626784e-06	0.000376425949172
GO:1904294	positive regulation of ERAD pathway	6	13	6.2087463523e-06	0.000394908945619
GO:1901224	positive regulation of non-canonical NF-kappaB signal transduction	10	43	6.94657476372e-06	0.000430509518049
