# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0032731	positive regulation of interleukin-1 beta production	21	49	1.70433379278e-21	3.18539985871e-18
GO:0032755	positive regulation of interleukin-6 production	23	68	1.24747877695e-20	1.16576891706e-17
GO:0043123	positive regulation of canonical NF-kappaB signal transduction	27	129	5.4751737878e-18	3.4110332698e-15
GO:0032757	positive regulation of interleukin-8 production	17	58	2.3041467815e-14	1.07661258366e-11
GO:0050729	positive regulation of inflammatory response	16	55	1.5602581065e-13	4.86020400174e-11
GO:0032722	positive regulation of chemokine production	13	31	1.33991815015e-13	4.86020400174e-11
GO:0032760	positive regulation of tumor necrosis factor production	17	71	9.06241660168e-13	2.41966523265e-10
GO:0010628	positive regulation of gene expression	30	271	4.32391054143e-12	1.01017360024e-09
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	16	70	9.33431421578e-12	1.79844924799e-09
GO:0010595	positive regulation of endothelial cell migration	14	50	9.62252139105e-12	1.79844924799e-09
GO:0050728	negative regulation of inflammatory response	15	63	2.25013278754e-11	3.82318016356e-09
GO:0006954	inflammatory response	14	54	3.04817749076e-11	4.74753644186e-09
GO:0070374	positive regulation of ERK1 and ERK2 cascade	19	122	1.29831192624e-10	1.86657306934e-08
GO:0071222	cellular response to lipopolysaccharide	15	74	2.6349594419e-10	3.51767085493e-08
GO:0051092	positive regulation of NF-kappaB transcription factor activity	17	103	4.95343984552e-10	6.17198604752e-08
GO:0032733	positive regulation of interleukin-10 production	10	28	6.42134441938e-10	7.50093294989e-08
GO:0043410	positive regulation of MAPK cascade	16	104	4.70803346378e-09	5.17606737871e-07
GO:0051897	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	17	121	6.39520063604e-09	6.64034999376e-07
GO:1902895	positive regulation of miRNA transcription	10	42	5.3045677844e-08	4.95711859452e-06
GO:0008284	positive regulation of cell population proliferation	23	249	5.08655742379e-08	4.95711859452e-06
GO:0031640	killing of cells of another organism	11	55	7.86750521847e-08	7.00207964443e-06
GO:0071347	cellular response to interleukin-1	9	35	1.21853095678e-07	1.03519743555e-05
GO:0043536	positive regulation of blood vessel endothelial cell migration	9	37	2.05591519566e-07	1.67065456552e-05
GO:0007204	positive regulation of cytosolic calcium ion concentration	9	39	3.35371651316e-07	2.5392606386e-05
GO:0048661	positive regulation of smooth muscle cell proliferation	8	29	3.45461685488e-07	2.5392606386e-05
GO:0038124	toll-like receptor TLR6:TLR2 signaling pathway	4	4	3.66827379573e-07	2.5392606386e-05
GO:0001934	positive regulation of protein phosphorylation	14	107	3.54499249158e-07	2.5392606386e-05
GO:0050727	regulation of inflammatory response	9	40	4.23470361794e-07	2.82666466497e-05
GO:0010629	negative regulation of gene expression	17	162	5.0185548953e-07	3.23437210321e-05
GO:0042742	defense response to bacterium	11	67	6.49788003199e-07	3.91759283219e-05
GO:0046330	positive regulation of JNK cascade	11	67	6.49788003199e-07	3.91759283219e-05
GO:1904646	cellular response to amyloid-beta	8	32	7.93788358928e-07	4.63622013386e-05
GO:1900017	positive regulation of cytokine production involved in inflammatory response	6	15	9.00036907658e-07	5.09748175882e-05
GO:0071346	cellular response to type II interferon	8	33	1.02555869338e-06	5.63755646449e-05
GO:0030335	positive regulation of cell migration	17	172	1.17335228603e-06	6.26570120741e-05
GO:0045944	positive regulation of transcription by RNA polymerase II	42	781	1.23963214455e-06	6.39450843475e-05
GO:0010575	positive regulation of vascular endothelial growth factor production	7	24	1.2659005462e-06	6.39450843475e-05
GO:0042102	positive regulation of T cell proliferation	8	34	1.31265306868e-06	6.45618048781e-05
GO:2001240	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	6	16	1.4103054759e-06	6.75861778066e-05
GO:0035094	response to nicotine	4	5	1.79837318754e-06	8.19794996954e-05
GO:0045766	positive regulation of angiogenesis	12	89	1.78652598573e-06	8.19794996954e-05
GO:0019732	antifungal humoral response	5	10	2.03443649053e-06	9.05324238288e-05
GO:0019221	cytokine-mediated signaling pathway	8	36	2.0959093983e-06	9.10989457074e-05
GO:0045429	positive regulation of nitric oxide biosynthetic process	7	26	2.30605894129e-06	9.79550945744e-05
GO:0001819	positive regulation of cytokine production	8	37	2.61737639929e-06	0.00010870836645
GO:0001774	microglial cell activation	5	11	3.6545306684e-06	0.000148485169984
GO:0032481	positive regulation of type I interferon production	7	28	3.97866173253e-06	0.000158215293151
GO:0032495	response to muramyl dipeptide	4	6	5.28999919184e-06	0.00020177568346
GO:2000320	negative regulation of T-helper 17 cell differentiation	4	6	5.28999919184e-06	0.00020177568346
GO:1901224	positive regulation of non-canonical NF-kappaB signal transduction	8	43	8.64500594507e-06	0.000323150322227
GO:2000406	positive regulation of T cell migration	5	13	9.77404398527e-06	0.000358189964872
GO:0032741	positive regulation of interleukin-18 production	4	7	1.21030106939e-05	0.000435010134365
GO:0050830	defense response to Gram-positive bacterium	9	59	1.29067769338e-05	0.000455146529986
GO:0032930	positive regulation of superoxide anion generation	5	14	1.48977242717e-05	0.000509451532153
GO:0097039	protein linear polyubiquitination	3	3	1.49918856439e-05	0.000509451532153
GO:0051607	defense response to virus	12	110	1.67063172825e-05	0.000557573339303
GO:0050901	leukocyte tethering or rolling	5	15	2.18965679542e-05	0.000705598025972
GO:0010613	positive regulation of cardiac muscle hypertrophy	5	15	2.18965679542e-05	0.000705598025972
GO:0010745	negative regulation of macrophage derived foam cell differentiation	4	8	2.3735094538e-05	0.000727227732647
GO:0051770	positive regulation of nitric-oxide synthase biosynthetic process	4	8	2.3735094538e-05	0.000727227732647
GO:0051384	response to glucocorticoid	4	8	2.3735094538e-05	0.000727227732647
GO:2000352	negative regulation of endothelial cell apoptotic process	6	25	2.58559511309e-05	0.000779431817156
GO:0007186	G protein-coupled receptor signaling pathway	10	82	3.23115913631e-05	0.00095857721044
GO:1903265	positive regulation of tumor necrosis factor-mediated signaling pathway	4	9	4.18926260009e-05	0.0011686166865
GO:0032715	negative regulation of interleukin-6 production	6	27	4.14560686424e-05	0.0011686166865
GO:0140052	cellular response to oxidised low-density lipoprotein particle stimulus	4	9	4.18926260009e-05	0.0011686166865
GO:0042311	vasodilation	4	9	4.18926260009e-05	0.0011686166865
GO:0043537	negative regulation of blood vessel endothelial cell migration	5	17	4.33226547278e-05	0.00119073590715
GO:0071356	cellular response to tumor necrosis factor	8	54	4.90307523027e-05	0.00132809385585
GO:0032735	positive regulation of interleukin-12 production	6	28	5.167717962e-05	0.00137978069585
GO:0071726	cellular response to diacyl bacterial lipopeptide	3	4	5.88670604379e-05	0.00142886410336
GO:0090050	positive regulation of cell migration involved in sprouting angiogenesis	5	18	5.87791694223e-05	0.00142886410336
GO:0002265	astrocyte activation involved in immune response	3	4	5.88670604379e-05	0.00142886410336
GO:0045742	positive regulation of epidermal growth factor receptor signaling pathway	5	18	5.87791694223e-05	0.00142886410336
GO:0031622	positive regulation of fever generation	3	4	5.88670604379e-05	0.00142886410336
GO:0002237	response to molecule of bacterial origin	3	4	5.88670604379e-05	0.00142886410336
GO:0032754	positive regulation of interleukin-5 production	3	4	5.88670604379e-05	0.00142886410336
GO:0033209	tumor necrosis factor-mediated signaling pathway	6	29	6.38187012761e-05	0.00152919426519
GO:0034115	negative regulation of heterotypic cell-cell adhesion	4	10	6.84647523418e-05	0.001579760767
GO:0050900	leukocyte migration	4	10	6.84647523418e-05	0.001579760767
GO:0001938	positive regulation of endothelial cell proliferation	7	42	6.7429396267e-05	0.001579760767
GO:0045893	positive regulation of DNA-templated transcription	25	435	7.52524909387e-05	0.00171520616542
GO:0032740	positive regulation of interleukin-17 production	5	19	7.81687345703e-05	0.00173925434419
GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	6	30	7.81341064645e-05	0.00173925434419
GO:0007166	cell surface receptor signaling pathway	6	31	9.48961749461e-05	0.00206556595837
GO:0120162	positive regulation of cold-induced thermogenesis	10	93	9.61499402774e-05	0.00206556595837
GO:0045087	innate immune response	10	93	9.61499402774e-05	0.00206556595837
GO:0035025	positive regulation of Rho protein signal transduction	5	20	0.000102131745594	0.00214476665747
GO:1900016	negative regulation of cytokine production involved in inflammatory response	5	20	0.000102131745594	0.00214476665747
GO:2001234	negative regulation of apoptotic signaling pathway	4	11	0.000105499164724	0.00216679053702
GO:0002720	positive regulation of cytokine production involved in immune response	4	11	0.000105499164724	0.00216679053702
GO:2001238	positive regulation of extrinsic apoptotic signaling pathway	5	21	0.000131357203508	0.00261177248253
GO:0007159	leukocyte cell-cell adhesion	5	21	0.000131357203508	0.00261177248253
GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation	5	21	0.000131357203508	0.00261177248253
GO:0060252	positive regulation of glial cell proliferation	3	5	0.000144470091309	0.00270014600656
GO:0050915	sensory perception of sour taste	3	5	0.000144470091309	0.00270014600656
GO:0032747	positive regulation of interleukin-23 production	3	5	0.000144470091309	0.00270014600656
GO:0071316	cellular response to nicotine	3	5	0.000144470091309	0.00270014600656
GO:0002719	negative regulation of cytokine production involved in immune response	3	5	0.000144470091309	0.00270014600656
GO:1905278	positive regulation of epithelial tube formation	3	5	0.000144470091309	0.00270014600656
GO:0070286	axonemal dynein complex assembly	4	12	0.00015517947402	0.00284343565631
GO:2001243	negative regulation of intrinsic apoptotic signaling pathway	4	12	0.00015517947402	0.00284343565631
GO:0032729	positive regulation of type II interferon production	7	48	0.000162168431409	0.00294264852722
GO:0046427	positive regulation of receptor signaling pathway via JAK-STAT	5	22	0.000166581357338	0.00296514816061
GO:0030593	neutrophil chemotaxis	5	22	0.000166581357338	0.00296514816061
GO:0050829	defense response to Gram-negative bacterium	7	49	0.000185255240798	0.00326643438727
GO:1902894	negative regulation of miRNA transcription	5	23	0.000208586122717	0.00357658223265
GO:0032689	negative regulation of type II interferon production	5	23	0.000208586122717	0.00357658223265
GO:0070555	response to interleukin-1	5	23	0.000208586122717	0.00357658223265
GO:0070269	pyroptotic inflammatory response	5	24	0.000258197303483	0.004387006911
GO:0050871	positive regulation of B cell activation	3	6	0.000283650183426	0.00473341243591
GO:0010573	vascular endothelial growth factor production	3	6	0.000283650183426	0.00473341243591
GO:0043066	negative regulation of apoptotic process	17	263	0.000286196669026	0.00473364225142
GO:0034116	positive regulation of heterotypic cell-cell adhesion	4	14	0.00030176666372	0.00490436429993
GO:0002548	monocyte chemotaxis	4	14	0.00030176666372	0.00490436429993
GO:0030890	positive regulation of B cell proliferation	5	26	0.000383749718421	0.0061830019287
GO:0050921	positive regulation of chemotaxis	4	15	0.000403537607638	0.00639162532775
GO:0043388	positive regulation of DNA binding	4	15	0.000403537607638	0.00639162532775
GO:0008360	regulation of cell shape	8	74	0.000463886778397	0.00722503657353
GO:0007259	cell surface receptor signaling pathway via JAK-STAT	5	27	0.000461543729737	0.00722503657353
GO:0070431	nucleotide-binding oligomerization domain containing 2 signaling pathway	3	7	0.000487310562976	0.0073450277597
GO:0010803	regulation of tumor necrosis factor-mediated signaling pathway	3	7	0.000487310562976	0.0073450277597
GO:0048245	eosinophil chemotaxis	3	7	0.000487310562976	0.0073450277597
GO:0141163	positive regulation of cAMP/PKA signal transduction	3	7	0.000487310562976	0.0073450277597
GO:0060559	positive regulation of calcidiol 1-monooxygenase activity	2	2	0.000610341589447	0.00786709262536
GO:0045785	positive regulation of cell adhesion	6	42	0.000538412764519	0.00786709262536
GO:0032724	positive regulation of fractalkine production	2	2	0.000610341589447	0.00786709262536
GO:1904472	positive regulation of endothelin production	2	2	0.000610341589447	0.00786709262536
GO:0044546	NLRP3 inflammasome complex assembly	2	2	0.000610341589447	0.00786709262536
