# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0005125	cytokine activity	10	50	2.98398886811e-08	9.66812393267e-06
GO:0005178	integrin binding	7	44	1.89022947893e-05	0.00306217175586
GO:0042056	chemoattractant activity	5	23	6.51659192999e-05	0.00703791928439
GO:0038187	pattern recognition receptor activity	4	19	0.000419590242513	0.0226578730957
GO:0004947	bradykinin receptor activity	2	2	0.000373212105401	0.0226578730957
GO:0048018	receptor ligand activity	7	68	0.000323916869424	0.0226578730957
GO:0001530	lipopolysaccharide binding	4	22	0.000756787399091	0.0350284453294
GO:0038177	death receptor agonist activity	2	3	0.00110534686341	0.0447665479683
GO:0035613	RNA stem-loop binding	3	12	0.00138174289962	0.0471799576523
GO:0004879	nuclear receptor activity	4	26	0.00145617153248	0.0471799576523
