# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	33	104	7.54913886269e-24	6.43186631101e-21
R-HSA-6783783	Interleukin-10 signaling	18	43	5.27395639972e-16	2.24670542628e-13
R-HSA-9660826	Purinergic signaling in leishmaniasis infection	12	25	5.92892897261e-12	1.68381582822e-09
R-HSA-844456	The NLRP3 inflammasome	9	16	4.53710136353e-10	9.66402590432e-08
R-HSA-448706	Interleukin-1 processing	6	9	1.05886203164e-07	1.80430090192e-05
R-HSA-5686938	Regulation of TLR by endogenous ligand	8	20	1.31738867616e-07	1.87069192015e-05
R-HSA-5602498	MyD88 deficiency (TLR2/4)	7	16	3.98808542238e-07	4.85406968552e-05
R-HSA-5357905	Regulation of TNFR1 signaling	10	40	5.50626050326e-07	5.82473330807e-05
R-HSA-5357786	TNFR1-induced proapoptotic signaling	8	24	6.8365414414e-07	5.82473330807e-05
R-HSA-5603041	IRAK4 deficiency (TLR2/4)	7	17	6.58531961947e-07	5.82473330807e-05
R-HSA-3134963	DEx/H-box helicases activate type I IFN and inflammatory cytokines production 	5	7	8.24421703344e-07	6.38552082954e-05
R-HSA-933542	TRAF6 mediated NF-kB activation	8	25	9.76210961762e-07	6.93109782851e-05
R-HSA-380108	Chemokine receptors bind chemokines	10	46	2.21313443957e-06	0.000145045426347
R-HSA-375276	Peptide ligand-binding receptors	12	71	3.63230266091e-06	0.000221051561935
R-HSA-445989	TAK1-dependent IKK and NF-kappa-B activation  	8	30	4.56039857041e-06	0.000259030638799
R-HSA-416476	G alpha (q) signalling events	15	122	1.34447437447e-05	0.000673818921792
R-HSA-166058	MyD88:MAL(TIRAP) cascade initiated on plasma membrane	7	25	1.29024789096e-05	0.000673818921792
R-HSA-9692916	SARS-CoV-1 activates/modulates innate immune responses	8	35	1.58346354997e-05	0.00074950608032
R-HSA-5660668	CLEC7A/inflammasome pathway	4	6	1.77793426777e-05	0.000797263155861
R-HSA-381340	Transcriptional regulation of white adipocyte differentiation	12	83	1.91423975779e-05	0.00081546613682
R-HSA-5357956	TNFR1-induced NF-kappa-B signaling pathway	7	27	2.24933860462e-05	0.000912588805304
