#Position	SeedUserEntity
2	9708
3	20388
4	9899
5	14463
6	10469
7	8303
8	26768
9	10096
10	12116
11	6934
12	14639
13	6979
14	13916
15	46520
16	12141
17	11345
18	16271
19	28015
21	16341
22	14990
23	7724
24	52819
25	11380
26	8666
27	54729
28	14977
29	56306
30	58550
31	14422
32	10552
33	8656
34	11499
35	22036
36	52626
37	15998
38	11462
39	13417
40	15444
41	12112
42	14817
43	12765
44	19369
45	14453
46	10298
47	21236
48	11182
49	9024
50	9023
51	9001
52	14913
53	28369
54	9179
55	9022
56	12751
57	13490
58	36839
59	14296
60	9430
61	38666
62	13970
63	12961
64	12752
65	11426
66	14113
67	14114
68	13876
69	42500
70	49118
71	14572
72	9925
73	45896
74	11321
75	8202
76	10915
77	7280
78	11471
79	14043
80	11792
81	14206
82	40821
83	57949
84	6927
85	15281
86	13656
87	12928
88	13313
89	13898
90	8745
91	12888
92	10601
93	30506
94	15278
95	15702
96	42034
97	56607
98	13489
99	52322
100	13418
101	8018
102	12753
103	14116
104	14979
105	7288
106	15795
107	14472
108	25505
109	52696
110	13382
111	11272
112	48515
113	40626
114	22059
115	14655
116	51201
117	10530
118	14109
119	30504
120	43725
121	13130
122	39553
123	50477
124	8233
125	13605
126	45777
127	42044
128	53251
129	42992
130	14783
131	12826
132	15637
133	44573
134	36256
135	14222
136	53782
137	15861
138	19413
139	19220
140	38007
141	8756
142	17417
143	53013
144	8586
145	8482
146	15514
147	39091
148	53750
149	22145
150	11867
151	9940
152	9041
153	14571
154	12575
155	7377
156	9978
157	15408
158	7939
159	14992
160	43424
161	22662
162	13140
163	10813
164	7644
165	24744
166	54022
167	14489
168	37275
169	9829
170	11984
171	37354
172	17111
173	14541
174	13397
175	47954
176	33823
177	16797
178	22072
179	46335
180	15875
181	16190
182	9112
183	11656
184	22599
185	10936
186	40276
187	14078
188	13517
189	42038
190	13625
191	10286
192	9953
193	14526
194	15804
195	10302
196	28367
197	26656
198	55882
199	15018
200	12114
201	43153
202	20068
203	7218
204	11861
205	13975
206	10498
207	16186
208	27578
209	12297
210	43053
211	42347
212	23455
213	9171
214	11065
215	11480
216	54314
217	53753
218	48634
219	57280
220	57690
221	26795
222	17275
223	48891
224	10928
225	16153
226	13005
227	14110
228	22835
229	14974
230	52732
231	36849
232	36982
233	9828
234	13720
235	10583
236	49123
237	61042
238	16359
239	14957
240	12975
241	15796
242	21819
243	36850
244	28366
245	16113
246	53770
247	16323
248	6963
249	11126
250	16201
251	14465
252	11209
253	10116
254	7473
