# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0006298	mismatch repair	3	12	6.70535135001e-07	0.00015019987024
GO:0034502	protein localization to chromosome	2	2	2.26157142915e-06	0.000253296000065
GO:0006284	base-excision repair	3	20	3.44835850464e-06	0.000257477435013
GO:0006260	DNA replication	3	23	5.34185120984e-06	0.000299143667751
GO:0006289	nucleotide-excision repair	3	26	7.8200978804e-06	0.000350340385042
GO:0000724	double-strand break repair via homologous recombination	3	71	0.000164729456418	0.00614989970627
GO:0051247	positive regulation of protein metabolic process	2	22	0.000513039815517	0.015480237281
GO:0001934	positive regulation of protein phosphorylation	3	107	0.000552865617178	0.015480237281
GO:0045429	positive regulation of nitric oxide biosynthetic process	2	26	0.000719198856368	0.0179000604252
GO:0007617	mating behavior	1	2	0.00310393140078	0.0182968587836
GO:1903381	regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway	1	2	0.00310393140078	0.0182968587836
GO:0150033	negative regulation of protein localization to lysosome	1	2	0.00310393140078	0.0182968587836
GO:1904591	positive regulation of protein import	1	2	0.00310393140078	0.0182968587836
GO:0031583	phospholipase D-activating G protein-coupled receptor signaling pathway	1	1	0.00155309648613	0.0182968587836
GO:0141137	positive regulation of gene expression, epigenetic	1	2	0.00310393140078	0.0182968587836
GO:0006924	activation-induced cell death of T cells	1	2	0.00310393140078	0.0182968587836
GO:0008088	axo-dendritic transport	1	2	0.00310393140078	0.0182968587836
GO:1905898	positive regulation of response to endoplasmic reticulum stress	1	2	0.00310393140078	0.0182968587836
GO:0070206	protein trimerization	1	1	0.00155309648613	0.0182968587836
GO:1903523	negative regulation of blood circulation	1	2	0.00310393140078	0.0182968587836
GO:1905945	regulation of response to calcium ion	1	1	0.00155309648613	0.0182968587836
GO:1903318	negative regulation of protein maturation	1	1	0.00155309648613	0.0182968587836
GO:0050803	regulation of synapse structure or activity	1	1	0.00155309648613	0.0182968587836
GO:0000723	telomere maintenance	2	38	0.00153887074414	0.0182968587836
GO:1990683	DNA double-strand break attachment to nuclear envelope	1	2	0.00310393140078	0.0182968587836
GO:0110002	regulation of tRNA methylation	1	1	0.00155309648613	0.0182968587836
GO:0051580	regulation of neurotransmitter uptake	1	2	0.00310393140078	0.0182968587836
GO:0045752	positive regulation of Toll signaling pathway	1	1	0.00155309648613	0.0182968587836
GO:1904472	positive regulation of endothelin production	1	2	0.00310393140078	0.0182968587836
GO:0033138	positive regulation of peptidyl-serine phosphorylation	2	43	0.00196774629957	0.0182968587836
GO:0019049	virus-mediated perturbation of host defense response	1	1	0.00155309648613	0.0182968587836
GO:0006487	protein N-linked glycosylation	2	35	0.00130600025749	0.0182968587836
GO:0030334	regulation of cell migration	2	45	0.00215342861726	0.0182968587836
GO:0048669	collateral sprouting in absence of injury	1	2	0.00310393140078	0.0182968587836
GO:0071549	cellular response to dexamethasone stimulus	1	2	0.00310393140078	0.0182968587836
GO:2000225	negative regulation of testosterone biosynthetic process	1	2	0.00310393140078	0.0182968587836
GO:1905906	regulation of amyloid fibril formation	1	2	0.00310393140078	0.0182968587836
GO:1990418	response to insulin-like growth factor stimulus	1	2	0.00310393140078	0.0182968587836
GO:0150003	regulation of spontaneous synaptic transmission	1	3	0.00465250781796	0.0200415721389
GO:1904022	positive regulation of G protein-coupled receptor internalization	1	3	0.00465250781796	0.0200415721389
GO:0060416	response to growth hormone	1	3	0.00465250781796	0.0200415721389
GO:0007341	penetration of zona pellucida	1	3	0.00465250781796	0.0200415721389
GO:0031999	negative regulation of fatty acid beta-oxidation	1	3	0.00465250781796	0.0200415721389
GO:0014005	microglia development	1	3	0.00465250781796	0.0200415721389
GO:1905552	positive regulation of protein localization to endoplasmic reticulum	1	3	0.00465250781796	0.0200415721389
GO:1900221	regulation of amyloid-beta clearance	1	3	0.00465250781796	0.0200415721389
GO:0072752	cellular response to rapamycin	1	3	0.00465250781796	0.0200415721389
GO:0070141	response to UV-A	1	3	0.00465250781796	0.0200415721389
GO:0034121	regulation of toll-like receptor signaling pathway	1	3	0.00465250781796	0.0200415721389
GO:0055096	low-density lipoprotein particle mediated signaling	1	3	0.00465250781796	0.0200415721389
GO:0005979	regulation of glycogen biosynthetic process	1	3	0.00465250781796	0.0200415721389
GO:1905908	positive regulation of amyloid fibril formation	1	3	0.00465250781796	0.0200415721389
GO:0006281	DNA repair	2	69	0.00499339310436	0.0211041519882
GO:0002265	astrocyte activation involved in immune response	1	4	0.00619882880787	0.0220402802058
GO:1902950	regulation of dendritic spine maintenance	1	4	0.00619882880787	0.0220402802058
GO:0072656	maintenance of protein location in mitochondrion	1	4	0.00619882880787	0.0220402802058
GO:0016199	axon midline choice point recognition	1	4	0.00619882880787	0.0220402802058
GO:0032079	positive regulation of endodeoxyribonuclease activity	1	4	0.00619882880787	0.0220402802058
GO:0030951	establishment or maintenance of microtubule cytoskeleton polarity	1	4	0.00619882880787	0.0220402802058
GO:1902993	positive regulation of amyloid precursor protein catabolic process	1	4	0.00619882880787	0.0220402802058
GO:0098815	modulation of excitatory postsynaptic potential	1	4	0.00619882880787	0.0220402802058
GO:0034405	response to fluid shear stress	1	4	0.00619882880787	0.0220402802058
GO:0010748	negative regulation of long-chain fatty acid import across plasma membrane	1	4	0.00619882880787	0.0220402802058
GO:0072655	establishment of protein localization to mitochondrion	1	5	0.00774289743659	0.0246721583986
GO:2000001	regulation of DNA damage checkpoint	1	5	0.00774289743659	0.0246721583986
GO:0010907	positive regulation of glucose metabolic process	1	5	0.00774289743659	0.0246721583986
GO:2000402	negative regulation of lymphocyte migration	1	5	0.00774289743659	0.0246721583986
GO:1903243	negative regulation of cardiac muscle hypertrophy in response to stress	1	5	0.00774289743659	0.0246721583986
GO:0010996	response to auditory stimulus	1	5	0.00774289743659	0.0246721583986
GO:0010628	positive regulation of gene expression	3	271	0.00782019306383	0.0246721583986
GO:0003376	sphingosine-1-phosphate receptor signaling pathway	1	5	0.00774289743659	0.0246721583986
GO:0048169	regulation of long-term neuronal synaptic plasticity	1	6	0.00928471676655	0.0281050885906
GO:0035655	interleukin-18-mediated signaling pathway	1	6	0.00928471676655	0.0281050885906
