# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-110312	Translesion synthesis by REV1	3	12	8.24294847249e-07	3.53877540627e-05
R-HSA-69166	Removal of the Flap Intermediate	3	14	1.36106746395e-06	3.53877540627e-05
R-HSA-5358606	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	3	14	1.36106746395e-06	3.53877540627e-05
R-HSA-3371511	HSF1 activation	3	10	4.50529007824e-07	3.53877540627e-05
R-HSA-5358565	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	3	14	1.36106746395e-06	3.53877540627e-05
R-HSA-5655862	Translesion synthesis by POLK	3	13	1.07049618266e-06	3.53877540627e-05
R-HSA-5656121	Translesion synthesis by POLI	3	13	1.07049618266e-06	3.53877540627e-05
R-HSA-110320	Translesion Synthesis by POLH	3	15	1.69960827762e-06	3.86660883158e-05
R-HSA-174437	Removal of the Flap Intermediate from the C-strand	3	17	2.53492245146e-06	5.12617651296e-05
R-HSA-5651801	PCNA-Dependent Long Patch Base Excision Repair	3	21	4.93791914876e-06	8.1700116825e-05
R-HSA-5696397	Gap-filling DNA repair synthesis and ligation in GG-NER	3	21	4.93791914876e-06	8.1700116825e-05
R-HSA-110314	Recognition of DNA damage by PCNA-containing replication complex	3	24	7.49169690712e-06	0.000113624069758
R-HSA-5656169	Termination of translesion DNA synthesis	3	28	1.2076746974e-05	0.000169074457637
R-HSA-6783310	Fanconi Anemia Pathway	3	34	2.19256278657e-05	0.000237584515807
R-HSA-176187	Activation of ATR in response to replication stress	3	36	2.61081885502e-05	0.000237584515807
R-HSA-68962	Activation of the pre-replicative complex	3	33	2.00113214593e-05	0.000237584515807
R-HSA-5696400	Dual Incision in GG-NER	3	36	2.61081885502e-05	0.000237584515807
R-HSA-5696395	Formation of Incision Complex in GG-NER	3	35	2.39568186535e-05	0.000237584515807
R-HSA-9709570	Impaired BRCA2 binding to RAD51	3	34	2.19256278657e-05	0.000237584515807
R-HSA-5685938	HDR through Single Strand Annealing (SSA)	3	36	2.61081885502e-05	0.000237584515807
R-HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	3	39	3.33161086708e-05	0.00028873960848
R-HSA-5685942	HDR through Homologous Recombination (HRR)	3	45	5.14152490651e-05	0.000425344333175
R-HSA-912446	Meiotic recombination	3	51	7.49977591231e-05	0.000593460528713
R-HSA-6782210	Gap-filling DNA repair synthesis and ligation in TC-NER	3	57	0.000104734823016	0.000794239074538
R-HSA-6782135	Dual incision in TC-NER	3	58	0.000110335509042	0.000803242505825
R-HSA-69473	G2/M DNA damage checkpoint	3	62	0.000134689184516	0.00094282429161
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	3	66	0.000162305276613	0.0010940577905
R-HSA-5693607	Processing of DNA double-strand break ends	3	71	0.000201694937347	0.00131101709276
R-HSA-6804756	Regulation of TP53 Activity through Phosphorylation	3	84	0.00033183701755	0.00208256335152
R-HSA-9607240	FLT3 Signaling	2	18	0.000391112457422	0.00237274890836
R-HSA-8862803	Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models	2	21	0.000535260092807	0.00314249473842
R-HSA-4551295	Defective ALG11 causes CDG-1p	1	1	0.00166406656266	0.00946437857515
R-HSA-6802952	Signaling by BRAF and RAF1 fusions	2	58	0.00406476274121	0.0224177823909
R-HSA-352238	Breakdown of the nuclear lamina	1	3	0.00498441451605	0.0251989844978
R-HSA-9753510	Signaling by RAS GAP mutants	1	3	0.00498441451605	0.0251989844978
R-HSA-9753512	Signaling by RAS GTPase mutants	1	3	0.00498441451605	0.0251989844978
R-HSA-9768777	Regulation of NPAS4 gene transcription	1	4	0.00664070346402	0.0318054744856
R-HSA-211163	AKT-mediated inactivation of FOXO1A	1	4	0.00664070346402	0.0318054744856
R-HSA-8849473	PTK6 Expression	1	5	0.00829440742243	0.0368190768508
R-HSA-8849469	PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1	1	5	0.00829440742243	0.0368190768508
