#Position	OddsRatio	P-value
72	118.514851485	2.85281425972e-21
73	114.156862745	1.16821609079e-20
74	113.754901961	1.2908210789e-20
75	109.514563107	5.20714404256e-20
76	109.126213592	5.74149094798e-20
77	108.737864078	6.33217995008e-20
78	108.349514563	6.9853116343e-20
79	107.961165049	7.70766452993e-20
80	107.572815534	8.50677238991e-20
81	107.184466019	9.39101050222e-20
82	103.125	3.6879477812e-19
83	99.1619047619	1.43020021905e-18
84	98.8	1.57169093368e-18
85	94.9433962264	6.00477761054e-18
86	94.5943396226	6.58447062903e-18
87	90.8411214953	2.47846274321e-17
88	90.5046728972	2.71176993898e-17
89	86.8518518519	1.00567623342e-16
90	83.2844036697	3.68364650128e-16
91	79.8	1.33268534917e-15
92	79.5	1.44781661655e-15
93	79.2	1.57322024763e-15
94	75.8198198198	5.59433091897e-15
95	72.5178571429	1.96496786092e-14
96	72.2410714286	2.12508935028e-14
97	71.9642857143	2.29871186366e-14
98	68.7610619469	7.93584730845e-14
99	65.6315789474	2.70619205433e-13
100	65.3771929825	2.91330536826e-13
101	65.1228070175	3.13685480425e-13
102	64.8684210526	3.37819133703e-13
103	64.6140350877	3.63878083507e-13
104	64.3596491228	3.92021416061e-13
105	61.3565217391	1.30398062336e-12
106	58.4224137931	4.28425950932e-12
107	55.5555555556	1.39033034422e-11
108	52.7542372881	4.45643626478e-11
109	50.0168067227	1.41081380343e-10
110	49.8151260504	1.50097992575e-10
111	49.6134453782	1.59716189106e-10
112	46.9583333333	4.96810224073e-10
113	44.3636363636	1.52612665558e-09
114	44.1818181818	1.61581113082e-09
115	41.6557377049	4.88864266827e-09
116	41.4836065574	5.16325228752e-09
117	39.0243902439	1.53838954607e-08
118	38.8617886179	1.62079486305e-08
119	38.6991869919	1.70784401557e-08
120	38.5365853659	1.79981168381e-08
121	38.3739837398	1.8969895652e-08
122	38.2113821138	1.99968747645e-08
123	38.0487804878	2.10823453016e-08
124	37.8861788618	2.22298039113e-08
125	37.7235772358	2.34429661795e-08
126	37.5609756098	2.47257809606e-08
127	37.3983739837	2.60824456869e-08
128	35.0887096774	7.47140599842e-08
129	32.832	2.11242522301e-07
130	32.688	2.21667557122e-07
131	30.4920634921	6.16809747236e-07
132	30.3571428571	6.45580423334e-07
133	30.2222222222	6.75774291488e-07
134	30.0873015873	7.07465775503e-07
135	27.968503937	1.92640556936e-06
136	27.842519685	2.01147621816e-06
137	27.7165354331	2.10054405107e-06
138	27.5905511811	2.19380818948e-06
139	27.4645669291	2.29147823753e-06
140	27.3385826772	2.3937748636e-06
141	25.3125	6.34080235115e-06
142	25.1953125	6.60623128678e-06
143	25.078125	6.88352585025e-06
144	25.078125	6.88352585025e-06
145	11.5581395349	8.94549682243e-05
146	11.5581395349	8.94549682243e-05
147	7.06666666667	0.000947882619547
148	7.06666666667	0.000947882619547
149	7.06666666667	0.000947882619547
150	7.06666666667	0.000947882619547
151	7.06666666667	0.000947882619547
152	7.06666666667	0.000947882619547
153	7.06666666667	0.000947882619547
154	7.06666666667	0.000947882619547
155	4.8320610687	0.00686623835948
156	4.8320610687	0.00686623835948
157	4.8320610687	0.00686623835948
158	3.5	0.0196053925778
159	3.5	0.0196053925778
160	3.5	0.0196053925778
161	3.5	0.0196053925778
162	3.5	0.0196053925778
163	3.5	0.0196053925778
164	3.5	0.0196053925778
165	2.61904761905	0.0702459469881
166	2.61904761905	0.0702459469881
167	2.61904761905	0.0702459469881
168	2.61904761905	0.0702459469881
169	2.61904761905	0.0702459469881
170	2.61904761905	0.0702459469881
171	2.61904761905	0.0702459469881
172	2.61904761905	0.0702459469881
173	1.99573560768	0.197247521821
174	1.99573560768	0.197247521821
175	1.99573560768	0.197247521821
176	1.53333333333	0.440162023489
177	1.17810457516	0.797185580779
178	0.897810218978	1.0
179	0.671936758893	0.604497817719
180	0.671936758893	0.604497817719
181	0.486810551559	0.2977406334
182	0.486810551559	0.2977406334
183	0.486810551559	0.2977406334
184	0.486810551559	0.2977406334
185	0.486810551559	0.2977406334
186	0.486810551559	0.2977406334
187	0.332967032967	0.115081335231
188	0.203647416413	0.0333694479351
189	0.093896713615	0.00354560574333
190	0.203647416413	0.0333694479351
191	0.203647416413	0.0333694479351
192	0.203647416413	0.0333694479351
193	0.203647416413	0.0333694479351
194	0.203647416413	0.0333694479351
195	0.203647416413	0.0333694479351
196	0.203647416413	0.0333694479351
197	0.203647416413	0.0333694479351
198	0.093896713615	0.00354560574333
199	0.093896713615	0.00354560574333
200	0.093896713615	0.00354560574333
201	0.093896713615	0.00354560574333
202	0.093896713615	0.00354560574333
203	0.093896713615	0.00354560574333
204	0.093896713615	0.00354560574333
205	0.093896713615	0.00354560574333
206	0.093896713615	0.00354560574333
207	0.093896713615	0.00354560574333
208	0.093896713615	0.00354560574333
209	0.093896713615	0.00354560574333
210	0.093896713615	0.00354560574333
211	0.093896713615	0.00354560574333
212	0.093896713615	0.00354560574333
213	0.093896713615	0.00354560574333
214	0.093896713615	0.00354560574333
215	0.093896713615	0.00354560574333
216	0.093896713615	0.00354560574333
217	0.093896713615	0.00354560574333
218	0.093896713615	0.00354560574333
219	0.093896713615	0.00354560574333
220	0.093896713615	0.00354560574333
221	0.093896713615	0.00354560574333
222	0.093896713615	0.00354560574333
223	0.093896713615	0.00354560574333
224	0.093896713615	0.00354560574333
225	0.093896713615	0.00354560574333
226	0.093896713615	0.00354560574333
227	0.093896713615	0.00354560574333
228	0.093896713615	0.00354560574333
229	0.093896713615	0.00354560574333
230	0.093896713615	0.00354560574333
231	0.093896713615	0.00354560574333
232	0.093896713615	0.00354560574333
233	0.093896713615	0.00354560574333
234	0.093896713615	0.00354560574333
235	0.093896713615	0.00354560574333
236	0.093896713615	0.00354560574333
237	0.093896713615	0.00354560574333
238	0.093896713615	0.00354560574333
239	0.093896713615	0.00354560574333
240	0.093896713615	0.00354560574333
241	0.093896713615	0.00354560574333
242	0.093896713615	0.00354560574333
243	0.093896713615	0.00354560574333
244	0.093896713615	0.00354560574333
245	0.093896713615	0.00354560574333
246	0.093896713615	0.00354560574333
247	0.093896713615	0.00354560574333
248	0.093896713615	0.00354560574333
249	0.093896713615	0.00354560574333
250	0.093896713615	0.00354560574333
251	0.093896713615	0.00354560574333
252	0.093896713615	0.00354560574333
253	0.093896713615	0.00354560574333
254	0.093896713615	0.00354560574333
255	0.093896713615	0.00354560574333
256	0.093896713615	0.00354560574333
257	0.093896713615	0.00354560574333
258	0.093896713615	0.00354560574333
259	0.093896713615	0.00354560574333
260	0.093896713615	0.00354560574333
261	0.093896713615	0.00354560574333
262	0.093896713615	0.00354560574333
263	0.093896713615	0.00354560574333
264	0.093896713615	0.00354560574333
265	0.093896713615	0.00354560574333
266	0.093896713615	0.00354560574333
267	0.093896713615	0.00354560574333
268	0.093896713615	0.00354560574333
269	0.093896713615	0.00354560574333
270	0.093896713615	0.00354560574333
271	0.093896713615	0.00354560574333
272	0.093896713615	0.00354560574333
273	0.093896713615	0.00354560574333
274	0.093896713615	0.00354560574333
275	0.093896713615	0.00354560574333
276	0.093896713615	0.00354560574333
277	0.093896713615	0.00354560574333
278	0.093896713615	0.00354560574333
279	0.093896713615	0.00354560574333
280	0.093896713615	0.00354560574333
281	0.093896713615	0.00354560574333
282	0.093896713615	0.00354560574333
283	0.093896713615	0.00354560574333
284	0.093896713615	0.00354560574333
285	0.093896713615	0.00354560574333
286	0.093896713615	0.00354560574333
287	0.093896713615	0.00354560574333
288	0.093896713615	0.00354560574333
289	0.093896713615	0.00354560574333
290	0.093896713615	0.00354560574333
291	0.093896713615	0.00354560574333
292	0.093896713615	0.00354560574333
293	0.093896713615	0.00354560574333
294	0.093896713615	0.00354560574333
295	0.093896713615	0.00354560574333
296	0.093896713615	0.00354560574333
297	0.093896713615	0.00354560574333
298	0.093896713615	0.00354560574333
299	0.093896713615	0.00354560574333
300	0.093896713615	0.00354560574333
301	0.093896713615	0.00354560574333
302	0.093896713615	0.00354560574333
303	0.093896713615	0.00354560574333
304	0.093896713615	0.00354560574333
305	0.093896713615	0.00354560574333
306	0.093896713615	0.00354560574333
307	0.093896713615	0.00354560574333
308	0.093896713615	0.00354560574333
309	0.093896713615	0.00354560574333
310	0.093896713615	0.00354560574333
311	0.093896713615	0.00354560574333
312	0.093896713615	0.00354560574333
313	0.093896713615	0.00354560574333
314	0.093896713615	0.00354560574333
315	0.093896713615	0.00354560574333
316	0.093896713615	0.00354560574333
317	0.093896713615	0.00354560574333
318	0.093896713615	0.00354560574333
319	0.093896713615	0.00354560574333
320	0.093896713615	0.00354560574333
321	0.093896713615	0.00354560574333
322	0.093896713615	0.00354560574333
323	0.093896713615	0.00354560574333
324	0.093896713615	0.00354560574333
325	0.093896713615	0.00354560574333
326	0.093896713615	0.00354560574333
327	0.093896713615	0.00354560574333
328	0.093896713615	0.00354560574333
329	0.093896713615	0.00354560574333
330	0.093896713615	0.00354560574333
331	0.093896713615	0.00354560574333
332	0.093896713615	0.00354560574333
333	0.0	0.000316528667856
334	0.0	0.000316528667856
335	0.0	0.000316528667856
336	0.0	0.000316528667856
337	0.0	0.000316528667856
338	0.0	0.000316528667856
339	0.0	0.000316528667856
340	0.0	0.000316528667856
341	0.0	0.000316528667856
342	0.0	0.000316528667856
343	0.0	0.000316528667856
344	0.0	0.000316528667856
345	0.0	0.000316528667856
346	0.0	0.000316528667856
347	0.0	0.000316528667856
348	0.0	0.000316528667856
349	0.0	0.000316528667856
350	0.0	0.000316528667856
351	0.0	0.000316528667856
352	0.0	0.000316528667856
353	0.0	0.000316528667856
354	0.0	0.000316528667856
355	0.0	0.000316528667856
356	0.0	0.000316528667856
357	0.0	0.000316528667856
358	0.0	0.000316528667856
359	0.0	0.000320544609166
360	0.0	0.000324856735752
361	0.0	0.000329462598992
362	0.0	0.000334359971347
363	0.0	0.000339546836302
364	0.0902288732394	0.00372797205914
365	0.0906690140845	0.00373605204176
366	0.0911091549296	0.00374684211839
367	0.0915492957746	0.00376030103112
368	0.0919894366197	0.00377638929893
369	0.0924295774648	0.00379506914836
370	0.187056737589	0.0129346823416
371	0.187943262411	0.0130740842244
372	0.188829787234	0.0132199173635
373	0.189716312057	0.0133721136535
374	0.190602836879	0.0135306073657
375	0.191489361702	0.0223796656337
376	0.192375886525	0.0223533798817
377	0.193262411348	0.0223378542677
378	0.19414893617	0.022332920497
379	0.195035460993	0.0223384148106
380	0.195921985816	0.0223541778504
381	0.196808510638	0.0223800545272
382	0.197695035461	0.0224158938933
383	0.198581560284	0.0224615490184
384	0.199468085106	0.0225168768678
385	0.200354609929	0.0225817381859
386	0.201241134752	0.0226559973811
387	0.202127659574	0.0227395224151
388	0.203014184397	0.0228321846946
389	0.20390070922	0.0229338589664
390	0.204787234043	0.0230444232154
391	0.205673758865	0.0231637585654
392	0.206560283688	0.0232917491825
393	0.207446808511	0.0234282821819
394	0.208333333333	0.0235732475363
395	0.209219858156	0.0237265379884
396	0.210106382979	0.0238880489643
397	0.210992907801	0.0240576784906
398	0.211879432624	0.0242353271133
399	0.212765957447	0.024420897819
400	0.21365248227	0.0246142959592
401	0.214539007092	0.0248154291754
402	0.215425531915	0.0404920996464
403	0.216312056738	0.0404264114621
404	0.21719858156	0.0403734812664
405	0.218085106383	0.0403331269371
406	0.218971631206	0.0403051699821
407	0.219858156028	0.0402894354562
408	0.220744680851	0.0402857518808
409	0.221631205674	0.0402939511653
410	0.222517730496	0.0403138685284
411	0.223404255319	0.0403453424233
412	0.224290780142	0.0403882144633
413	0.225177304965	0.0404423293484
414	0.226063829787	0.0405075347948
415	0.22695035461	0.040583681465
416	0.227836879433	0.0406706228996
417	0.228723404255	0.0407682154504
418	0.229609929078	0.0408763182155
419	0.230496453901	0.0409947929753
420	0.231382978723	0.0411235041298
421	0.232269503546	0.0412623186379
422	0.233156028369	0.0414111059572
423	0.234042553191	0.0415697379862
424	0.234929078014	0.0417380890065
425	0.235815602837	0.0419160356276
426	0.23670212766	0.0421034567318
427	0.237588652482	0.0423002334212
428	0.238475177305	0.0425062489655
429	0.239361702128	0.0427213887511
