#Position	SeedUserEntity
1	12852
2	10388
3	14907
4	7498
5	6998
6	33157
7	7690
8	11549
9	15933
10	7300
11	9844
12	9157
13	13228
14	14934
15	15391
16	15423
17	23322
18	33876
19	12604
20	14619
21	7240
22	15436
23	12629
24	26794
25	58086
26	11316
27	43552
28	10059
29	13056
30	8462
31	8866
32	58648
33	12444
34	15854
35	23341
36	15192
37	40486
38	6967
39	10772
40	10560
41	11094
42	15292
43	21692
44	48876
45	8500
46	8797
47	6910
48	6976
49	47010
50	13011
51	8502
52	15789
53	39992
54	12608
55	15570
56	13362
57	31948
58	43534
59	7210
60	12951
61	12651
62	14197
63	12116
64	46520
65	11968
66	14624
67	7002
68	34937
69	7618
70	13087
71	12254
72	13088
73	10469
74	8895
75	55579
76	12370
77	8246
78	15656
79	11477
80	12130
81	30971
82	48112
83	9682
84	13136
85	10220
86	14613
87	13960
88	16221
89	14463
90	31012
91	16079
92	9335
93	15399
94	53695
95	57774
96	27408
97	15601
98	9072
99	11084
100	44244
101	9584
102	11787
103	55963
104	7766
105	11875
106	30207
107	30211
108	11345
109	13416
110	12394
111	15936
112	44216
113	44208
114	13024
115	9708
116	16271
117	8284
118	12395
119	22929
120	12579
121	14017
122	15369
123	55778
124	14018
125	51179
126	20479
127	38614
