# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0006298	mismatch repair	3	12	8.1368735693e-07	0.000133444726537
GO:0034502	protein localization to chromosome	2	2	2.56311428639e-06	0.000210175371484
GO:0006284	base-excision repair	3	20	4.18210902054e-06	0.000228621959789
GO:0006260	DNA replication	3	23	6.4770887347e-06	0.000265560638123
GO:0006289	nucleotide-excision repair	3	26	9.47993554372e-06	0.000310941885834
GO:0000724	double-strand break repair via homologous recombination	3	71	0.000199041407354	0.00544046513434
GO:0007617	mating behavior	1	2	0.00329776691863	0.019315491952
GO:1904591	positive regulation of protein import	1	2	0.00329776691863	0.019315491952
GO:0031583	phospholipase D-activating G protein-coupled receptor signaling pathway	1	1	0.0016501650165	0.019315491952
GO:0141137	positive regulation of gene expression, epigenetic	1	2	0.00329776691863	0.019315491952
GO:1903381	regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway	1	2	0.00329776691863	0.019315491952
GO:1903896	positive regulation of IRE1-mediated unfolded protein response	1	2	0.00329776691863	0.019315491952
GO:0051580	regulation of neurotransmitter uptake	1	2	0.00329776691863	0.019315491952
GO:0008088	axo-dendritic transport	1	2	0.00329776691863	0.019315491952
GO:1905898	positive regulation of response to endoplasmic reticulum stress	1	2	0.00329776691863	0.019315491952
GO:0070206	protein trimerization	1	1	0.0016501650165	0.019315491952
GO:1903523	negative regulation of blood circulation	1	2	0.00329776691863	0.019315491952
GO:1905945	regulation of response to calcium ion	1	1	0.0016501650165	0.019315491952
GO:0050803	regulation of synapse structure or activity	1	1	0.0016501650165	0.019315491952
GO:0000723	telomere maintenance	2	38	0.0017400022512	0.019315491952
GO:1990683	DNA double-strand break attachment to nuclear envelope	1	2	0.00329776691863	0.019315491952
GO:0045752	positive regulation of Toll signaling pathway	1	1	0.0016501650165	0.019315491952
GO:1904472	positive regulation of endothelin production	1	2	0.00329776691863	0.019315491952
GO:0006487	protein N-linked glycosylation	2	35	0.00147698085394	0.019315491952
GO:0048669	collateral sprouting in absence of injury	1	2	0.00329776691863	0.019315491952
GO:0071549	cellular response to dexamethasone stimulus	1	2	0.00329776691863	0.019315491952
GO:1905906	regulation of amyloid fibril formation	1	2	0.00329776691863	0.019315491952
GO:2000225	negative regulation of testosterone biosynthetic process	1	2	0.00329776691863	0.019315491952
GO:0150003	regulation of spontaneous synaptic transmission	1	3	0.00494280943931	0.0219086688661
GO:1903899	positive regulation of PERK-mediated unfolded protein response	1	3	0.00494280943931	0.0219086688661
GO:1904022	positive regulation of G protein-coupled receptor internalization	1	3	0.00494280943931	0.0219086688661
GO:0007341	penetration of zona pellucida	1	3	0.00494280943931	0.0219086688661
GO:0014005	microglia development	1	3	0.00494280943931	0.0219086688661
GO:1900221	regulation of amyloid-beta clearance	1	3	0.00494280943931	0.0219086688661
GO:0034121	regulation of toll-like receptor signaling pathway	1	3	0.00494280943931	0.0219086688661
GO:0055096	low-density lipoprotein particle mediated signaling	1	3	0.00494280943931	0.0219086688661
GO:1905908	positive regulation of amyloid fibril formation	1	3	0.00494280943931	0.0219086688661
GO:0002265	astrocyte activation involved in immune response	1	4	0.00658529630597	0.0239997465373
GO:1902950	regulation of dendritic spine maintenance	1	4	0.00658529630597	0.0239997465373
GO:0016199	axon midline choice point recognition	1	4	0.00658529630597	0.0239997465373
GO:0048639	positive regulation of developmental growth	1	4	0.00658529630597	0.0239997465373
GO:1902993	positive regulation of amyloid precursor protein catabolic process	1	4	0.00658529630597	0.0239997465373
GO:0030951	establishment or maintenance of microtubule cytoskeleton polarity	1	4	0.00658529630597	0.0239997465373
GO:0098815	modulation of excitatory postsynaptic potential	1	4	0.00658529630597	0.0239997465373
GO:0006281	DNA repair	2	69	0.00563480096797	0.0239997465373
GO:2000001	regulation of DNA damage checkpoint	1	5	0.008225231241	0.027529345378
GO:1903243	negative regulation of cardiac muscle hypertrophy in response to stress	1	5	0.008225231241	0.027529345378
GO:0010996	response to auditory stimulus	1	5	0.008225231241	0.027529345378
GO:0048546	digestive tract morphogenesis	1	5	0.008225231241	0.027529345378
GO:0010628	positive regulation of gene expression	3	271	0.00931372399571	0.0305182895442
GO:0048169	regulation of long-term neuronal synaptic plasticity	1	6	0.00986261796246	0.0305182895442
GO:0006516	glycoprotein catabolic process	1	6	0.00986261796246	0.0305182895442
GO:0070254	mucus secretion	1	6	0.00986261796246	0.0305182895442
GO:0048143	astrocyte activation	1	7	0.0114974601822	0.0325100598255
GO:0045745	positive regulation of G protein-coupled receptor signaling pathway	1	7	0.0114974601822	0.0325100598255
GO:0141163	positive regulation of cAMP/PKA signal transduction	1	7	0.0114974601822	0.0325100598255
GO:0008344	adult locomotory behavior	1	7	0.0114974601822	0.0325100598255
