# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-9755779	SARS-CoV-2 targets host intracellular signalling and regulatory pathways	5	9	3.1206957864e-07	0.000163097587976
R-HSA-3371511	HSF1 activation	5	10	6.14303532867e-07	0.000163097587976
R-HSA-2995383	Initiation of Nuclear Envelope (NE) Reformation	6	19	1.09792648913e-06	0.000194332988576
R-HSA-9753510	Signaling by RAS GAP mutants	3	3	7.24125648561e-06	0.000769021438772
R-HSA-9753512	Signaling by RAS GTPase mutants	3	3	7.24125648561e-06	0.000769021438772
R-HSA-75035	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	4	10	2.65519223907e-05	0.00201415296993
R-HSA-975577	N-Glycan antennae elongation	4	10	2.65519223907e-05	0.00201415296993
R-HSA-111447	Activation of BAD and translocation to mitochondria 	4	11	4.10910311809e-05	0.00242437083967
R-HSA-9735871	SARS-CoV-1 targets host intracellular signalling and regulatory pathways	4	11	4.10910311809e-05	0.00242437083967
R-HSA-1169092	Activation of RAS in B cells	3	5	7.03491389236e-05	0.00373553927684
R-HSA-4419969	Depolymerization of the Nuclear Lamina	4	15	0.000159893230908	0.00566022037415
R-HSA-6802953	RAS signaling downstream of NF1 loss-of-function variants	3	6	0.000138681860736	0.00566022037415
R-HSA-112412	SOS-mediated signalling	3	6	0.000138681860736	0.00566022037415
R-HSA-110320	Translesion Synthesis by POLH	4	15	0.000159893230908	0.00566022037415
R-HSA-9634635	Estrogen-stimulated signaling through PRKCZ	3	6	0.000138681860736	0.00566022037415
R-HSA-5673000	RAF activation	5	30	0.000253170330911	0.00790784974787
R-HSA-9034864	Activated NTRK3 signals through RAS	3	7	0.000239218217759	0.00790784974787
R-HSA-9648002	RAS processing	4	18	0.000342419205864	0.00801329207639
R-HSA-5173105	O-linked glycosylation	3	8	0.000377273638248	0.00801329207639
R-HSA-2428933	SHC-related events triggered by IGF1R	3	8	0.000377273638248	0.00801329207639
R-HSA-2179392	EGFR Transactivation by Gastrin	3	8	0.000377273638248	0.00801329207639
R-HSA-74751	Insulin receptor signalling cascade	3	8	0.000377273638248	0.00801329207639
R-HSA-167044	Signalling to RAS	3	8	0.000377273638248	0.00801329207639
R-HSA-9607240	FLT3 Signaling	4	18	0.000342419205864	0.00801329207639
R-HSA-9026519	Activated NTRK2 signals through RAS	3	8	0.000377273638248	0.00801329207639
R-HSA-5675221	Negative regulation of MAPK pathway	5	34	0.000464170708	0.00947979407491
R-HSA-9703648	Signaling by FLT3 ITD and TKD mutants	3	9	0.000557822019946	0.0102139135376
R-HSA-9614399	Regulation of localization of FOXO transcription factors	3	9	0.000557822019946	0.0102139135376
R-HSA-2980766	Nuclear Envelope Breakdown	3	9	0.000557822019946	0.0102139135376
R-HSA-9028731	Activated NTRK2 signals through FRS2 and FRS3	3	10	0.000785509204623	0.0126395572017
R-HSA-9634285	Constitutive Signaling by Overexpressed ERBB2	3	10	0.000785509204623	0.0126395572017
R-HSA-8851805	MET activates RAS signaling	3	10	0.000785509204623	0.0126395572017
R-HSA-5655291	Signaling by FGFR4 in disease	3	10	0.000785509204623	0.0126395572017
R-HSA-6802952	Signaling by BRAF and RAF1 fusions	6	58	0.000872991762424	0.0136340772308
R-HSA-5654704	SHC-mediated cascade:FGFR3	3	11	0.00106466601966	0.0148773067484
R-HSA-1250347	SHC1 events in ERBB4 signaling	3	11	0.00106466601966	0.0148773067484
R-HSA-9673767	Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants	3	11	0.00106466601966	0.0148773067484
R-HSA-9673770	Signaling by PDGFRA extracellular domain mutants	3	11	0.00106466601966	0.0148773067484
R-HSA-352238	Breakdown of the nuclear lamina	2	3	0.00111433151833	0.0151720522111
