#Position	SeedUserEntity
1	10388
2	12852
3	11549
4	6998
5	15933
6	9157
7	15391
8	14934
9	33876
10	23322
11	58086
12	12629
13	12604
14	11316
15	8462
16	13056
17	23341
18	58648
19	43552
20	8866
21	15292
22	15854
23	15192
24	40486
25	6967
26	6910
27	21692
28	39992
29	8797
30	8502
31	12116
32	15789
33	6976
34	12608
35	47010
36	15570
37	13011
38	12951
39	13362
40	31948
41	7210
42	12651
43	43534
44	14197
45	11968
46	46520
47	7618
48	14624
49	7002
50	15656
51	13087
52	12254
53	13088
54	12370
55	11477
56	48112
57	30971
58	12130
59	8895
60	13136
61	8246
62	9682
63	10220
64	13960
65	31012
66	9335
67	14613
68	16221
69	16079
70	14463
71	53695
72	57774
73	27408
74	15399
75	7766
76	13875
77	11787
78	9584
79	15601
80	9072
81	11345
82	11084
83	12394
84	11875
85	30207
86	30211
87	15936
88	13416
89	41612
90	13024
91	9708
92	16271
93	22929
94	14017
95	12395
96	15369
97	8284
98	12579
99	14018
100	55778
101	20479
102	51179
103	38614
