# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0097100	supercoiled DNA binding	6	6	8.68998006165e-07	0.000709102373031
GO:0003697	single-stranded DNA binding	20	68	4.53675342523e-06	0.00185099539749
GO:0003684	damaged DNA binding	12	31	1.74947438141e-05	0.00356892773808
GO:0004601	peroxidase activity	8	14	1.43845882854e-05	0.00356892773808
GO:0008301	DNA binding, bending	7	12	4.29981246099e-05	0.00701729393633
GO:0098505	G-rich strand telomeric DNA binding	6	9	5.62389949791e-05	0.00764850331716
GO:0003723	RNA binding	31	154	7.21189663234e-05	0.00840701093141
GO:0008379	thioredoxin peroxidase activity	4	4	9.14649657938e-05	0.00932942651097
GO:0003743	translation initiation factor activity	10	28	0.000195423096417	0.0177183607418
GO:0008266	poly(U) RNA binding	7	15	0.000268226396302	0.0218872739383
GO:0000400	four-way junction DNA binding	7	16	0.000436762439867	0.0296998459109
GO:0015035	protein-disulfide reductase activity	7	16	0.000436762439867	0.0296998459109
GO:0033743	peptide-methionine (R)-S-oxide reductase activity	3	3	0.000936819607025	0.0449673411372
GO:0036402	proteasome-activating activity	3	3	0.000936819607025	0.0449673411372
GO:0004459	L-lactate dehydrogenase activity	3	3	0.000936819607025	0.0449673411372
GO:0004784	superoxide dismutase activity	3	3	0.000936819607025	0.0449673411372
GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	3	3	0.000936819607025	0.0449673411372
