# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0004601	peroxidase activity	8	14	4.49092325909e-07	0.000287419088581
GO:0003684	damaged DNA binding	10	31	1.05121525742e-05	0.00312932306953
GO:0008379	thioredoxin peroxidase activity	4	4	1.46687018884e-05	0.00312932306953
GO:0003697	single-stranded DNA binding	14	68	5.78274434318e-05	0.0092523909491
GO:0033743	peptide-methionine (R)-S-oxide reductase activity	3	3	0.000237666886668	0.012796226737
GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	3	3	0.000237666886668	0.012796226737
GO:0036402	proteasome-activating activity	3	3	0.000237666886668	0.012796226737
GO:0020037	heme binding	11	51	0.000231984272735	0.012796226737
GO:0097100	supercoiled DNA binding	4	6	0.000198897254163	0.012796226737
GO:0004459	L-lactate dehydrogenase activity	3	3	0.000237666886668	0.012796226737
GO:0004784	superoxide dismutase activity	3	3	0.000237666886668	0.012796226737
GO:0015035	protein-disulfide reductase activity	6	16	0.000259923355596	0.012796226737
GO:0004602	glutathione peroxidase activity	6	16	0.000259923355596	0.012796226737
GO:0016209	antioxidant activity	5	12	0.000496079029531	0.0211660385933
GO:0003678	DNA helicase activity	7	24	0.000465717815551	0.0211660385933
GO:0008143	poly(A) binding	5	13	0.00076524908666	0.0288093773801
GO:0031490	chromatin DNA binding	8	33	0.000725796376318	0.0288093773801
GO:1903136	cuprous ion binding	4	8	0.000839400695081	0.0298453580473
GO:0005507	copper ion binding	7	27	0.00101557776415	0.0342089352134
GO:0106310	protein serine kinase activity	5	14	0.00113011764339	0.0361637645883
GO:0008266	poly(U) RNA binding	5	15	0.00160948662815	0.0490510210483
