# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0004601	peroxidase activity	8	14	1.44693620191e-09	6.13500949609e-07
GO:0020037	heme binding	11	51	2.22078004586e-07	4.70805369722e-05
GO:0008379	thioredoxin peroxidase activity	4	4	7.7442169823e-07	0.000109451600016
GO:0097100	supercoiled DNA binding	4	6	1.10769819764e-05	0.000939328071598
GO:0005507	copper ion binding	7	27	1.03153681604e-05	0.000939328071598
GO:0016209	antioxidant activity	5	12	1.51634878997e-05	0.00107155314491
GO:0033743	peptide-methionine (R)-S-oxide reductase activity	3	3	2.62585163728e-05	0.00116931843744
GO:0004784	superoxide dismutase activity	3	3	2.62585163728e-05	0.00116931843744
GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	3	3	2.62585163728e-05	0.00116931843744
GO:0003684	damaged DNA binding	7	31	2.75782650338e-05	0.00116931843744
GO:1903136	cuprous ion binding	4	8	4.92968248055e-05	0.00190016851978
GO:0004672	protein kinase activity	12	104	5.78724833877e-05	0.00204482774637
GO:0000400	four-way junction DNA binding	5	16	7.58059150407e-05	0.00247243907517
GO:0004674	protein serine/threonine kinase activity	18	229	0.000161581536314	0.00489361224266
GO:0000405	bubble DNA binding	3	6	0.000491133694759	0.0138827124385
GO:0004392	heme oxygenase (decyclizing) activity	2	2	0.0008868840269	0.0156682844752
GO:0046970	NAD-dependent histone H4K16 deacetylase activity	2	2	0.0008868840269	0.0156682844752
GO:0106310	protein serine kinase activity	4	14	0.000611730455275	0.0156682844752
GO:0043027	cysteine-type endopeptidase inhibitor activity involved in apoptotic process	4	15	0.000814755803863	0.0156682844752
GO:0140823	histone H2BS36 kinase activity	2	2	0.0008868840269	0.0156682844752
GO:0004357	glutamate-cysteine ligase activity	2	2	0.0008868840269	0.0156682844752
GO:0004666	prostaglandin-endoperoxide synthase activity	2	2	0.0008868840269	0.0156682844752
GO:0004096	catalase activity	2	2	0.0008868840269	0.0156682844752
GO:0003682	chromatin binding	14	178	0.000857606030015	0.0156682844752
GO:0004602	glutathione peroxidase activity	4	16	0.00106107243348	0.0179957884718
GO:0003677	DNA binding	18	270	0.00116717746875	0.0189940865788
GO:0000287	magnesium ion binding	12	144	0.00120952909818	0.0189940865788
GO:0016301	kinase activity	6	43	0.00160419666644	0.0242921209489
GO:0004697	diacylglycerol-dependent serine/threonine kinase activity	3	9	0.00192963417449	0.0272721629995
GO:0004712	protein serine/threonine/tyrosine kinase activity	3	9	0.00192963417449	0.0272721629995
GO:0005524	ATP binding	15	219	0.00228513425797	0.0312547395284
GO:0030546	signaling receptor activator activity	2	3	0.00260813504795	0.0315956931524
GO:0004679	AMP-activated protein kinase activity	2	3	0.00260813504795	0.0315956931524
GO:0031802	type 5 metabotropic glutamate receptor binding	2	3	0.00260813504795	0.0315956931524
GO:0017136	NAD-dependent histone deacetylase activity	2	3	0.00260813504795	0.0315956931524
