# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-3299685	Detoxification of Reactive Oxygen Species	26	34	1.16911914915e-21	1.39125178748e-18
R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	25	37	1.0255532372e-18	1.22040835226e-15
R-HSA-9762114	GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2	23	36	1.69179992545e-16	2.01324191128e-13
R-HSA-9755511	KEAP1-NFE2L2 pathway	28	56	6.40570756347e-16	7.62279200053e-13
R-HSA-68949	Orc1 removal from chromatin	26	52	7.10468496941e-15	8.4545751136e-12
R-HSA-180534	Vpu mediated degradation of CD4	21	34	9.72978087999e-15	1.15784392472e-11
R-HSA-5676590	NIK-->noncanonical NF-kB signaling	23	41	9.754920888e-15	1.16083558567e-11
R-HSA-1169091	Activation of NF-kappaB in B cells	25	49	1.28549091706e-14	1.5297341913e-11
R-HSA-5607761	Dectin-1 mediated noncanonical NF-kB signaling	23	42	1.98397225274e-14	2.36092698076e-11
R-HSA-9604323	Negative regulation of NOTCH4 signaling	21	37	1.0519419189e-13	1.25181088349e-10
R-HSA-174113	SCF-beta-TrCP mediated degradation of Emi1	21	37	1.0519419189e-13	1.25181088349e-10
R-HSA-5610785	GLI3 is processed to GLI3R by the proteasome	22	41	1.30143812283e-13	1.54871136616e-10
R-HSA-5610783	Degradation of GLI2 by the proteasome	22	41	1.30143812283e-13	1.54871136616e-10
R-HSA-75815	Ubiquitin-dependent degradation of Cyclin D	20	34	1.60517825775e-13	1.91016212672e-10
R-HSA-5607764	CLEC7A (Dectin-1) signaling	26	59	3.1633546505e-13	3.76439203409e-10
R-HSA-211733	Regulation of activated PAK-2p34 by proteasome mediated degradation	19	32	5.1973063861e-13	6.18479459946e-10
R-HSA-69481	G2/M Checkpoints	19	32	5.1973063861e-13	6.18479459946e-10
R-HSA-8854050	FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	20	36	7.13776788981e-13	8.49394378887e-10
R-HSA-5687128	MAPK6/MAPK4 signaling	28	70	7.27383516947e-13	8.65586385167e-10
R-HSA-8941858	Regulation of RUNX3 expression and activity	21	40	8.35824637752e-13	9.94631318925e-10
R-HSA-5358346	Hedgehog ligand biogenesis	21	40	8.35824637752e-13	9.94631318925e-10
R-HSA-349425	Autodegradation of the E3 ubiquitin ligase COP1	19	33	1.12761075238e-12	1.34185679533e-09
R-HSA-5362768	Hh mutants are degraded by ERAD	20	37	1.42975631494e-12	1.70141001477e-09
R-HSA-195253	Degradation of beta-catenin by the destruction complex	23	49	1.44620368923e-12	1.72098239019e-09
R-HSA-5610780	Degradation of GLI1 by the proteasome	21	41	1.57678950447e-12	1.87637951032e-09
R-HSA-69601	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	19	34	2.35259512605e-12	2.7995882e-09
R-HSA-8948751	Regulation of PTEN stability and activity	23	50	2.46419387533e-12	2.93239071165e-09
R-HSA-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	19	35	4.73697395767e-12	5.63699900963e-09
R-HSA-180585	Vif-mediated degradation of APOBEC3G	19	35	4.73697395767e-12	5.63699900963e-09
R-HSA-5658442	Regulation of RAS by GAPs	22	48	8.13683784955e-12	9.68283704097e-09
R-HSA-8939902	Regulation of RUNX2 expression and activity	23	53	1.10760078276e-11	1.31804493148e-08
R-HSA-187577	SCF(Skp2)-mediated degradation of p27/p21	21	45	1.58575349891e-11	1.88704666371e-08
R-HSA-350562	Regulation of ornithine decarboxylase (ODC)	19	37	1.74707612393e-11	2.07902058748e-08
R-HSA-4641257	Degradation of AXIN	19	37	1.74707612393e-11	2.07902058748e-08
R-HSA-9837999	Mitochondrial protein degradation	31	95	2.33423779775e-11	2.77774297932e-08
R-HSA-4641258	Degradation of DVL	19	38	3.21635714504e-11	3.8274650026e-08
