# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-3299685	Detoxification of Reactive Oxygen Species	26	34	8.39511967196e-27	8.17684656049e-24
R-HSA-9818027	NFE2L2 regulating anti-oxidant/detoxification enzymes	12	18	7.98143983135e-12	7.77392239574e-09
R-HSA-9755511	KEAP1-NFE2L2 pathway	19	56	4.27869460919e-11	4.16744854935e-08
R-HSA-5628897	TP53 Regulates Metabolic Genes	21	78	5.42562695134e-10	5.2845606506e-07
R-HSA-68949	Orc1 removal from chromatin	17	52	8.90512967045e-10	8.67359629901e-07
R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	14	37	3.12334337654e-09	3.04213644875e-06
R-HSA-5687128	MAPK6/MAPK4 signaling	18	70	2.0792358161e-08	2.02517568488e-05
R-HSA-9762114	GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2	13	36	2.23912170663e-08	2.18090454226e-05
R-HSA-1169091	Activation of NF-kappaB in B cells	15	49	2.43522995868e-08	2.37191397975e-05
R-HSA-5676934	Protein repair	6	6	2.49161625154e-08	2.426834229e-05
R-HSA-5358346	Hedgehog ligand biogenesis	13	40	9.53744408246e-08	9.28947053632e-05
R-HSA-75815	Ubiquitin-dependent degradation of Cyclin D	12	34	1.05750292353e-07	0.000103000784751
R-HSA-5676590	NIK-->noncanonical NF-kB signaling	13	41	1.32816840238e-07	0.000129363602391
R-HSA-68867	Assembly of the pre-replicative complex	16	63	1.54112463295e-07	0.00015010553925
R-HSA-5607761	Dectin-1 mediated noncanonical NF-kB signaling	13	42	1.82938323629e-07	0.000178181927214
R-HSA-2995383	Initiation of Nuclear Envelope (NE) Reformation	9	19	2.16805739146e-07	0.000211168789929
R-HSA-8948751	Regulation of PTEN stability and activity	14	50	2.49066642896e-07	0.000242590910181
R-HSA-5362768	Hh mutants are degraded by ERAD	12	37	3.07501533163e-07	0.000299506493301
R-HSA-9604323	Negative regulation of NOTCH4 signaling	12	37	3.07501533163e-07	0.000299506493301
R-HSA-5607764	CLEC7A (Dectin-1) signaling	15	59	3.72079553061e-07	0.000362405484682
R-HSA-211733	Regulation of activated PAK-2p34 by proteasome mediated degradation	11	32	4.94648056062e-07	0.000481787206605
R-HSA-69481	G2/M Checkpoints	11	32	4.94648056062e-07	0.000481787206605
R-HSA-8939902	Regulation of RUNX2 expression and activity	14	53	5.48956885671e-07	0.000534684006643
R-HSA-1236974	ER-Phagosome pathway	16	69	5.94019972328e-07	0.000578575453047
R-HSA-349425	Autodegradation of the E3 ubiquitin ligase COP1	11	33	7.06004097805e-07	0.000687647991262
R-HSA-69601	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	11	34	9.93082004757e-07	0.000967261872633
R-HSA-180534	Vpu mediated degradation of CD4	11	34	9.93082004757e-07	0.000967261872633
R-HSA-5658442	Regulation of RAS by GAPs	13	48	1.02364536292e-06	0.000997030583486
R-HSA-5610785	GLI3 is processed to GLI3R by the proteasome	12	41	1.07372484416e-06	0.00104580799821
R-HSA-5610783	Degradation of GLI2 by the proteasome	12	41	1.07372484416e-06	0.00104580799821
R-HSA-9841251	Mitochondrial unfolded protein response (UPRmt)	8	17	1.12559785235e-06	0.00109633230819
R-HSA-195253	Degradation of beta-catenin by the destruction complex	13	49	1.325193598e-06	0.00129073856446
R-HSA-180585	Vif-mediated degradation of APOBEC3G	11	35	1.37808480957e-06	0.00134225460452
R-HSA-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	11	35	1.37808480957e-06	0.00134225460452
R-HSA-9614399	Regulation of localization of FOXO transcription factors	6	9	1.81729173246e-06	0.00177004214741
R-HSA-9755779	SARS-CoV-2 targets host intracellular signalling and regulatory pathways	6	9	1.81729173246e-06	0.00177004214741
R-HSA-5678895	Defective CFTR causes cystic fibrosis	12	43	1.88706991225e-06	0.00183800609453
R-HSA-8854050	FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	11	36	1.88833810936e-06	0.00183924131851
R-HSA-350562	Regulation of ornithine decarboxylase (ODC)	11	37	2.55715358381e-06	0.00249066759064
R-HSA-4641257	Degradation of AXIN	11	37	2.55715358381e-06	0.00249066759064
R-HSA-174113	SCF-beta-TrCP mediated degradation of Emi1	11	37	2.55715358381e-06	0.00249066759064
R-HSA-9837999	Mitochondrial protein degradation	18	95	2.79872449208e-06	0.00272595765528
R-HSA-4608870	Asymmetric localization of PCP proteins	12	45	3.20239280481e-06	0.00311913059189
R-HSA-187577	SCF(Skp2)-mediated degradation of p27/p21	12	45	3.20239280481e-06	0.00311913059189
