# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-3299685	Detoxification of Reactive Oxygen Species	26	34	8.39511967196e-27	8.17684656049e-24
R-HSA-9818027	NFE2L2 regulating anti-oxidant/detoxification enzymes	12	18	7.98143983135e-12	3.88696119787e-09
R-HSA-9755511	KEAP1-NFE2L2 pathway	19	56	4.27869460919e-11	1.38914951645e-08
R-HSA-5628897	TP53 Regulates Metabolic Genes	21	78	5.42562695134e-10	1.32114016265e-07
R-HSA-68949	Orc1 removal from chromatin	17	52	8.90512967045e-10	1.7347192598e-07
R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	14	37	3.12334337654e-09	5.07022741458e-07
R-HSA-5676934	Protein repair	6	6	2.49161625154e-08	2.426834229e-06
R-HSA-1169091	Activation of NF-kappaB in B cells	15	49	2.43522995868e-08	2.426834229e-06
R-HSA-9762114	GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2	13	36	2.23912170663e-08	2.426834229e-06
R-HSA-5687128	MAPK6/MAPK4 signaling	18	70	2.0792358161e-08	2.426834229e-06
R-HSA-5358346	Hedgehog ligand biogenesis	13	40	9.53744408246e-08	8.44497321483e-06
R-HSA-75815	Ubiquitin-dependent degradation of Cyclin D	12	34	1.05750292353e-07	8.58339872929e-06
R-HSA-5676590	NIK-->noncanonical NF-kB signaling	13	41	1.32816840238e-07	9.95104633781e-06
R-HSA-68867	Assembly of the pre-replicative complex	16	63	1.54112463295e-07	1.07218242321e-05
R-HSA-5607761	Dectin-1 mediated noncanonical NF-kB signaling	13	42	1.82938323629e-07	1.18787951476e-05
R-HSA-2995383	Initiation of Nuclear Envelope (NE) Reformation	9	19	2.16805739146e-07	1.31980493705e-05
R-HSA-8948751	Regulation of PTEN stability and activity	14	50	2.49066642896e-07	1.427005354e-05
R-HSA-9604323	Negative regulation of NOTCH4 signaling	12	37	3.07501533163e-07	1.57634996474e-05
R-HSA-5362768	Hh mutants are degraded by ERAD	12	37	3.07501533163e-07	1.57634996474e-05
R-HSA-5607764	CLEC7A (Dectin-1) signaling	15	59	3.72079553061e-07	1.81202742341e-05
R-HSA-211733	Regulation of activated PAK-2p34 by proteasome mediated degradation	11	32	4.94648056062e-07	2.1899418482e-05
R-HSA-69481	G2/M Checkpoints	11	32	4.94648056062e-07	2.1899418482e-05
R-HSA-8939902	Regulation of RUNX2 expression and activity	14	53	5.48956885671e-07	2.32471307236e-05
R-HSA-1236974	ER-Phagosome pathway	16	69	5.94019972328e-07	2.41073105436e-05
R-HSA-349425	Autodegradation of the E3 ubiquitin ligase COP1	11	33	7.06004097805e-07	2.75059196505e-05
R-HSA-180534	Vpu mediated degradation of CD4	11	34	9.93082004757e-07	3.48602666069e-05
