#Position	SeedUserEntity
5	9708
6	15601
7	20479
8	14463
9	9682
10	10469
11	46924
12	24727
13	13970
14	15850
15	10388
16	9157
17	9160
18	16271
19	9852
20	9155
21	9334
22	16068
23	31986
24	35791
25	26794
26	10096
27	32613
28	8473
29	15293
30	13766
31	10399
32	13210
33	6994
34	15951
35	15444
36	9929
37	8346
38	8156
39	50356
40	42833
41	8863
42	30529
43	41598
44	12211
45	13712
46	8363
47	12002
48	8317
49	8412
50	13209
51	14640
52	14137
53	14334
54	15632
55	13692
56	33771
57	14724
58	57525
59	45169
60	15806
61	14790
62	12277
63	15125
64	24432
65	14152
66	9806
67	19034
68	10771
69	12646
70	30624
71	16762
72	16291
73	14056
74	12024
75	10625
76	15443
77	14326
78	15549
79	12765
80	14273
81	11631
82	14114
83	15382
84	15438
85	8209
86	21247
87	57254
88	10777
89	31983
90	11000
91	13233
92	7048
93	11577
94	15366
95	10192
96	32547
97	10271
98	15111
99	39530
100	10187
101	14521
102	10740
103	8890
104	9320
105	45178
106	15925
107	49820
108	14102
109	9547
110	15821
111	32094
112	27313
113	9042
114	47766
115	47874
116	11022
117	14013
118	44696
119	8854
120	10535
121	10272
122	34640
123	15464
124	7683
125	47112
126	53648
127	9326
128	55924
129	20874
130	56059
131	33780
132	11144
133	47876
134	14884
135	8001
136	52853
137	21865
138	10556
139	10717
140	26841
141	7963
142	10733
143	14177
144	13765
145	15795
146	11815
147	9341
148	13862
149	30046
150	47609
151	24904
152	8788
153	16230
154	24612
155	55582
156	44691
157	7477
158	20126
159	15453
160	46996
161	15889
162	10580
163	7407
164	24709
165	46354
166	9192
167	10719
168	31078
169	15702
170	9041
171	10975
172	44699
173	57939
174	37170
175	12149
176	52737
177	9071
178	12897
179	7917
180	14191
181	10194
182	12114
183	19359
184	14206
185	10054
186	47638
187	16318
188	55091
189	10365
190	58415
191	11498
192	15199
193	35815
194	36292
195	10769
196	11423
197	54632
198	17417
199	15746
200	13104
201	51152
202	50627
203	37554
204	23979
205	14571
206	8157
207	57213
208	37496
209	50578
210	10597
211	36594
212	15097
213	31207
214	31832
215	14773
216	15168
217	48979
218	44503
219	26886
220	12305
221	48382
222	15750
223	10126
224	31259
225	31257
226	8128
227	21821
228	28059
229	15145
230	14588
231	14396
232	55822
233	36205
234	23929
235	37444
236	16314
237	20607
238	36649
239	37551
240	12780
241	27371
242	42931
243	12216
244	23849
245	7207
246	15961
247	45388
248	15637
249	10982
250	57949
251	10034
252	59011
