# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected	Seed Gene IDs
R-HSA-3371511	HSF1 activation	3	10	4.50529007824e-07	8.1996279424e-05	6118;6117;6119
R-HSA-110312	Translesion synthesis by REV1	3	12	8.24294847249e-07	0.000150021662199	6117;6119;6118
R-HSA-5655862	Translesion synthesis by POLK	3	13	1.07049618266e-06	0.000194830305244	6119;6117;6118
R-HSA-5656121	Translesion synthesis by POLI	3	13	1.07049618266e-06	0.000194830305244	6117;6119;6118
R-HSA-69166	Removal of the Flap Intermediate	3	14	1.36106746395e-06	0.000247714278439	6119;6117;6118
R-HSA-5358606	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	3	14	1.36106746395e-06	0.000247714278439	6118;6119;6117
R-HSA-5358565	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	3	14	1.36106746395e-06	0.000247714278439	6118;6119;6117
R-HSA-110320	Translesion Synthesis by POLH	3	15	1.69960827762e-06	0.000309328706527	6119;6117;6118
R-HSA-174437	Removal of the Flap Intermediate from the C-strand	3	17	2.53492245146e-06	0.000461355886166	6119;6117;6118
R-HSA-5651801	PCNA-Dependent Long Patch Base Excision Repair	3	21	4.93791914876e-06	0.000898701285075	6119;6117;6118
R-HSA-5696397	Gap-filling DNA repair synthesis and ligation in GG-NER	3	21	4.93791914876e-06	0.000898701285075	6117;6118;6119
R-HSA-110314	Recognition of DNA damage by PCNA-containing replication complex	3	24	7.49169690712e-06	0.0013634888371	6117;6118;6119
R-HSA-5656169	Termination of translesion DNA synthesis	3	28	1.2076746974e-05	0.00219796794928	6117;6118;6119
R-HSA-68962	Activation of the pre-replicative complex	3	33	2.00113214593e-05	0.00364206050559	6117;6119;6118
R-HSA-6783310	Fanconi Anemia Pathway	3	34	2.19256278657e-05	0.00399046427156	6118;6119;6117
R-HSA-9709570	Impaired BRCA2 binding to RAD51	3	34	2.19256278657e-05	0.00399046427156	6119;6118;6117
R-HSA-5696395	Formation of Incision Complex in GG-NER	3	35	2.39568186535e-05	0.00436014099493	6117;6118;6119
R-HSA-176187	Activation of ATR in response to replication stress	3	36	2.61081885502e-05	0.00475169031614	6119;6118;6117
R-HSA-5696400	Dual Incision in GG-NER	3	36	2.61081885502e-05	0.00475169031614	6117;6118;6119
R-HSA-5685938	HDR through Single Strand Annealing (SSA)	3	36	2.61081885502e-05	0.00475169031614	6119;6118;6117
R-HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	3	39	3.33161086708e-05	0.00606353177809	6119;6118;6117
R-HSA-5685942	HDR through Homologous Recombination (HRR)	3	45	5.14152490651e-05	0.00935757532984	6119;6117;6118
R-HSA-912446	Meiotic recombination	3	51	7.49977591231e-05	0.0136495921604	6118;6119;6117
R-HSA-6782210	Gap-filling DNA repair synthesis and ligation in TC-NER	3	57	0.000104734823016	0.0190617377889	6117;6118;6119
R-HSA-6782135	Dual incision in TC-NER	3	58	0.000110335509042	0.0200810626456	6117;6118;6119
R-HSA-69473	G2/M DNA damage checkpoint	3	62	0.000134689184516	0.0245134315819	6119;6118;6117
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	3	66	0.000162305276613	0.0295395603435	6119;6117;6118
R-HSA-5693607	Processing of DNA double-strand break ends	3	71	0.000201694937347	0.0367084785972	6118;6119;6117
