# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected	Seed Gene IDs
R-HSA-110312	Translesion synthesis by REV1	3	12	1.77380947788e-07	7.41286589107e-06	6117;6119;6118
R-HSA-69166	Removal of the Flap Intermediate	3	14	2.93164187782e-07	7.41286589107e-06	6119;6117;6118
R-HSA-5358606	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	3	14	2.93164187782e-07	7.41286589107e-06	6118;6119;6117
R-HSA-3371511	HSF1 activation	3	10	9.68590597864e-08	7.41286589107e-06	6118;6117;6119
R-HSA-5358565	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	3	14	2.93164187782e-07	7.41286589107e-06	6118;6119;6117
R-HSA-5655862	Translesion synthesis by POLK	3	13	2.30469229775e-07	7.41286589107e-06	6119;6117;6118
R-HSA-5656121	Translesion synthesis by POLI	3	13	2.30469229775e-07	7.41286589107e-06	6117;6119;6118
R-HSA-110320	Translesion Synthesis by POLH	3	15	3.66254976751e-07	8.10339136061e-06	6119;6117;6118
R-HSA-174437	Removal of the Flap Intermediate from the C-strand	3	17	5.46771950531e-07	1.07531816938e-05	6119;6117;6118
R-HSA-5651801	PCNA-Dependent Long Patch Base Excision Repair	3	21	1.06708539307e-06	1.71703740521e-05	6119;6117;6118
R-HSA-5696397	Gap-filling DNA repair synthesis and ligation in GG-NER	3	21	1.06708539307e-06	1.71703740521e-05	6117;6118;6119
R-HSA-110314	Recognition of DNA damage by PCNA-containing replication complex	3	24	1.62123358034e-06	2.391319531e-05	6117;6118;6119
R-HSA-5656169	Termination of translesion DNA synthesis	3	28	2.61835714945e-06	3.56499396501e-05	6117;6118;6119
R-HSA-6783310	Fanconi Anemia Pathway	3	34	4.76706538289e-06	5.02835303689e-05	6118;6119;6117
R-HSA-176187	Activation of ATR in response to replication stress	3	36	5.68175484394e-06	5.02835303689e-05	6119;6118;6117
R-HSA-68962	Activation of the pre-replicative complex	3	33	4.34882058772e-06	5.02835303689e-05	6117;6119;6118
R-HSA-5696400	Dual Incision in GG-NER	3	36	5.68175484394e-06	5.02835303689e-05	6117;6118;6119
R-HSA-5696395	Formation of Incision Complex in GG-NER	3	35	5.2111258045e-06	5.02835303689e-05	6117;6118;6119
R-HSA-9709570	Impaired BRCA2 binding to RAD51	3	34	4.76706538289e-06	5.02835303689e-05	6119;6118;6117
R-HSA-5685938	HDR through Single Strand Annealing (SSA)	3	36	5.68175484394e-06	5.02835303689e-05	6119;6118;6117
R-HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	3	39	7.26055812468e-06	6.11961327652e-05	6119;6118;6117
R-HSA-5685942	HDR through Homologous Recombination (HRR)	3	45	1.12364086718e-05	9.0402015223e-05	6119;6117;6118
R-HSA-912446	Meiotic recombination	3	51	1.6436280509e-05	0.00012648789783	6118;6119;6117
R-HSA-6782210	Gap-filling DNA repair synthesis and ligation in TC-NER	3	57	2.30179086529e-05	0.000169757076315	6117;6118;6119
R-HSA-6782135	Dual incision in TC-NER	3	58	2.42601395846e-05	0.000171761788259	6117;6118;6119
R-HSA-69473	G2/M DNA damage checkpoint	3	62	2.96704135571e-05	0.000201987046139	6119;6118;6117
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	3	66	3.58208857249e-05	0.000234825806418	6119;6117;6118
R-HSA-5693607	Processing of DNA double-strand break ends	3	71	4.46184595273e-05	0.000282052404869	6118;6119;6117
R-HSA-6804756	Regulation of TP53 Activity through Phosphorylation	3	84	7.38558897341e-05	0.00045077560286	6119;6118;6117
R-HSA-9607240	FLT3 Signaling	2	18	0.000147646801341	0.00087111612791	207;3845
R-HSA-8862803	Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models	2	21	0.00020231531376	0.00115515517857	4000;351
R-HSA-6802952	Signaling by BRAF and RAF1 fusions	2	58	0.00156013449884	0.00862949394671	4000;3845
R-HSA-352238	Breakdown of the nuclear lamina	1	3	0.00311720475781	0.0157641497752	4000
R-HSA-9753510	Signaling by RAS GAP mutants	1	3	0.00311720475781	0.0157641497752	3845
R-HSA-9753512	Signaling by RAS GTPase mutants	1	3	0.00311720475781	0.0157641497752	3845
R-HSA-9768777	Regulation of NPAS4 gene transcription	1	4	0.0041543279322	0.0193504222105	2908
R-HSA-211163	AKT-mediated inactivation of FOXO1A	1	4	0.0041543279322	0.0193504222105	207
R-HSA-8957275	Post-translational protein phosphorylation	2	95	0.0041284583893	0.0193504222105	10618;351
R-HSA-8849469	PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1	1	5	0.00519047991644	0.0224076815905	207
R-HSA-8849473	PTK6 Expression	1	5	0.00519047991644	0.0224076815905	2908
R-HSA-1169092	Activation of RAS in B cells	1	5	0.00519047991644	0.0224076815905	3845
R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	2	110	0.00549715100941	0.0231665649682	10618;351
R-HSA-6802953	RAS signaling downstream of NF1 loss-of-function variants	1	6	0.00622566151905	0.0239552628016	3845
R-HSA-112412	SOS-mediated signalling	1	6	0.00622566151905	0.0239552628016	3845
R-HSA-444473	Formyl peptide receptors bind formyl peptides and many other ligands	1	6	0.00622566151905	0.0239552628016	351
R-HSA-9634635	Estrogen-stimulated signaling through PRKCZ	1	6	0.00622566151905	0.0239552628016	3845
R-HSA-9703648	Signaling by FLT3 ITD and TKD mutants	1	9	0.00932539211266	0.0266224903861	3845
R-HSA-9755779	SARS-CoV-2 targets host intracellular signalling and regulatory pathways	1	9	0.00932539211266	0.0266224903861	207
R-HSA-8951936	RUNX3 regulates p14-ARF	1	9	0.00932539211266	0.0266224903861	3845
