# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected	Seed Gene IDs
GO:0006298	mismatch repair	3	12	1.44252615748e-07	2.20706502094e-05	6119;6117;6118
GO:0006284	base-excision repair	3	20	7.44446286316e-07	4.32525535821e-05	6119;6118;6117
GO:0034502	protein localization to chromosome	2	2	8.48089285923e-07	4.32525535821e-05	6117;6118
GO:0006260	DNA replication	3	23	1.15473473776e-06	4.41686037194e-05	6118;6119;6117
GO:0006289	nucleotide-excision repair	3	26	1.69266916947e-06	5.17956765858e-05	6118;6119;6117
GO:0000724	double-strand break repair via homologous recombination	3	71	3.63637407538e-05	0.000927275389222	6119;6118;6117
GO:0007617	mating behavior	1	2	0.00194052251836	0.0106035694753	351
GO:0031583	phospholipase D-activating G protein-coupled receptor signaling pathway	1	1	0.000970685303816	0.0106035694753	351
GO:0141137	positive regulation of gene expression, epigenetic	1	2	0.00194052251836	0.0106035694753	351
GO:1903381	regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway	1	2	0.00194052251836	0.0106035694753	351
GO:1903896	positive regulation of IRE1-mediated unfolded protein response	1	2	0.00194052251836	0.0106035694753	10551
GO:1904591	positive regulation of protein import	1	2	0.00194052251836	0.0106035694753	351
GO:0051580	regulation of neurotransmitter uptake	1	2	0.00194052251836	0.0106035694753	351
GO:0010628	positive regulation of gene expression	3	271	0.00188338613031	0.0106035694753	3845;351;10551
GO:0008088	axo-dendritic transport	1	2	0.00194052251836	0.0106035694753	351
GO:1905898	positive regulation of response to endoplasmic reticulum stress	1	2	0.00194052251836	0.0106035694753	351
GO:0070206	protein trimerization	1	1	0.000970685303816	0.0106035694753	351
GO:1903523	negative regulation of blood circulation	1	2	0.00194052251836	0.0106035694753	351
GO:1905945	regulation of response to calcium ion	1	1	0.000970685303816	0.0106035694753	351
GO:0050803	regulation of synapse structure or activity	1	1	0.000970685303816	0.0106035694753	351
GO:0000723	telomere maintenance	2	38	0.000585191632049	0.0106035694753	6118;6117
GO:1990683	DNA double-strand break attachment to nuclear envelope	1	2	0.00194052251836	0.0106035694753	4000
GO:0006281	DNA repair	2	69	0.00192174203604	0.0106035694753	6119;6117
GO:0045752	positive regulation of Toll signaling pathway	1	1	0.000970685303816	0.0106035694753	351
GO:1904472	positive regulation of endothelin production	1	2	0.00194052251836	0.0106035694753	351
GO:0048669	collateral sprouting in absence of injury	1	2	0.00194052251836	0.0106035694753	351
GO:0071549	cellular response to dexamethasone stimulus	1	2	0.00194052251836	0.0106035694753	2908
GO:1905906	regulation of amyloid fibril formation	1	2	0.00194052251836	0.0106035694753	351
GO:0150003	regulation of spontaneous synaptic transmission	1	3	0.00290951230231	0.0123654272848	351
GO:1903899	positive regulation of PERK-mediated unfolded protein response	1	3	0.00290951230231	0.0123654272848	10551
GO:1904022	positive regulation of G protein-coupled receptor internalization	1	3	0.00290951230231	0.0123654272848	351
GO:0014005	microglia development	1	3	0.00290951230231	0.0123654272848	351
GO:1900221	regulation of amyloid-beta clearance	1	3	0.00290951230231	0.0123654272848	351
GO:0034121	regulation of toll-like receptor signaling pathway	1	3	0.00290951230231	0.0123654272848	351
GO:0055096	low-density lipoprotein particle mediated signaling	1	3	0.00290951230231	0.0123654272848	351
GO:1905908	positive regulation of amyloid fibril formation	1	3	0.00290951230231	0.0123654272848	351
GO:0002265	astrocyte activation involved in immune response	1	4	0.00387765531402	0.0137972386755	351
GO:0016199	axon midline choice point recognition	1	4	0.00387765531402	0.0137972386755	351
GO:0048639	positive regulation of developmental growth	1	4	0.00387765531402	0.0137972386755	10551
GO:1902993	positive regulation of amyloid precursor protein catabolic process	1	4	0.00387765531402	0.0137972386755	351
GO:0030951	establishment or maintenance of microtubule cytoskeleton polarity	1	4	0.00387765531402	0.0137972386755	4000
GO:1902950	regulation of dendritic spine maintenance	1	4	0.00387765531402	0.0137972386755	351
GO:0098815	modulation of excitatory postsynaptic potential	1	4	0.00387765531402	0.0137972386755	351
GO:2000001	regulation of DNA damage checkpoint	1	5	0.00484495221109	0.0154432851728	6118
GO:1903243	negative regulation of cardiac muscle hypertrophy in response to stress	1	5	0.00484495221109	0.0154432851728	4000
GO:0010996	response to auditory stimulus	1	5	0.00484495221109	0.0154432851728	351
GO:0048546	digestive tract morphogenesis	1	5	0.00484495221109	0.0154432851728	10551
GO:0001934	positive regulation of protein phosphorylation	2	107	0.00455484777391	0.0154432851728	3845;351
GO:0048169	regulation of long-term neuronal synaptic plasticity	1	6	0.00581140365113	0.0177828951725	351
GO:0070254	mucus secretion	1	6	0.00581140365113	0.0177828951725	10551
GO:0048143	astrocyte activation	1	7	0.00677701029105	0.018852410446	351
GO:0045745	positive regulation of G protein-coupled receptor signaling pathway	1	7	0.00677701029105	0.018852410446	351
GO:0141163	positive regulation of cAMP/PKA signal transduction	1	7	0.00677701029105	0.018852410446	351
GO:0008344	adult locomotory behavior	1	7	0.00677701029105	0.018852410446	351
GO:0040014	regulation of multicellular organism growth	1	7	0.00677701029105	0.018852410446	351
GO:0007517	muscle organ development	1	8	0.00774177278703	0.0201813764345	4000
GO:1900272	negative regulation of long-term synaptic potentiation	1	9	0.00870569179528	0.0201813764345	351
GO:0031571	mitotic G1 DNA damage checkpoint signaling	1	9	0.00870569179528	0.0201813764345	6118
GO:1990535	neuron projection maintenance	1	9	0.00870569179528	0.0201813764345	351
GO:0001878	response to yeast	1	9	0.00870569179528	0.0201813764345	351
GO:0006878	intracellular copper ion homeostasis	1	8	0.00774177278703	0.0201813764345	351
GO:0071385	cellular response to glucocorticoid stimulus	1	9	0.00870569179528	0.0201813764345	2908
GO:0016322	neuron remodeling	1	8	0.00774177278703	0.0201813764345	351
