# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected	Seed Gene IDs
GO:0003684	damaged DNA binding	3	31	2.97612457074e-05	0.00101188235405	6118;6119;6117
GO:0098505	G-rich strand telomeric DNA binding	2	9	0.000137248684031	0.00233322762852	6118;6117
GO:0003697	single-stranded DNA binding	3	68	0.000316818664773	0.0035906115341	6118;6119;6117
GO:0004377	GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity	1	1	0.00202092249167	0.0114518941195	440138
GO:0004567	beta-mannosidase activity	1	1	0.00202092249167	0.0114518941195	4126
GO:0160123	structural constituent of nuclear lamina	1	1	0.00202092249167	0.0114518941195	4000
GO:0030144	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity	1	2	0.00403800064147	0.0196131459728	4249
GO:0030546	signaling receptor activator activity	1	3	0.00605124130606	0.022860244934	351
GO:0002162	dystroglycan binding	1	3	0.00605124130606	0.022860244934	10551
GO:1990239	steroid hormone binding	1	4	0.00806065133069	0.0249147404767	2908
GO:0016757	glycosyltransferase activity	1	4	0.00806065133069	0.0249147404767	84302
GO:0005496	steroid binding	1	6	0.0120680067847	0.03419268589	2908
GO:0140463	chromatin-protein adaptor activity	1	11	0.0220198362054	0.047997692357	6117
GO:0043395	heparan sulfate proteoglycan binding	1	10	0.0200370499456	0.047997692357	351
GO:0004864	protein phosphatase inhibitor activity	1	11	0.0220198362054	0.047997692357	4249
GO:0001046	core promoter sequence-specific DNA binding	1	12	0.0239988461785	0.047997692357	2908
GO:0050750	low-density lipoprotein particle receptor binding	1	12	0.0239988461785	0.047997692357	351
