# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected	Seed Gene IDs
R-HSA-9694548	Maturation of spike protein	14	36	4.92024300988e-07	0.00028881826468	253832;6483;51304;4124;51114;55741;4249;29801;6482;6480;6484;11253;7991;27090
R-HSA-975577	N-Glycan antennae elongation	7	10	2.694709295e-06	0.000790897178084	9334;8702;4249;8703;6480;6484;2683
R-HSA-2022854	Keratan sulfate biosynthesis	9	18	4.70505184769e-06	0.000920621811532	176;5549;2683;9334;6482;6483;6484;8703;8702
R-HSA-352230	Amino acid transport across the plasma membrane	11	28	7.52547606242e-06	0.000960062099779	23657;55117;56301;6533;10991;9057;54407;84889;6542;6509;92745
R-HSA-5173105	O-linked glycosylation	6	8	8.17770102027e-06	0.000960062099779	84892;148789;29954;84197;120071;10585
R-HSA-9683673	Maturation of protein 3a	6	9	2.27898853771e-05	0.00191109467376	2589;27090;6482;6483;6480;6484
R-HSA-9694719	Maturation of protein 3a	6	9	2.27898853771e-05	0.00191109467376	2589;27090;6482;6483;6480;6484
R-HSA-416700	Other semaphorin interactions	7	16	0.000163868403135	0.01202384408	23129;57556;10154;54209;5361;10507;80031
R-HSA-2243919	Crosslinking of collagen fibrils	7	17	0.000258553949737	0.0168634631662	1286;7092;4017;1288;5118;4016;7837
R-HSA-442380	Zinc influx into cells by the SLC39 gene family	5	9	0.000384729125591	0.0192105415267	25800;23516;64116;55630;57181
R-HSA-2022870	Chondroitin sulfate biosynthesis	7	18	0.000392719758639	0.0192105415267	54480;55501;22856;337876;63827;55790;9469
R-HSA-446193	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	6	13	0.000347108241335	0.0192105415267	91869;144245;440138;56052;29929;79796
