# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected	Seed Gene IDs
R-HSA-110312	Translesion synthesis by REV1	3	12	1.00022622581e-06	3.39697185792e-05	6117;6119;6118
R-HSA-69166	Removal of the Flap Intermediate	3	14	1.65130576427e-06	3.39697185792e-05	6119;6117;6118
R-HSA-5358606	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	3	14	1.65130576427e-06	3.39697185792e-05	6118;6119;6117
R-HSA-3371511	HSF1 activation	3	10	5.46771950531e-07	3.39697185792e-05	6118;6117;6119
R-HSA-5358565	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	3	14	1.65130576427e-06	3.39697185792e-05	6118;6119;6117
R-HSA-5655862	Translesion synthesis by POLK	3	13	1.29887354244e-06	3.39697185792e-05	6119;6117;6118
R-HSA-5656121	Translesion synthesis by POLI	3	13	1.29887354244e-06	3.39697185792e-05	6117;6119;6118
R-HSA-110320	Translesion Synthesis by POLH	3	15	2.06187712787e-06	3.71137883017e-05	6119;6117;6118
R-HSA-174437	Removal of the Flap Intermediate from the C-strand	3	17	3.07475718732e-06	4.91961149971e-05	6119;6117;6118
R-HSA-5651801	PCNA-Dependent Long Patch Base Excision Repair	3	21	5.98762446169e-06	7.83834474985e-05	6119;6117;6118
R-HSA-5696397	Gap-filling DNA repair synthesis and ligation in GG-NER	3	21	5.98762446169e-06	7.83834474985e-05	6117;6118;6119
R-HSA-110314	Recognition of DNA damage by PCNA-containing replication complex	3	24	9.08215946273e-06	0.000108985913553	6117;6118;6119
R-HSA-5656169	Termination of translesion DNA synthesis	3	28	1.46360329819e-05	0.000162122211492	6117;6118;6119
R-HSA-6783310	Fanconi Anemia Pathway	3	34	2.6559643655e-05	0.000227673100917	6118;6119;6117
R-HSA-176187	Activation of ATR in response to replication stress	3	36	3.16212640162e-05	0.000227673100917	6119;6118;6117
R-HSA-68962	Activation of the pre-replicative complex	3	33	2.42426357602e-05	0.000227673100917	6117;6119;6118
R-HSA-5696400	Dual Incision in GG-NER	3	36	3.16212640162e-05	0.000227673100917	6117;6118;6119
R-HSA-5696395	Formation of Incision Complex in GG-NER	3	35	2.90178672677e-05	0.000227673100917	6117;6118;6119
R-HSA-9709570	Impaired BRCA2 binding to RAD51	3	34	2.6559643655e-05	0.000227673100917	6119;6118;6117
R-HSA-5685938	HDR through Single Strand Annealing (SSA)	3	36	3.16212640162e-05	0.000227673100917	6119;6118;6117
R-HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	3	39	4.03417925873e-05	0.000276629434884	6119;6118;6117
R-HSA-5685942	HDR through Homologous Recombination (HRR)	3	45	6.22285662089e-05	0.000407314251549	6119;6117;6118
R-HSA-912446	Meiotic recombination	3	51	9.07283768521e-05	0.000568038533335	6118;6119;6117
R-HSA-6782210	Gap-filling DNA repair synthesis and ligation in TC-NER	3	57	0.000126643538477	0.000759861230862	6117;6118;6119
R-HSA-6782135	Dual incision in TC-NER	3	58	0.000133405404346	0.000768415129033	6117;6118;6119
R-HSA-69473	G2/M DNA damage checkpoint	3	62	0.000162800454964	0.000901664058265	6119;6118;6117
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	3	66	0.000196119299975	0.00104596959987	6119;6117;6118
R-HSA-5693607	Processing of DNA double-strand break ends	3	71	0.000243620453106	0.0012529051874	6118;6119;6117
R-HSA-6804756	Regulation of TP53 Activity through Phosphorylation	3	84	0.000400409686989	0.00198824120436	6119;6118;6117
R-HSA-8862803	Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models	2	21	0.000605829755251	0.0029079828252	4000;351
R-HSA-4551295	Defective ALG11 causes CDG-1p	1	1	0.00176807072282	0.00821297368018	440138
R-HSA-6802952	Signaling by BRAF and RAF1 fusions	2	58	0.00458894371941	0.0206502467373	4000;3845
R-HSA-352238	Breakdown of the nuclear lamina	1	3	0.00529538927975	0.0217867444653	4000
R-HSA-9753510	Signaling by RAS GAP mutants	1	3	0.00529538927975	0.0217867444653	3845
R-HSA-9753512	Signaling by RAS GTPase mutants	1	3	0.00529538927975	0.0217867444653	3845
R-HSA-9768777	Regulation of NPAS4 gene transcription	1	4	0.00705464628986	0.0274559206957	2908
R-HSA-8853383	Lysosomal oligosaccharide catabolism	1	4	0.00705464628986	0.0274559206957	4126
R-HSA-8849473	PTK6 Expression	1	5	0.00881097456108	0.0325328291486	2908
R-HSA-1169092	Activation of RAS in B cells	1	5	0.00881097456108	0.0325328291486	3845
R-HSA-6802953	RAS signaling downstream of NF1 loss-of-function variants	1	6	0.0105643786643	0.0353783843643	3845
R-HSA-112412	SOS-mediated signalling	1	6	0.0105643786643	0.0353783843643	3845
R-HSA-9634635	Estrogen-stimulated signaling through PRKCZ	1	6	0.0105643786643	0.0353783843643	3845
R-HSA-444473	Formyl peptide receptors bind formyl peptides and many other ligands	1	6	0.0105643786643	0.0353783843643	351
R-HSA-8957275	Post-translational protein phosphorylation	2	95	0.0119290093544	0.0390403942507	10618;351
R-HSA-9034864	Activated NTRK3 signals through RAS	1	7	0.0123148631643	0.0394075621258	3845
R-HSA-2428933	SHC-related events triggered by IGF1R	1	8	0.0140624326197	0.0404998059448	3845
R-HSA-2179392	EGFR Transactivation by Gastrin	1	8	0.0140624326197	0.0404998059448	3845
R-HSA-74751	Insulin receptor signalling cascade	1	8	0.0140624326197	0.0404998059448	3845
R-HSA-167044	Signalling to RAS	1	8	0.0140624326197	0.0404998059448	3845
R-HSA-9026519	Activated NTRK2 signals through RAS	1	8	0.0140624326197	0.0404998059448	3845
R-HSA-9703648	Signaling by FLT3 ITD and TKD mutants	1	9	0.0158070915816	0.0421522442175	3845
R-HSA-8951936	RUNX3 regulates p14-ARF	1	9	0.0158070915816	0.0421522442175	3845
R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	2	110	0.0157699179857	0.0421522442175	10618;351
R-HSA-2980766	Nuclear Envelope Breakdown	1	9	0.0158070915816	0.0421522442175	4000
R-HSA-9028731	Activated NTRK2 signals through FRS2 and FRS3	1	10	0.0175488445945	0.0428310783323	3845
R-HSA-9634285	Constitutive Signaling by Overexpressed ERBB2	1	10	0.0175488445945	0.0428310783323	3845
R-HSA-8851805	MET activates RAS signaling	1	10	0.0175488445945	0.0428310783323	3845
R-HSA-5655291	Signaling by FGFR4 in disease	1	10	0.0175488445945	0.0428310783323	3845
R-HSA-975577	N-Glycan antennae elongation	1	10	0.0175488445945	0.0428310783323	4249
R-HSA-5654704	SHC-mediated cascade:FGFR3	1	11	0.0192876961971	0.0440861627362	3845
R-HSA-1250347	SHC1 events in ERBB4 signaling	1	11	0.0192876961971	0.0440861627362	3845
R-HSA-9673767	Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants	1	11	0.0192876961971	0.0440861627362	3845
R-HSA-9673770	Signaling by PDGFRA extracellular domain mutants	1	11	0.0192876961971	0.0440861627362	3845
R-HSA-8849471	PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases	1	12	0.0210236509208	0.0442833339698	3845
R-HSA-879415	Advanced glycosylation endproduct receptor signaling	1	13	0.02275671329	0.0442833339698	351
R-HSA-5654719	SHC-mediated cascade:FGFR4	1	13	0.02275671329	0.0442833339698	3845
R-HSA-1963640	GRB2 events in ERBB2 signaling	1	13	0.02275671329	0.0442833339698	3845
R-HSA-5654706	FRS-mediated FGFR3 signaling	1	13	0.02275671329	0.0442833339698	3845
R-HSA-179812	GRB2 events in EGFR signaling	1	12	0.0210236509208	0.0442833339698	3845
R-HSA-9027284	Erythropoietin activates RAS	1	13	0.02275671329	0.0442833339698	3845
R-HSA-5654688	SHC-mediated cascade:FGFR1	1	12	0.0210236509208	0.0442833339698	3845
R-HSA-180336	SHC1 events in EGFR signaling	1	13	0.02275671329	0.0442833339698	3845
R-HSA-446193	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	1	13	0.02275671329	0.0442833339698	440138
R-HSA-171007	p38MAPK events	1	13	0.02275671329	0.0442833339698	3845
R-HSA-5637810	Constitutive Signaling by EGFRvIII	1	14	0.0244868878243	0.0454800214559	3845
R-HSA-4419969	Depolymerization of the Nuclear Lamina	1	15	0.0262141790336	0.0454800214559	4000
R-HSA-5654712	FRS-mediated FGFR4 signaling	1	15	0.0262141790336	0.0454800214559	3845
R-HSA-5655332	Signaling by FGFR3 in disease	1	15	0.0262141790336	0.0454800214559	3845
R-HSA-162710	Synthesis of glycosylphosphatidylinositol (GPI)	1	15	0.0262141790336	0.0454800214559	23556
R-HSA-5654699	SHC-mediated cascade:FGFR2	1	15	0.0262141790336	0.0454800214559	3845
R-HSA-5654693	FRS-mediated FGFR1 signaling	1	14	0.0244868878243	0.0454800214559	3845
R-HSA-9665348	Signaling by ERBB2 ECD mutants	1	15	0.0262141790336	0.0454800214559	3845
R-HSA-1236382	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	1	14	0.0244868878243	0.0454800214559	3845
