# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-2033515	t(4;14) translocations of FGFR3	1	1	0.000104004160166	0.00166406656265
R-HSA-8853334	Signaling by FGFR3 fusions in cancer	1	1	0.000104004160166	0.00166406656265
R-HSA-190371	FGFR3b ligand binding and activation	1	4	0.000416016640663	0.0066562662506
R-HSA-1839130	Signaling by activated point mutants of FGFR3	1	6	0.000624024960994	0.0099843993759
R-HSA-190372	FGFR3c ligand binding and activation	1	7	0.00072802912116	0.0116484659386
R-HSA-5654227	Phospholipase C-mediated cascade; FGFR3	1	7	0.00072802912116	0.0116484659386
R-HSA-5654732	Negative regulation of FGFR3 signaling	1	11	0.00114404576182	0.0183047321892
R-HSA-5654710	PI-3K cascade:FGFR3	1	11	0.00114404576182	0.0183047321892
R-HSA-5654704	SHC-mediated cascade:FGFR3	1	11	0.00114404576182	0.0183047321892
R-HSA-5654706	FRS-mediated FGFR3 signaling	1	13	0.00135205408215	0.0216328653145
R-HSA-5655332	Signaling by FGFR3 in disease	1	15	0.00156006240248	0.0249609984398
R-HSA-109704	PI3K Cascade	1	29	0.0030161206448	0.0482579303169
