# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-9665348	Signaling by ERBB2 ECD mutants	9	15	8.78088865364e-07	0.000973800551689
R-HSA-9735871	SARS-CoV-1 targets host intracellular signalling and regulatory pathways	7	11	9.14318916255e-06	0.00167876827407
R-HSA-5655332	Signaling by FGFR3 in disease	8	15	1.21101408409e-05	0.00167876827407
R-HSA-9664565	Signaling by ERBB2 KD Mutants	10	22	5.99572730261e-06	0.00167876827407
R-HSA-5637810	Constitutive Signaling by EGFRvIII	8	14	6.11971312067e-06	0.00167876827407
R-HSA-9665686	Signaling by ERBB2 TMD/JMD mutants	9	19	1.17427873446e-05	0.00167876827407
R-HSA-1236382	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	8	14	6.11971312067e-06	0.00167876827407
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	18	66	8.92505368537e-06	0.00167876827407
R-HSA-1221632	Meiotic synapsis	15	53	3.07277731059e-05	0.00309791821586
R-HSA-6802953	RAS signaling downstream of NF1 loss-of-function variants	5	6	2.80175996563e-05	0.00309791821586
R-HSA-9755779	SARS-CoV-2 targets host intracellular signalling and regulatory pathways	6	9	2.91480302101e-05	0.00309791821586
R-HSA-5654706	FRS-mediated FGFR3 signaling	7	13	4.06419799527e-05	0.00375599631396
R-HSA-3371511	HSF1 activation	6	10	6.74751242778e-05	0.00498866085494
R-HSA-9634285	Constitutive Signaling by Overexpressed ERBB2	6	10	6.74751242778e-05	0.00498866085494
R-HSA-5655291	Signaling by FGFR4 in disease	6	10	6.74751242778e-05	0.00498866085494
R-HSA-5654693	FRS-mediated FGFR1 signaling	7	14	7.51642467859e-05	0.00520982185535
R-HSA-3108214	SUMOylation of DNA damage response and repair proteins	17	72	0.000116341888809	0.00758959733464
R-HSA-2408522	Selenoamino acid metabolism	6	11	0.000137473446415	0.00846989178192
R-HSA-9609523	Insertion of tail-anchored proteins into the endoplasmic reticulum membrane	8	21	0.000237959027426	0.0119952982461
R-HSA-2179392	EGFR Transactivation by Gastrin	5	8	0.000225113467664	0.0119952982461
R-HSA-5675482	Regulation of necroptotic cell death	8	21	0.000237959027426	0.0119952982461
R-HSA-5621575	CD209 (DC-SIGN) signaling	8	21	0.000237959027426	0.0119952982461
R-HSA-264870	Caspase-mediated cleavage of cytoskeletal proteins	6	12	0.000254659655924	0.0122790242791
R-HSA-1963640	GRB2 events in ERBB2 signaling	6	13	0.000438103378185	0.0200503047424
R-HSA-3232142	SUMOylation of ubiquitinylation proteins	10	34	0.000461215078613	0.0200503047424
R-HSA-9703648	Signaling by FLT3 ITD and TKD mutants	5	9	0.000470070264475	0.0200503047424
R-HSA-9018519	Estrogen-dependent gene expression	21	113	0.000690898152421	0.025260592263
R-HSA-9753512	Signaling by RAS GTPase mutants	3	3	0.000664619251271	0.025260592263
R-HSA-9753510	Signaling by RAS GAP mutants	3	3	0.000664619251271	0.025260592263
R-HSA-2995383	Initiation of Nuclear Envelope (NE) Reformation	7	19	0.000747390762583	0.025260592263
R-HSA-352238	Breakdown of the nuclear lamina	3	3	0.000664619251271	0.025260592263
R-HSA-5655253	Signaling by FGFR2 in disease	7	19	0.000747390762583	0.025260592263
R-HSA-5336415	Uptake and function of diphtheria toxin	4	6	0.000751667758952	0.025260592263
R-HSA-75035	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	5	10	0.000872665404682	0.0276510266798
R-HSA-9028731	Activated NTRK2 signals through FRS2 and FRS3	5	10	0.000872665404682	0.0276510266798
R-HSA-4419969	Depolymerization of the Nuclear Lamina	6	15	0.00109695515155	0.0328790071098
R-HSA-5654712	FRS-mediated FGFR4 signaling	6	15	0.00109695515155	0.0328790071098
R-HSA-5389840	Mitochondrial translation elongation	17	87	0.00122246075735	0.0333262769613
R-HSA-5368286	Mitochondrial translation initiation	17	87	0.00122246075735	0.0333262769613
R-HSA-5655302	Signaling by FGFR1 in disease	8	26	0.00123208057296	0.0333262769613
R-HSA-5419276	Mitochondrial translation termination	17	87	0.00122246075735	0.0333262769613
R-HSA-111447	Activation of BAD and translocation to mitochondria 	5	11	0.00148532536989	0.0374369508001
R-HSA-5654704	SHC-mediated cascade:FGFR3	5	11	0.00148532536989	0.0374369508001
R-HSA-5654710	PI-3K cascade:FGFR3	5	11	0.00148532536989	0.0374369508001
R-HSA-1227986	Signaling by ERBB2	6	16	0.00162654129622	0.0400852066113
R-HSA-1251932	PLCG1 events in ERBB2 signaling	3	4	0.0024848545602	0.0451754706109
R-HSA-9665249	Resistance of ERBB2 KD mutants to afatinib	3	4	0.0024848545602	0.0451754706109
R-HSA-9665247	Resistance of ERBB2 KD mutants to osimertinib	3	4	0.0024848545602	0.0451754706109
R-HSA-9665246	Resistance of ERBB2 KD mutants to neratinib	3	4	0.0024848545602	0.0451754706109
R-HSA-9665245	Resistance of ERBB2 KD mutants to tesevatinib	3	4	0.0024848545602	0.0451754706109
R-HSA-9665244	Resistance of ERBB2 KD mutants to sapitinib	3	4	0.0024848545602	0.0451754706109
R-HSA-9703465	Signaling by FLT3 fusion proteins	6	17	0.00232992101319	0.0451754706109
R-HSA-9665737	Drug resistance in ERBB2 TMD/JMD mutants	3	4	0.0024848545602	0.0451754706109
R-HSA-5654689	PI-3K cascade:FGFR1	5	12	0.00236437230848	0.0451754706109
R-HSA-5654688	SHC-mediated cascade:FGFR1	5	12	0.00236437230848	0.0451754706109
R-HSA-5654700	FRS-mediated FGFR2 signaling	6	17	0.00232992101319	0.0451754706109
R-HSA-9652282	Drug-mediated inhibition of ERBB2 signaling	3	4	0.0024848545602	0.0451754706109
R-HSA-9665250	Resistance of ERBB2 KD mutants to AEE788	3	4	0.0024848545602	0.0451754706109
R-HSA-9665251	Resistance of ERBB2 KD mutants to lapatinib	3	4	0.0024848545602	0.0451754706109
R-HSA-9665233	Resistance of ERBB2 KD mutants to trastuzumab	3	4	0.0024848545602	0.0451754706109
R-HSA-179812	GRB2 events in EGFR signaling	5	12	0.00236437230848	0.0451754706109
