# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-8853334	Signaling by FGFR3 fusions in cancer	1	1	0.000416016640661	0.00686427457091
R-HSA-2033515	t(4;14) translocations of FGFR3	1	1	0.000416016640661	0.00686427457091
R-HSA-5654227	Phospholipase C-mediated cascade; FGFR3	1	7	0.00290939129623	0.0106677680862
R-HSA-4411364	Binding of TCF/LEF:CTNNB1 to target gene promoters	1	7	0.00290939129623	0.0106677680862
R-HSA-190372	FGFR3c ligand binding and activation	1	7	0.00290939129623	0.0106677680862
R-HSA-190371	FGFR3b ligand binding and activation	1	4	0.00166328777538	0.0106677680862
R-HSA-8866911	TFAP2 (AP-2) family regulates transcription of cell cycle factors	1	5	0.00207878531456	0.0106677680862
R-HSA-1839130	Signaling by activated point mutants of FGFR3	1	6	0.00249415314583	0.0106677680862
R-HSA-8951430	RUNX3 regulates WNT signaling	1	7	0.00290939129623	0.0106677680862
R-HSA-9818749	Regulation of NFE2L2 gene expression	1	8	0.00332449979278	0.0109708493162
R-HSA-5654704	SHC-mediated cascade:FGFR3	1	11	0.00456904762902	0.0115983516737
R-HSA-5654710	PI-3K cascade:FGFR3	1	11	0.00456904762902	0.0115983516737
R-HSA-5654732	Negative regulation of FGFR3 signaling	1	11	0.00456904762902	0.0115983516737
R-HSA-5654706	FRS-mediated FGFR3 signaling	1	13	0.00539809841203	0.0127240891141
R-HSA-5655332	Signaling by FGFR3 in disease	1	15	0.00622663122691	0.0136964508944
R-HSA-201556	Signaling by ALK	1	16	0.00664070346395	0.0136964508944
R-HSA-1362277	Transcription of E2F targets under negative control by DREAM complex	1	19	0.00788214381657	0.0153006321145
R-HSA-69656	Cyclin A:Cdk2-associated events at S phase entry	1	30	0.0124241388869	0.0204998291633
R-HSA-69202	Cyclin E associated events during G1/S transition 	1	28	0.0115994839558	0.0204998291633
R-HSA-109704	PI3K Cascade	1	29	0.012011875952	0.0204998291633
R-HSA-2173796	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	1	32	0.0132482776825	0.0208187220725
R-HSA-2122947	NOTCH1 Intracellular Domain Regulates Transcription	1	42	0.0173612371725	0.0260418557587
R-HSA-2644606	Constitutive Signaling by NOTCH1 PEST Domain Mutants	1	50	0.0206423362913	0.0272478839045
R-HSA-2894862	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	1	50	0.0206423362913	0.0272478839045
R-HSA-9616222	Transcriptional regulation of granulopoiesis	1	50	0.0206423362913	0.0272478839045
R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	1	69	0.0284020127885	0.0352111654243
R-HSA-5687128	MAPK6/MAPK4 signaling	1	70	0.0288091353472	0.0352111654243
R-HSA-1257604	PIP3 activates AKT signaling	1	87	0.0357106630114	0.0420875671205
R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	1	94	0.0385417507337	0.0438578542832
R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	1	104	0.0425753421645	0.0468328763809
R-HSA-5673001	RAF/MAP kinase cascade	1	108	0.0441852198754	0.0470358792222
R-HSA-9018519	Estrogen-dependent gene expression	1	113	0.0461947110204	0.0476382957398
