# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-2033515	t(4;14) translocations of FGFR3	1	1	0.000104004160166	0.000832033281325
R-HSA-8853334	Signaling by FGFR3 fusions in cancer	1	1	0.000104004160166	0.000832033281325
R-HSA-190372	FGFR3c ligand binding and activation	1	7	0.00072802912116	0.00194141098976
R-HSA-190371	FGFR3b ligand binding and activation	1	4	0.000416016640663	0.00194141098976
R-HSA-5654227	Phospholipase C-mediated cascade; FGFR3	1	7	0.00072802912116	0.00194141098976
R-HSA-1839130	Signaling by activated point mutants of FGFR3	1	6	0.000624024960994	0.00194141098976
R-HSA-5654732	Negative regulation of FGFR3 signaling	1	11	0.00114404576182	0.00203385913213
R-HSA-5654710	PI-3K cascade:FGFR3	1	11	0.00114404576182	0.00203385913213
R-HSA-5654704	SHC-mediated cascade:FGFR3	1	11	0.00114404576182	0.00203385913213
R-HSA-5654706	FRS-mediated FGFR3 signaling	1	13	0.00135205408215	0.00216328653145
R-HSA-5655332	Signaling by FGFR3 in disease	1	15	0.00156006240248	0.00226918167634
R-HSA-109704	PI3K Cascade	1	29	0.0030161206448	0.00402149419307
R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	1	69	0.00717628705143	0.00883235329407
R-HSA-1257604	PIP3 activates AKT signaling	1	87	0.00904836193441	0.0103409850679
R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	1	94	0.00977639105557	0.0104281504593
R-HSA-5673001	RAF/MAP kinase cascade	1	108	0.0112324492979	0.0112324492979
