# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0048490	anterograde synaptic vesicle transport	4	15	1.11358533994e-08	5.90200230169e-07
GO:0008089	anterograde axonal transport	4	20	3.92963069596e-08	1.04135213443e-06
GO:1903232	melanosome assembly	2	5	3.21211350839e-05	0.000567473386482
GO:0043473	pigmentation	2	7	6.73060557711e-05	0.000891805238967
GO:0032438	melanosome organization	2	8	8.9642695218e-05	0.000950212569311
GO:0035646	endosome to melanosome transport	2	9	0.000115128125689	0.00101696511025
GO:0032402	melanosome transport	2	10	0.000143751881537	0.00108840710306
GO:0031175	neuron projection development	3	70	0.000269289481015	0.00178404281172
GO:0150116	regulation of cell-substrate junction organization	1	1	0.00184430207726	0.0108608900105
GO:0050942	positive regulation of pigment cell differentiation	1	2	0.00368538141523	0.0162771012506
GO:0006583	melanin biosynthetic process from tyrosine	1	2	0.00368538141523	0.0162771012506
GO:0033364	mast cell secretory granule organization	1	2	0.00368538141523	0.0162771012506
GO:0035752	lysosomal lumen pH elevation	1	3	0.005523243333	0.0172195233323
GO:0060159	regulation of dopamine receptor signaling pathway	1	3	0.005523243333	0.0172195233323
GO:0009637	response to blue light	1	3	0.005523243333	0.0172195233323
GO:0006627	protein processing involved in protein targeting to mitochondrion	1	3	0.005523243333	0.0172195233323
GO:0006572	tyrosine catabolic process	1	3	0.005523243333	0.0172195233323
GO:0032510	endosome to lysosome transport via multivesicular body sorting pathway	1	4	0.00735789314147	0.0194984168249
GO:0042438	melanin biosynthetic process	1	4	0.00735789314147	0.0194984168249
GO:0030595	leukocyte chemotaxis	1	4	0.00735789314147	0.0194984168249
GO:0014059	regulation of dopamine secretion	1	5	0.00918933614295	0.0211754267642
GO:0048023	positive regulation of melanin biosynthetic process	1	5	0.00918933614295	0.0211754267642
GO:0030318	melanocyte differentiation	1	5	0.00918933614295	0.0211754267642
GO:0001956	positive regulation of neurotransmitter secretion	1	6	0.011017577632	0.0243304839373
GO:0141163	positive regulation of cAMP/PKA signal transduction	1	7	0.0128426228948	0.0272263605369
GO:0034220	monoatomic ion transmembrane transport	1	8	0.0146644772091	0.0298929727724
GO:0070914	UV-damage excision repair	1	9	0.0164831458448	0.0301243699921
GO:0006605	protein targeting	1	9	0.0164831458448	0.0301243699921
GO:0042832	defense response to protozoan	1	9	0.0164831458448	0.0301243699921
GO:0070509	calcium ion import	1	12	0.0219200902518	0.0374762833338
GO:0006103	2-oxoglutarate metabolic process	1	12	0.0219200902518	0.0374762833338
GO:0030168	platelet activation	1	13	0.0237260687049	0.0381055042836
GO:0006536	glutamate metabolic process	1	13	0.0237260687049	0.0381055042836
GO:0042267	natural killer cell mediated cytotoxicity	1	17	0.0309184401546	0.0481963920058
GO:0072657	protein localization to membrane	1	18	0.0327086734696	0.0495302769682
