# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-432722	Golgi Associated Vesicle Biogenesis	9	52	1.73343598214e-07	7.31509984463e-05
R-HSA-9735871	SARS-CoV-1 targets host intracellular signalling and regulatory pathways	5	11	5.4346378732e-07	7.64472394163e-05
R-HSA-9837999	Mitochondrial protein degradation	11	95	5.09584056992e-07	7.64472394163e-05
R-HSA-9755779	SARS-CoV-2 targets host intracellular signalling and regulatory pathways	4	9	9.16182276437e-06	0.000773257841313
R-HSA-2980766	Nuclear Envelope Breakdown	4	9	9.16182276437e-06	0.000773257841313
R-HSA-75035	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	4	10	1.50693580348e-05	0.00105987818178
R-HSA-5662702	Melanin biosynthesis	3	4	1.8551831762e-05	0.00111841042908
R-HSA-111447	Activation of BAD and translocation to mitochondria 	4	11	2.33698690332e-05	0.0012327605915
R-HSA-9636383	Prevention of phagosomal-lysosomal fusion	3	5	4.5804611514e-05	0.00214772733988
R-HSA-8854214	TBC/RABGAPs	6	42	6.62124966669e-05	0.00279416735934
R-HSA-8876198	RAB GEFs exchange GTP for GDP on RABs	8	85	8.74637696145e-05	0.00322479117821
R-HSA-4419969	Depolymerization of the Nuclear Lamina	4	15	9.17002230771e-05	0.00322479117821
R-HSA-2995383	Initiation of Nuclear Envelope (NE) Reformation	4	19	0.000247037009584	0.00801920138802
R-HSA-5628897	TP53 Regulates Metabolic Genes	7	78	0.000327889505706	0.00988352652913
R-HSA-9614399	Regulation of localization of FOXO transcription factors	3	9	0.000366066123436	0.0102986602727
R-HSA-1445148	Translocation of SLC2A4 (GLUT4) to the plasma membrane	6	58	0.000409164446746	0.0107917122829
R-HSA-3371511	HSF1 activation	3	10	0.000516493308612	0.0108980088117
R-HSA-5625740	RHO GTPases activate PKNs	4	22	0.000448206328368	0.0108980088117
R-HSA-9706019	RHOBTB3 ATPase cycle	3	10	0.000516493308612	0.0108980088117
R-HSA-8873719	RAB geranylgeranylation	6	60	0.000492273022417	0.0108980088117
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	6	66	0.000822260984094	0.0160565636498
R-HSA-352238	Breakdown of the nuclear lamina	2	3	0.000837072038616	0.0160565636498
R-HSA-110312	Translesion synthesis by REV1	3	12	0.000923687695404	0.0169476611939
R-HSA-5655862	Translesion synthesis by POLK	3	13	0.00118599911404	0.0200196650449
R-HSA-5656121	Translesion synthesis by POLI	3	13	0.00118599911404	0.0200196650449
R-HSA-5358606	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	3	14	0.00149087013938	0.0224695428149
R-HSA-69166	Removal of the Flap Intermediate	3	14	0.00149087013938	0.0224695428149
R-HSA-5358565	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	3	14	0.00149087013938	0.0224695428149
R-HSA-110320	Translesion Synthesis by POLH	3	15	0.00184066261845	0.0267848146547
R-HSA-901042	Calnexin/calreticulin cycle	2	5	0.00272878400149	0.0359858390196
R-HSA-174437	Removal of the Flap Intermediate from the C-strand	3	17	0.0026836957496	0.0359858390196
R-HSA-165159	MTOR signalling	3	17	0.0026836957496	0.0359858390196
R-HSA-9726842	Gain-of-function MRAS complexes activate RAF signaling	2	6	0.00404793880033	0.0474508381595
R-HSA-9726840	SHOC2 M1731 mutant abolishes MRAS complex function	2	6	0.00404793880033	0.0474508381595
R-HSA-9861559	PDH complex synthesizes acetyl-CoA from PYR	2	6	0.00404793880033	0.0474508381595
R-HSA-9836573	Mitochondrial RNA degradation	2	6	0.00404793880033	0.0474508381595
