# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-432722	Golgi Associated Vesicle Biogenesis	6	52	3.80261896712e-08	5.2856403643e-06
R-HSA-5662702	Melanin biosynthesis	3	4	2.09298553232e-07	1.45462494496e-05
R-HSA-8876198	RAB GEFs exchange GTP for GDP on RABs	5	85	1.67336494466e-05	0.000775325757691
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	4	66	0.000112796534421	0.00391967957112
R-HSA-3371511	HSF1 activation	2	10	0.000635955304014	0.0136180311674
R-HSA-5655862	Translesion synthesis by POLK	2	13	0.00109433143115	0.0136180311674
R-HSA-5656121	Translesion synthesis by POLI	2	13	0.00109433143115	0.0136180311674
R-HSA-6811440	Retrograde transport at the Trans-Golgi-Network	3	49	0.000855637482991	0.0136180311674
R-HSA-9706019	RHOBTB3 ATPase cycle	2	10	0.000635955304014	0.0136180311674
R-HSA-110312	Translesion synthesis by REV1	2	12	0.000928220668435	0.0136180311674
R-HSA-69166	Removal of the Flap Intermediate	2	14	0.00127362881422	0.0136180311674
R-HSA-5358606	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	2	14	0.00127362881422	0.0136180311674
R-HSA-5358565	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	2	14	0.00127362881422	0.0136180311674
R-HSA-110320	Translesion Synthesis by POLH	2	15	0.00146601440491	0.0143048269244
R-HSA-8873719	RAB geranylgeranylation	3	60	0.00154368635874	0.0143048269244
R-HSA-165159	MTOR signalling	2	17	0.00188965918989	0.0154507427879
R-HSA-174437	Removal of the Flap Intermediate from the C-strand	2	17	0.00188965918989	0.0154507427879
R-HSA-5651801	PCNA-Dependent Long Patch Base Excision Repair	2	21	0.00288973527143	0.0211406948804
R-HSA-5696397	Gap-filling DNA repair synthesis and ligation in GG-NER	2	21	0.00288973527143	0.0211406948804
R-HSA-166208	mTORC1-mediated signalling	2	24	0.00377047483262	0.0232562345969
R-HSA-5619036	Defective SLC24A5 causes oculocutaneous albinism 6 (OCA6)	1	1	0.0038481539261	0.0232562345969
R-HSA-110314	Recognition of DNA damage by PCNA-containing replication complex	2	24	0.00377047483262	0.0232562345969
R-HSA-168330	Viral RNP Complexes in the Host Cell Nucleus	1	1	0.0038481539261	0.0232562345969
R-HSA-5656169	Termination of translesion DNA synthesis	2	28	0.00511422450816	0.0296198836097
R-HSA-380972	Energy dependent regulation of mTOR by LKB1-AMPK	2	29	0.00547980232689	0.0304677009375
R-HSA-9636569	Suppression of autophagy	1	2	0.00768189828915	0.034180489465
R-HSA-5674135	MAP2K and MAPK activation	2	36	0.00836069526481	0.034180489465
R-HSA-6783310	Fanconi Anemia Pathway	2	34	0.00748100183534	0.034180489465
R-HSA-176187	Activation of ATR in response to replication stress	2	36	0.00836069526481	0.034180489465
R-HSA-68962	Activation of the pre-replicative complex	2	33	0.00705795233443	0.034180489465
R-HSA-5696395	Formation of Incision Complex in GG-NER	2	35	0.00791527876044	0.034180489465
R-HSA-5696400	Dual Incision in GG-NER	2	36	0.00836069526481	0.034180489465
R-HSA-9709570	Impaired BRCA2 binding to RAD51	2	34	0.00748100183534	0.034180489465
R-HSA-5685938	HDR through Single Strand Annealing (SSA)	2	36	0.00836069526481	0.034180489465
R-HSA-9013407	RHOH GTPase cycle	2	37	0.00881716398118	0.0350167369538
R-HSA-9824585	Regulation of MITF-M-dependent genes involved in pigmentation	2	39	0.00976291095888	0.0366768817104
R-HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	2	39	0.00976291095888	0.0366768817104
R-HSA-5685942	HDR through Homologous Recombination (HRR)	2	45	0.0128564653022	0.0470275967633
