# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0048701	embryonic cranial skeleton morphogenesis	8	9	1.16325986877e-13	1.24701457932e-10
GO:0060021	roof of mouth development	7	15	4.11869491178e-09	2.20762047272e-06
GO:0008543	fibroblast growth factor receptor signaling pathway	7	21	6.76502343218e-08	2.4173683731e-05
GO:0045944	positive regulation of transcription by RNA polymerase II	37	781	1.13722369026e-07	2.56116212858e-05
GO:0003149	membranous septum morphogenesis	4	4	1.19457188833e-07	2.56116212858e-05
GO:0045893	positive regulation of DNA-templated transcription	26	435	1.44285592189e-07	2.57790258045e-05
GO:0048839	inner ear development	6	16	2.74048354112e-07	4.1968547944e-05
GO:0010718	positive regulation of epithelial to mesenchymal transition	8	45	1.56239222711e-06	0.000209360558432
GO:0001837	epithelial to mesenchymal transition	7	36	3.8274814977e-06	0.000455895573949
GO:0007435	salivary gland morphogenesis	3	3	6.47520835681e-06	0.00069414233585
GO:0032570	response to progesterone	4	8	7.88199611257e-06	0.000768136348425
GO:0003180	aortic valve morphogenesis	6	29	1.32676179014e-05	0.00118524053253
GO:0001501	skeletal system development	5	19	2.05792777642e-05	0.00136730018635
GO:0060325	face morphogenesis	4	10	2.29583986514e-05	0.00136730018635
GO:0001822	kidney development	7	45	1.80427034049e-05	0.00136730018635
GO:0000122	negative regulation of transcription by RNA polymerase II	25	537	2.25898135583e-05	0.00136730018635
GO:0008284	positive regulation of cell population proliferation	16	249	1.72739991289e-05	0.00136730018635
GO:0045216	cell-cell junction organization	4	10	2.29583986514e-05	0.00136730018635
GO:1905007	positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation	3	4	2.55424618608e-05	0.00144113258499
GO:0060391	positive regulation of SMAD protein signal transduction	6	34	3.47474675637e-05	0.00178319359846
GO:0001701	in utero embryonic development	5	21	3.49319641489e-05	0.00178319359846
GO:0010936	negative regulation of macrophage cytokine production	3	5	6.29733801785e-05	0.00306852107051
GO:0062009	secondary palate development	4	13	7.47878968695e-05	0.00334052606017
GO:0042472	inner ear morphogenesis	4	13	7.47878968695e-05	0.00334052606017
GO:0043410	positive regulation of MAPK cascade	9	104	0.000139862830574	0.00555307238425
GO:0032967	positive regulation of collagen biosynthetic process	4	15	0.000138636616974	0.00555307238425
GO:0001658	branching involved in ureteric bud morphogenesis	4	15	0.000138636616974	0.00555307238425
GO:0050680	negative regulation of epithelial cell proliferation	5	28	0.000151659031623	0.00580637435357
