# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	127	646	3.51975201689e-15	2.19984501056e-12
GO:0003700	DNA-binding transcription factor activity	53	206	3.06326265117e-11	9.57269578491e-09
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	67	302	9.88757612884e-11	2.05991169351e-08
GO:0000976	transcription cis-regulatory region binding	49	208	4.44262915885e-09	6.9416080607e-07
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	57	271	2.04886600293e-08	2.56108250366e-06
GO:1990837	sequence-specific double-stranded DNA binding	82	500	1.96863604982e-06	0.00020506625519
GO:0098505	G-rich strand telomeric DNA binding	7	9	2.72283886635e-06	0.000243110613067
GO:0003713	transcription coactivator activity	35	162	6.12842243455e-06	0.000478783002699
GO:0003677	DNA binding	50	270	7.9545195541e-06	0.000552397191257
GO:0003682	chromatin binding	35	178	5.14852444668e-05	0.00321782777918
GO:0034714	type III transforming growth factor beta receptor binding	4	4	9.50757429337e-05	0.00540203084851
GO:0003714	transcription corepressor activity	25	115	0.000115052073235	0.00599229548101
GO:0003735	structural constituent of ribosome	19	79	0.000188051665557	0.00904094545949
GO:0043565	sequence-specific DNA binding	35	194	0.00030501214729	0.0127088394704
GO:0008013	beta-catenin binding	10	29	0.000294897318025	0.0127088394704
GO:0044183	protein folding chaperone	10	30	0.000403615037575	0.0157662124053
GO:0042162	telomeric DNA binding	8	22	0.000800525240773	0.0294310750284
