# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-109704	PI3K Cascade	7	29	1.26428931673e-06	0.000753516432769
R-HSA-3656532	TGFBR1 KD Mutants in Cancer	4	6	2.28792314751e-06	0.00136360219592
R-HSA-3304356	SMAD2/3 Phosphorylation Motif Mutants in Cancer	4	6	2.28792314751e-06	0.00136360219592
R-HSA-5654726	Negative regulation of FGFR1 signaling	5	13	3.49431509034e-06	0.00208261179384
R-HSA-9834899	Specification of the neural plate border	5	14	5.34726462912e-06	0.00318696971895
R-HSA-5654727	Negative regulation of FGFR2 signaling	5	15	7.89059757474e-06	0.00470279615454
R-HSA-5654695	PI-3K cascade:FGFR2	5	15	7.89059757474e-06	0.00470279615454
R-HSA-3645790	TGFBR2 Kinase Domain Mutants in Cancer	3	3	7.96488585482e-06	0.00474707196947
R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	9	69	8.79780586896e-06	0.0052434922979
R-HSA-2173789	TGF-beta receptor signaling activates SMADs	6	26	9.9696014705e-06	0.00594188247642
R-HSA-190377	FGFR2b ligand binding and activation	4	8	1.03441582327e-05	0.0061651183067
R-HSA-9839389	TGFBR3 regulates TGF-beta signaling	4	8	1.03441582327e-05	0.0061651183067
R-HSA-68689	CDC6 association with the ORC:origin complex	4	8	1.03441582327e-05	0.0061651183067
R-HSA-5654700	FRS-mediated FGFR2 signaling	5	17	1.57357500788e-05	0.00937850704698
R-HSA-2033519	Activated point mutants of FGFR2	4	10	3.00662772583e-05	0.0179195012459
R-HSA-3656535	TGFBR1 LBD Mutants in Cancer	3	4	3.13872187274e-05	0.0187067823615
R-HSA-2173788	Downregulation of TGF-beta receptor signaling	5	20	3.75384759755e-05	0.0223729316814
R-HSA-68962	Activation of the pre-replicative complex	6	33	4.26654594651e-05	0.0254286138412
R-HSA-5654221	Phospholipase C-mediated cascade; FGFR2	4	11	4.65063318739e-05	0.0277177737968
R-HSA-1257604	PIP3 activates AKT signaling	9	87	5.83545139174e-05	0.0347792902947
R-HSA-156902	Peptide chain elongation	8	68	6.01188617615e-05	0.0358308416099
R-HSA-192823	Viral mRNA Translation	8	69	6.68494920432e-05	0.0398422972577
R-HSA-9010553	Regulation of expression of SLITs and ROBOs	11	132	6.69555520645e-05	0.0399055090305
R-HSA-5654689	PI-3K cascade:FGFR1	4	12	6.86665549116e-05	0.0409252667273
R-HSA-8940973	RUNX2 regulates osteoblast differentiation	5	23	7.75759890028e-05	0.0462352894457
