# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-9845323	Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs)	24	59	2.59167188932e-11	3.03484778239e-08
R-HSA-8939243	RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	17	36	1.29546013479e-09	3.79245954461e-07
R-HSA-9824585	Regulation of MITF-M-dependent genes involved in pigmentation	18	39	6.72678657964e-10	3.79245954461e-07
R-HSA-3769402	Deactivation of the beta-catenin transactivating complex	17	36	1.29546013479e-09	3.79245954461e-07
R-HSA-68962	Activation of the pre-replicative complex	16	33	2.45257145976e-09	5.74392235876e-07
R-HSA-69052	Switching of origins to a post-replicative state	8	8	3.04787780741e-09	5.94844152079e-07
R-HSA-9010553	Regulation of expression of SLITs and ROBOs	34	132	4.00585421023e-09	6.70122182883e-07
R-HSA-201722	Formation of the beta-catenin:TCF transactivating complex	19	50	1.2017634303e-08	1.75908122111e-06
R-HSA-68949	Orc1 removal from chromatin	19	52	2.55390544926e-08	3.32291475676e-06
R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	26	95	7.23255580786e-08	8.36843053838e-06
R-HSA-3214858	RMTs methylate histone arginines	17	45	7.86103637252e-08	8.36843053838e-06
R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	25	90	9.37396000976e-08	8.93907126318e-06
R-HSA-176187	Activation of ATR in response to replication stress	15	36	9.92381950652e-08	8.93907126318e-06
R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	22	75	1.93144982272e-07	1.615519816e-05
R-HSA-9018519	Estrogen-dependent gene expression	28	113	2.28762588167e-07	1.78587327162e-05
R-HSA-9735871	SARS-CoV-1 targets host intracellular signalling and regulatory pathways	8	11	3.96514814586e-07	2.90199279925e-05
R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	24	91	4.86511077394e-07	3.35120277428e-05
R-HSA-156902	Peptide chain elongation	20	68	6.61066327325e-07	4.30060371832e-05
R-HSA-68867	Assembly of the pre-replicative complex	19	63	8.19460862194e-07	4.77531609515e-05
R-HSA-72689	Formation of a pool of free 40S subunits	22	81	8.41955883413e-07	4.77531609515e-05
R-HSA-192823	Viral mRNA Translation	20	69	8.56376071717e-07	4.77531609515e-05
R-HSA-5617472	Activation of anterior HOX genes in hindbrain development during early embryogenesis	22	83	1.3244925023e-06	7.04991236449e-05
R-HSA-9841922	MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis	24	97	1.7077775281e-06	8.69481515391e-05
R-HSA-9761174	Formation of intermediate mesoderm	6	7	2.67752411683e-06	0.0001306408642
R-HSA-390450	Folding of actin by CCT/TriC	7	10	3.37072677377e-06	0.000152486167677
R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency	21	81	3.38568775371e-06	0.000152486167677
R-HSA-9856649	Transcriptional and post-translational regulation of MITF-M expression and activity	15	46	3.99649437573e-06	0.000173329441259
R-HSA-2122947	NOTCH1 Intracellular Domain Regulates Transcription	14	42	6.26508039165e-06	0.000262014612094
R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	13	37	6.94195124969e-06	0.00028031120391
R-HSA-72764	Eukaryotic Translation Termination	19	72	7.44339979119e-06	0.000290540705183
R-HSA-4641265	Repression of WNT target genes	7	11	8.57559770231e-06	0.0003239362874
R-HSA-2408557	Selenocysteine synthesis	19	73	9.26003479811e-06	0.000338859398393
R-HSA-8939236	RUNX1 regulates transcription of genes involved in differentiation of HSCs	19	74	1.14657677473e-05	0.000406861031274
R-HSA-3214815	HDACs deacetylate histones	16	56	1.30403076307e-05	0.000449123536341
R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	21	91	2.38313460777e-05	0.000797328750198
R-HSA-3656532	TGFBR1 KD Mutants in Cancer	5	6	2.67255043669e-05	0.000845826097665
R-HSA-3304356	SMAD2/3 Phosphorylation Motif Mutants in Cancer	5	6	2.67255043669e-05	0.000845826097665
R-HSA-9755779	SARS-CoV-2 targets host intracellular signalling and regulatory pathways	6	9	2.75803080176e-05	0.000849908965489
R-HSA-5654700	FRS-mediated FGFR2 signaling	8	17	3.63970340103e-05	0.00109284427759
R-HSA-9013418	RHOBTB2 GTPase cycle	9	22	4.60531975914e-05	0.00125414638092
R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	15	55	4.43398815744e-05	0.00125414638092
R-HSA-2559586	DNA Damage/Telomere Stress Induced Senescence	13	43	4.36873769246e-05	0.00125414638092
R-HSA-5693571	Nonhomologous End-Joining (NHEJ)	14	49	4.51068866695e-05	0.00125414638092
R-HSA-3371511	HSF1 activation	6	10	6.38946798841e-05	0.00170046977601
R-HSA-350054	Notch-HLH transcription pathway	10	28	6.89854023136e-05	0.00172387542522
R-HSA-8940973	RUNX2 regulates osteoblast differentiation	9	23	6.98869818302e-05	0.00172387542522
R-HSA-5654693	FRS-mediated FGFR1 signaling	7	14	7.06626988987e-05	0.00172387542522
R-HSA-9834899	Specification of the neural plate border	7	14	7.06626988987e-05	0.00172387542522
R-HSA-3899300	SUMOylation of transcription cofactors	12	40	9.32807489541e-05	0.00222067416561
R-HSA-9665686	Signaling by ERBB2 TMD/JMD mutants	8	19	9.67159542666e-05	0.00222067416561
R-HSA-2995383	Initiation of Nuclear Envelope (NE) Reformation	8	19	9.67159542666e-05	0.00222067416561
R-HSA-2559584	Formation of Senescence-Associated Heterochromatin Foci (SAHF)	7	15	0.000122625444308	0.00261080718699
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	16	66	0.000117577887446	0.00261080718699
R-HSA-9665348	Signaling by ERBB2 ECD mutants	7	15	0.000122625444308	0.00261080718699
R-HSA-5654699	SHC-mediated cascade:FGFR2	7	15	0.000122625444308	0.00261080718699
