# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-3656532	TGFBR1 KD Mutants in Cancer	4	6	2.28792314751e-06	0.000454534065305
R-HSA-3304356	SMAD2/3 Phosphorylation Motif Mutants in Cancer	4	6	2.28792314751e-06	0.000454534065305
R-HSA-109704	PI3K Cascade	7	29	1.26428931673e-06	0.000454534065305
R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	9	69	8.79780586896e-06	0.000474239869746
R-HSA-5654695	PI-3K cascade:FGFR2	5	15	7.89059757474e-06	0.000474239869746
R-HSA-3645790	TGFBR2 Kinase Domain Mutants in Cancer	3	3	7.96488585482e-06	0.000474239869746
R-HSA-9839389	TGFBR3 regulates TGF-beta signaling	4	8	1.03441582327e-05	0.000474239869746
R-HSA-5654726	Negative regulation of FGFR1 signaling	5	13	3.49431509034e-06	0.000474239869746
R-HSA-5654727	Negative regulation of FGFR2 signaling	5	15	7.89059757474e-06	0.000474239869746
R-HSA-190377	FGFR2b ligand binding and activation	4	8	1.03441582327e-05	0.000474239869746
R-HSA-9834899	Specification of the neural plate border	5	14	5.34726462912e-06	0.000474239869746
R-HSA-68689	CDC6 association with the ORC:origin complex	4	8	1.03441582327e-05	0.000474239869746
R-HSA-2173789	TGF-beta receptor signaling activates SMADs	6	26	9.9696014705e-06	0.000474239869746
R-HSA-5654700	FRS-mediated FGFR2 signaling	5	17	1.57357500788e-05	0.000669893360499
R-HSA-3656535	TGFBR1 LBD Mutants in Cancer	3	4	3.13872187274e-05	0.00116917389759
R-HSA-2033519	Activated point mutants of FGFR2	4	10	3.00662772583e-05	0.00116917389759
R-HSA-2173788	Downregulation of TGF-beta receptor signaling	5	20	3.75384759755e-05	0.00131605480479
R-HSA-68962	Activation of the pre-replicative complex	6	33	4.26654594651e-05	0.00141270076895
R-HSA-5654221	Phospholipase C-mediated cascade; FGFR2	4	11	4.65063318739e-05	0.00145883019983
R-HSA-156902	Peptide chain elongation	8	68	6.01188617615e-05	0.00170521944697
R-HSA-5654689	PI-3K cascade:FGFR1	4	12	6.86665549116e-05	0.00170521944697
R-HSA-9010553	Regulation of expression of SLITs and ROBOs	11	132	6.69555520645e-05	0.00170521944697
R-HSA-192823	Viral mRNA Translation	8	69	6.68494920432e-05	0.00170521944697
R-HSA-1257604	PIP3 activates AKT signaling	9	87	5.83545139174e-05	0.00170521944697
R-HSA-8940973	RUNX2 regulates osteoblast differentiation	5	23	7.75759890028e-05	0.00184941157783
R-HSA-72764	Eukaryotic Translation Termination	8	72	9.0904811509e-05	0.0020838179869
R-HSA-2408557	Selenocysteine synthesis	8	73	0.000100362086263	0.00221540012639
R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	9	94	0.000107258306244	0.00228306966148
R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	9	95	0.000116459121996	0.0023934357486
R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	8	75	0.000121729123196	0.00241835191416
R-HSA-5654693	FRS-mediated FGFR1 signaling	4	14	0.000134545886914	0.00258675318067
R-HSA-5654699	SHC-mediated cascade:FGFR2	4	15	0.000180602355763	0.00336371887609
