#Position	SeedUserEntity
2	10503
3	11064
4	13416
5	15298
6	11968
7	13362
8	14195
9	9565
10	15192
11	6978
12	7034
13	20773
14	6965
15	14699
16	11832
17	6993
18	28879
19	10016
20	14665
21	6995
22	7012
23	6970
24	33449
25	30797
26	7721
27	7017
28	13072
29	7033
30	13987
31	9581
32	6996
33	12487
34	44874
35	16127
36	28382
37	11615
38	52850
39	25577
40	11205
41	27495
42	11499
43	23357
44	23474
45	14126
46	9892
47	28673
49	40222
50	50959
51	12183
52	6969
53	13488
54	34920
55	8289
56	16213
57	10392
58	7011
59	38616
60	37048
61	34729
62	53313
63	45781
64	30627
65	13123
66	57032
67	56500
68	34542
69	16076
70	23231
71	47468
72	25103
73	34715
74	37522
75	15208
76	22391
77	14280
78	14022
79	38793
80	36032
81	49889
82	13039
83	31924
84	42664
85	36443
86	46149
87	11462
88	26819
89	13558
90	39172
91	33538
92	48515
93	53173
94	12494
95	7081
96	7358
97	49890
98	43746
99	13304
100	33530
101	10239
102	25100
103	38639
104	9776
105	16361
106	53891
107	44596
108	11107
109	33113
110	14628
111	34706
112	56382
113	13379
114	8265
115	11074
116	36471
117	13133
118	34443
119	13257
120	21538
121	14285
122	9826
123	28108
124	11500
125	21147
126	51458
127	43864
128	11071
129	8580
130	45077
131	14589
132	14476
133	46717
134	11979
135	38168
136	55631
137	26402
138	41524
139	13319
140	15063
141	23453
142	37524
143	10315
144	19386
145	35431
146	43165
147	38012
148	33020
149	8270
150	39968
151	15116
152	44611
153	24765
154	9332
155	50516
156	9047
157	38663
158	54670
159	53351
160	20889
161	20926
162	30379
163	44833
164	23466
165	12656
166	57379
167	23693
168	8887
169	9859
170	42036
171	11381
172	37412
173	23439
174	27877
175	32826
176	33553
177	51994
178	8964
179	42904
180	12171
181	11543
182	22963
183	15960
184	49549
185	48634
186	50049
187	55679
188	7923
189	12750
190	11552
191	9879
192	8740
194	44934
195	27023
196	19176
