BIANA ID	UniProt ID	Gene Symbol	Description	Gene ID	Equivalent Entries
11205	P84022	SMAD3	RecName: Full=Mothers against decapentaplegic homolog 3; Short=MAD homolog 3; Short=Mad3; Short=Mothers against DPP homolog 3; Short=hMAD-3; AltName: Full=JV15-2; AltName: Full=SMAD family member 3; Short=SMAD 3; Short=Smad3; Short=hSMAD3;	4088	-
27495	Q9UPW6	SATB2	RecName: Full=DNA-binding protein SATB2; AltName: Full=Special AT-rich sequence-binding protein 2;	23314	-
12487	P21964	COMT	RecName: Full=Catechol O-methyltransferase {ECO:0000305}; EC=2.1.1.6 {ECO:0000269|PubMed:11559542, ECO:0000269|PubMed:15645182, ECO:0000269|PubMed:21846718};	1312	-
50959	Q13363	CTBP1	RecName: Full=C-terminal-binding protein 1; Short=CtBP1; EC=1.1.1.-;	1487	-
6969	P62273	RPS29	RecName: Full=Small ribosomal subunit protein uS14 {ECO:0000303|PubMed:24524803}; AltName: Full=40S ribosomal protein S29;	6235	-
53313	Q9H211	CDT1	RecName: Full=DNA replication factor Cdt1; AltName: Full=Double parked homolog; Short=DUP;	81620	-
16076	O14936	CASK	RecName: Full=Peripheral plasma membrane protein CASK {ECO:0000305}; Short=hCASK; EC=2.7.11.1 {ECO:0000269|PubMed:18423203}; AltName: Full=Calcium/calmodulin-dependent serine protein kinase; AltName: Full=Protein lin-2 homolog;	8573	-
11543	Q13702	RAPSN	RecName: Full=43 kDa receptor-associated protein of the synapse; Short=RAPsyn; AltName: Full=43 kDa postsynaptic protein; AltName: Full=Acetylcholine receptor-associated 43 kDa protein; AltName: Full=RING finger protein 205;	5913	-
53891	O60826	CCDC22	RecName: Full=Coiled-coil domain-containing protein 22;	28952	-
11074	P02458	COL2A1	RecName: Full=Collagen alpha-1(II) chain {ECO:0000305}; AltName: Full=Alpha-1 type II collagen {ECO:0000305}; Contains: RecName: Full=Collagen alpha-1(II) chain {ECO:0000305}; Contains: RecName: Full=Chondrocalcin {ECO:0000303|PubMed:3800925}; Flags: Precursor;	1280	-
